# E + Ar -> E + Ar, Elastic
# Source: LXCat, IST-Lisbon database
# Target: Ar
# m/M: 1.371e-05
# Comment: Rev. A 27 1345.
# Updated: 2018-05-18 20:21:10
# Data points: 60
energy_eV,cross_section_m2
0.0,7.5e-20
0.001,7.5e-20
0.002,7.1e-20
0.003,6.7e-20
0.005,6.1e-20
0.007,5.4e-20
0.0085,5.05e-20
0.01,4.6e-20
0.015,3.75e-20
0.02,3.25e-20
0.03,2.5e-20
0.04,2.05e-20
0.05,1.73e-20
0.07,1.13e-20
0.1,5.9e-21
0.12,4e-21
0.15,2.3e-21
0.17,1.6e-21
0.2,1.03e-21
0.25,9.1e-22
0.3,1.53e-21
0.35,2.35e-21
0.4,3.3e-21
0.5,5.1e-21
0.7,8.6e-21
1.0,1.38e-20
1.2,1.66e-20
1.3,1.82e-20
1.5,2.1e-20
1.7,2.3e-20
1.9,2.5e-20
2.1,2.8e-20
2.2,2.9e-20
2.5,3.3e-20
2.8,3.8e-20
3.0,4.1e-20
3.3,4.5e-20
3.6,4.9e-20
4.0,5.4e-20
4.5,6.1e-20
5.0,6.7e-20
6.0,8.1e-20
7.0,9.6e-20
8.0,1.17e-19
10.0,1.5e-19
12.0,1.45e-19
15.0,1.37e-19
17.0,1.1e-19
20.0,9.2e-20
25.0,6.8e-20
30.0,5.5e-20
50.0,3.2e-20
75.0,2.15e-20
100.0,1.6e-20
150.0,1.1e-20
200.0,8.8e-21
300.0,6e-21
500.0,3.7e-21
700.0,2.6e-21
1000.0,1.7e-21
