# E + Ar -> E + Ar(3d[5/2]3 + 5s[3/2]1), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(3d[5/2]3 + 5s[3/2]1)
# Threshold: 14.09 eV
# Comment: Century: Argon NIFS-DATA-7 National Institute for Fusion Science (Jpn), ISSN 0915-6364.
# Updated: 2018-04-20 19:51:43
# Data points: 20
energy_eV,cross_section_m2
14.09,0.0
15.0,2.2e-23
16.0,5e-23
18.0,9.5e-23
20.0,1.23e-22
22.0,1.42e-22
25.0,1.64e-22
30.0,1.91e-22
35.0,2.08e-22
40.0,2.22e-22
50.0,2.39e-22
60.0,2.45e-22
80.0,2.43e-22
100.0,2.3e-22
150.0,2e-22
200.0,1.75e-22
300.0,1.4e-22
500.0,1.02e-22
800.0,7.5e-23
1000.0,6.4e-23
