# E + Ar -> E + Ar(3d'[5/2or3/2]3or2+5s'[1/2]0or1), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(3d'[5/2or3/2]3or2+5s'[1/2]0or1)
# Threshold: 14.23 eV
# Comment: (Jpn), ISSN 0915-6364.
# Updated: 2018-04-20 19:47:54
# Data points: 21
energy_eV,cross_section_m2
14.23,0.0
15.0,4e-23
16.0,9.6e-23
18.0,1.9e-22
19.0,2.28e-22
20.0,2.55e-22
22.0,2.85e-22
25.0,3.1e-22
30.0,3.1e-22
35.0,2.9e-22
40.0,2.65e-22
50.0,2.15e-22
60.0,1.8e-22
80.0,1.38e-22
100.0,1.1e-22
150.0,7.6e-23
200.0,5.8e-23
300.0,3.95e-23
500.0,2.42e-23
800.0,1.57e-23
1000.0,1.27e-23
