# E + Ar -> E + Ar(3P2), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(3P2)
# Threshold: 11.548 eV
# Comment: Opt. Phys. 37 247.
# Updated: 2018-04-20 19:45:27
# Data points: 27
energy_eV,cross_section_m2
11.548,0.0
13.0,3.237651e-22
14.0,6.696381e-22
15.0,8.379833e-22
16.0,8.465143e-22
17.0,7.921512e-22
18.0,7.239988e-22
19.0,6.652126e-22
20.0,6.126511e-22
21.0,5.627307e-22
22.0,5.148532e-22
23.0,4.691839e-22
24.0,4.258879e-22
25.0,3.851303e-22
30.0,2.211297e-22
35.0,1.188919e-22
40.0,6.437844e-23
45.0,4.149204e-23
50.0,3.413557e-23
80.0,6.59194e-24
90.0,4.53205e-24
100.0,3.45306e-24
200.0,1.02153e-24
300.0,5.99526e-25
400.0,4.24309e-25
500.0,3.28376e-25
1000.0,1.5423e-25
