# E + Ar -> E + Ar(4d), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(4d)
# Threshold: 14.78 eV
# Comment: EUR-CEA-FC-383.
# Updated: 2018-04-20 19:53:13
# Data points: 25
energy_eV,cross_section_m2
14.78,0.0
15.0,5.218821e-24
16.0,3.233615e-23
17.0,6.256972e-23
18.0,9.369428e-23
19.0,1.243855e-22
20.0,1.538761e-22
21.0,1.817456e-22
22.0,2.077905e-22
23.0,2.319418e-22
24.0,2.542135e-22
25.0,2.746685e-22
30.0,3.532295e-22
35.0,4.018518e-22
40.0,4.309664e-22
45.0,4.474586e-22
50.0,4.557077e-22
80.0,4.370884e-22
90.0,4.228437e-22
100.0,4.081799e-22
200.0,2.937922e-22
300.0,2.298979e-22
400.0,1.901955e-22
500.0,1.6304e-22
1000.0,9.808172e-23
