# E + Ar -> E + Ar(4p'[1/2]0), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(4p'[1/2]0)
# Threshold: 13.48 eV
# Comment: 57 267.
# Updated: 2018-04-20 19:53:46
# Data points: 26
energy_eV,cross_section_m2
13.48,0.0
14.0,1.60409e-23
15.0,7.272488e-23
16.0,1.474013e-22
17.0,2.510633e-22
18.0,3.876606e-22
19.0,5.059534e-22
20.0,4.889453e-22
21.0,4.718934e-22
22.0,4.625462e-22
23.0,4.551927e-22
24.0,4.480999e-22
25.0,4.406055e-22
30.0,3.914478e-22
35.0,3.46653e-22
40.0,3.252133e-22
45.0,3.197993e-22
50.0,3.183589e-22
80.0,2.8e-22
90.0,2.623e-22
100.0,2.458e-22
200.0,1.447e-22
300.0,1.014e-22
400.0,7.79e-23
500.0,6.32e-23
1000.0,3.25e-23
