# E + Ar -> E + Ar(5p[3/2]1), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(5p[3/2]1)
# Threshold: 14.525 eV
# Comment: 032719.
# Updated: 2018-04-20 20:03:04
# Data points: 25
energy_eV,cross_section_m2
14.525,0.0
15.0,1.853305e-24
16.0,1.421391e-23
17.0,3.045223e-23
18.0,4.688188e-23
19.0,6.247583e-23
20.0,7.622235e-23
21.0,8.710968e-23
22.0,9.41261e-23
23.0,9.640587e-23
24.0,9.45362e-23
25.0,8.993716e-23
30.0,6.419587e-23
35.0,5.025642e-23
40.0,4.385464e-23
45.0,4.061826e-23
50.0,3.896977e-23
80.0,3.56e-23
90.0,3.4e-23
100.0,3.23e-23
200.0,2e-23
300.0,1.42e-23
400.0,1.1e-23
500.0,8.91755e-24
1000.0,4.61625e-24
