# E + Ar -> E + Ar(6s), Excitation
# Source: LXCat, IST-Lisbon database
# Target: Ar -> Ar(6s)
# Threshold: 14.842 eV
# Comment: EUR-CEA-FC-383.
# Updated: 2018-04-20 20:04:17
# Data points: 25
energy_eV,cross_section_m2
14.842,0.0
15.0,6.019327e-25
16.0,4.94803e-24
17.0,9.828197e-24
18.0,1.487199e-23
19.0,1.985817e-23
20.0,2.465793e-23
21.0,2.920008e-23
22.0,3.344952e-23
23.0,3.739363e-23
24.0,4.103365e-23
25.0,4.437914e-23
30.0,5.724992e-23
35.0,6.52381e-23
40.0,7.003704e-23
45.0,7.276896e-23
50.0,7.414913e-23
80.0,7.122819e-23
90.0,6.892436e-23
100.0,6.654736e-23
200.0,4.794012e-23
300.0,3.752542e-23
400.0,3.104999e-23
500.0,2.661954e-23
1000.0,1.601764e-23
