# Excitation rates (ist_lisbon, 37 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,1.456680e-25,2.745783e-43
0.550,1.459043e-24,2.760158e-42
0.600,1.000605e-23,1.900278e-41
0.650,5.129145e-23,9.780655e-41
0.700,2.091860e-22,4.005562e-40
0.750,7.104835e-22,1.366152e-39
0.800,2.079439e-21,4.015009e-39
0.850,5.383148e-21,1.043600e-38
0.900,1.257840e-20,2.448098e-38
0.950,2.695612e-20,5.266307e-38
1.000,5.366456e-20,1.052241e-37
1.050,1.002800e-19,1.973114e-37
1.100,1.773868e-19,3.501859e-37
1.150,2.991259e-19,5.923814e-37
1.200,4.836755e-19,9.607342e-37
1.250,7.536327e-19,1.501221e-36
1.300,1.136274e-18,2.269551e-36
1.350,1.663686e-18,3.331496e-36
1.400,2.372753e-18,4.762926e-36
1.450,3.305021e-18,6.649580e-36
1.500,4.506440e-18,9.086577e-36
1.550,6.026992e-18,1.217770e-35
1.600,7.920244e-18,1.603449e-35
1.650,1.024283e-17,2.077519e-35
1.700,1.305386e-17,2.652358e-35
1.750,1.641437e-17,3.340773e-35
1.800,2.038666e-17,4.155876e-35
1.850,2.503372e-17,5.110951e-35
1.900,3.041861e-17,6.219336e-35
1.950,3.660395e-17,7.494299e-35
2.000,4.365133e-17,8.948925e-35
2.050,5.162085e-17,1.059602e-34
2.100,6.057069e-17,1.244799e-34
2.150,7.055672e-17,1.451681e-34
2.200,8.163215e-17,1.681389e-34
2.250,9.384722e-17,1.935004e-34
2.300,1.072490e-16,2.213543e-34
2.350,1.218812e-16,2.517951e-34
2.400,1.377840e-16,2.849100e-34
2.450,1.549940e-16,3.207790e-34
2.500,1.735440e-16,3.594738e-34
2.550,1.934630e-16,4.010588e-34
2.600,2.147767e-16,4.455903e-34
2.650,2.375067e-16,4.931169e-34
2.700,2.616711e-16,5.436795e-34
2.750,2.872845e-16,5.973116e-34
2.800,3.143580e-16,6.540392e-34
2.850,3.428993e-16,7.138813e-34
2.900,3.729132e-16,7.768501e-34
2.950,4.044010e-16,8.429511e-34
3.000,4.373614e-16,9.121837e-34
3.050,4.717901e-16,9.845413e-34
3.100,5.076803e-16,1.060012e-33
3.150,5.450228e-16,1.138577e-33
3.200,5.838059e-16,1.220215e-33
3.250,6.240159e-16,1.304898e-33
3.300,6.656371e-16,1.392595e-33
3.350,7.086519e-16,1.483271e-33
3.400,7.530410e-16,1.576886e-33
3.450,7.987837e-16,1.673397e-33
3.500,8.458576e-16,1.772759e-33
3.550,8.942394e-16,1.874925e-33
3.600,9.439045e-16,1.979842e-33
3.650,9.948271e-16,2.087457e-33
3.700,1.046981e-15,2.197716e-33
3.750,1.100338e-15,2.310562e-33
3.800,1.154872e-15,2.425937e-33
3.850,1.210553e-15,2.543780e-33
3.900,1.267352e-15,2.664031e-33
3.950,1.325240e-15,2.786629e-33
4.000,1.384187e-15,2.911511e-33
4.050,1.444164e-15,3.038615e-33
4.100,1.505140e-15,3.167876e-33
4.150,1.567086e-15,3.299233e-33
4.200,1.629970e-15,3.432620e-33
4.250,1.693764e-15,3.567975e-33
4.300,1.758436e-15,3.705235e-33
4.350,1.823958e-15,3.844335e-33
4.400,1.890299e-15,3.985214e-33
4.450,1.957431e-15,4.127809e-33
4.500,2.025323e-15,4.272058e-33
4.550,2.093947e-15,4.417900e-33
4.600,2.163275e-15,4.565275e-33
4.650,2.233279e-15,4.714122e-33
4.700,2.303930e-15,4.864383e-33
4.750,2.375201e-15,5.015999e-33
4.800,2.447065e-15,5.168912e-33
4.850,2.519496e-15,5.323068e-33
4.900,2.592468e-15,5.478408e-33
4.950,2.665955e-15,5.634880e-33
5.000,2.739931e-15,5.792430e-33
5.050,2.814373e-15,5.951005e-33
5.100,2.889256e-15,6.110552e-33
5.150,2.964556e-15,6.271023e-33
5.200,3.040250e-15,6.432366e-33
5.250,3.116316e-15,6.594534e-33
5.300,3.192731e-15,6.757479e-33
5.350,3.269474e-15,6.921155e-33
5.400,3.346523e-15,7.085516e-33
5.450,3.423858e-15,7.250518e-33
5.500,3.501458e-15,7.416117e-33
5.550,3.579305e-15,7.582272e-33
5.600,3.657378e-15,7.748941e-33
5.650,3.735658e-15,7.916084e-33
5.700,3.814129e-15,8.083661e-33
5.750,3.892771e-15,8.251634e-33
5.800,3.971568e-15,8.419967e-33
5.850,4.050503e-15,8.588623e-33
5.900,4.129559e-15,8.757566e-33
5.950,4.208720e-15,8.926763e-33
6.000,4.287971e-15,9.096179e-33
6.050,4.367297e-15,9.265782e-33
6.100,4.446683e-15,9.435542e-33
6.150,4.526115e-15,9.605426e-33
6.200,4.605579e-15,9.775405e-33
6.250,4.685061e-15,9.945451e-33
6.300,4.764549e-15,1.011553e-32
6.350,4.844030e-15,1.028563e-32
6.400,4.923492e-15,1.045571e-32
6.450,5.002923e-15,1.062574e-32
6.500,5.082311e-15,1.079571e-32
6.550,5.161646e-15,1.096559e-32
6.600,5.240915e-15,1.113536e-32
6.650,5.320110e-15,1.130499e-32
6.700,5.399220e-15,1.147446e-32
6.750,5.478234e-15,1.164375e-32
6.800,5.557144e-15,1.181284e-32
6.850,5.635941e-15,1.198171e-32
6.900,5.714615e-15,1.215034e-32
6.950,5.793157e-15,1.231871e-32
7.000,5.871561e-15,1.248681e-32
7.050,5.949817e-15,1.265461e-32
7.100,6.027919e-15,1.282210e-32
7.150,6.105857e-15,1.298927e-32
7.200,6.183627e-15,1.315609e-32
7.250,6.261219e-15,1.332255e-32
7.300,6.338629e-15,1.348864e-32
7.350,6.415849e-15,1.365435e-32
7.400,6.492874e-15,1.381966e-32
7.450,6.569696e-15,1.398455e-32
7.500,6.646312e-15,1.414902e-32
7.550,6.722715e-15,1.431306e-32
7.600,6.798899e-15,1.447664e-32
7.650,6.874861e-15,1.463977e-32
7.700,6.950594e-15,1.480242e-32
7.750,7.026095e-15,1.496460e-32
7.800,7.101359e-15,1.512628e-32
7.850,7.176382e-15,1.528747e-32
7.900,7.251159e-15,1.544814e-32
7.950,7.325687e-15,1.560830e-32
8.000,7.399962e-15,1.576794e-32
8.050,7.473981e-15,1.592704e-32
8.100,7.547740e-15,1.608560e-32
8.150,7.621236e-15,1.624361e-32
8.200,7.694466e-15,1.640107e-32
8.250,7.767427e-15,1.655797e-32
8.300,7.840116e-15,1.671430e-32
8.350,7.912531e-15,1.687005e-32
8.400,7.984669e-15,1.702523e-32
8.450,8.056529e-15,1.717983e-32
8.500,8.128107e-15,1.733384e-32
8.550,8.199402e-15,1.748725e-32
8.600,8.270411e-15,1.764007e-32
8.650,8.341134e-15,1.779228e-32
8.700,8.411568e-15,1.794389e-32
8.750,8.481712e-15,1.809489e-32
8.800,8.551564e-15,1.824528e-32
8.850,8.621123e-15,1.839506e-32
