# E + Ar -> E + Ar, Elastic
# Source: LXCat, Morgan (Kinema Research & Software)
# Target: Ar
# m/M: 1.36e-05
# Comment: ELASTIC MOMENTUM TRANSFER.
# Updated: 2013-04-19 14:30:41
# Data points: 60
energy_eV,cross_section_m2
0.0,7.92e-20
0.003,5.744e-20
0.006,4.996e-20
0.01,4.316e-20
0.012,4.047e-20
0.014,3.809e-20
0.017,3.498e-20
0.02,3.229e-20
0.025,2.818e-20
0.03,2.532e-20
0.035,2.261e-20
0.04,2.029e-20
0.05,1.647e-20
0.06,1.347e-20
0.07,1.108e-20
0.08,9.128e-21
0.09,7.519e-21
0.1,6.211e-21
0.11,5.119e-21
0.12,4.218e-21
0.13,3.498e-21
0.14,2.858e-21
0.15,2.346e-21
0.17,1.624e-21
0.18,1.368e-21
0.19,1.171e-21
0.2,1.035e-21
0.21,9.41e-22
0.22,8.86e-22
0.23,8.67e-22
0.24,8.78e-22
0.25,9.17e-22
0.26,9.78e-22
0.27,1.06e-21
0.28,1.161e-21
0.3,1.406e-21
0.35,2.206e-21
0.4,3.152e-21
0.5,5.169e-21
0.7,8.956e-21
0.8,1.068e-20
1.0,1.403e-20
1.2,1.66e-20
1.5,2.05e-20
1.7,2.33e-20
2.0,2.7e-20
2.5,3.43e-20
3.0,4.1e-20
4.0,5.4e-20
5.0,7e-20
6.0,8.6e-20
7.0,1.02e-19
8.0,1.23e-19
10.0,1.58e-19
12.0,1.65e-19
17.0,1.31e-19
20.0,1.15e-19
25.0,9e-20
30.0,7.2e-20
75.0,3.5e-20
