# E + Ar -> E + Ar, Elastic
# Source: LXCat, Puech database
# Target: Ar
# m/M: 1.36e-05
# Comment: elastic MOMENTUM-TRANSFER CROSS SECTION.
# Updated: 2012-11-27 08:09:56
# Data points: 67
energy_eV,cross_section_m2
0.0,7.05e-20
0.0001,7.05e-20
0.0004,7.05e-20
0.0009,7.05e-20
0.0016,7.2e-20
0.0025,7.3e-20
0.0036,7.2e-20
0.0049,7e-20
0.0064,6.5e-20
0.0081,6e-20
0.0103,5e-20
0.0144,3.9e-20
0.0221,3.12e-20
0.0324,2.44e-20
0.04,2.05e-20
0.0484,1.72e-20
0.0651,1.23e-20
0.0786,9.44e-21
0.103,5.88e-21
0.1156,4.56e-21
0.15,2.33e-21
0.2,1.01e-21
0.25,9.1e-22
0.3,1.51e-21
0.35,2.43e-21
0.42,3.54e-21
0.5,5.04e-21
0.6,6.96e-21
0.7,8.78e-21
0.85,1.13e-20
1.0,1.37e-20
1.1,1.51e-20
1.2,1.66e-20
1.3,1.79e-20
1.4,1.92e-20
1.5,2.05e-20
1.6,2.19e-20
1.7,2.33e-20
1.8,2.45e-20
1.9,2.58e-20
2.0,2.7e-20
2.2,2.99e-20
2.6,3.58e-20
2.8,3.89e-20
3.0,4.2e-20
3.3,4.65e-20
3.6,5.1e-20
4.0,5.8e-20
4.5,6.5e-20
4.9,7e-20
5.2,7.5e-20
5.6,8.1e-20
6.4,9.2e-20
8.0,1.17e-19
10.0,1.38e-19
14.0,1.4e-19
18.0,1.15e-19
20.0,1.04e-19
25.0,7.5e-20
35.0,4.6e-20
40.0,3.8e-20
42.0,3.5e-20
50.0,2.7e-20
56.0,2.2e-20
75.0,1.35e-20
100.0,8e-21
150.0,4e-21
