# E + Ar -> E + Ar(2p10: 4p(1/2)1), Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(2p10: 4p(1/2)1)
# Threshold: 12.906 eV
# Updated: 2012-11-14 09:34:55
# Data points: 106
energy_eV,cross_section_m2
12.906,0.0
13.0,4.79e-24
13.1,7.859999e-24
13.2,1.08e-23
13.3,1.36e-23
13.4,1.63e-23
13.5,1.89e-23
13.6,2.14e-23
13.7,2.38e-23
13.8,2.62e-23
13.9,2.84e-23
14.0,3.05e-23
14.1,3.26e-23
14.2,3.46e-23
14.3,3.65e-23
14.4,3.84e-23
14.5,4.02e-23
14.6,4.2e-23
14.7,4.37e-23
14.8,4.53e-23
14.9,4.69e-23
15.0,4.85e-23
15.1,5e-23
15.2,5.15e-23
15.3,5.3e-23
15.4,5.44e-23
15.5,5.59e-23
15.6,5.72e-23
15.7,5.86e-23
15.8,6e-23
15.9,6.13e-23
16.0,6.26e-23
16.1,6.399999e-23
16.2,6.53e-23
16.3,6.66e-23
16.4,6.79e-23
16.5,6.92e-23
16.6,7.05e-23
16.7,7.19e-23
16.8,7.319999e-23
16.9,7.459999e-23
17.0,7.59e-23
17.1,7.73e-23
17.2,7.87e-23
17.3,8.01e-23
17.4,8.159999e-23
17.5,8.31e-23
17.6,8.46e-23
17.7,8.61e-23
17.8,8.77e-23
17.9,8.929999e-23
18.0,9.089999e-23
18.1,9.26e-23
18.2,9.429999e-23
18.3,9.609999e-23
18.4,9.789999e-23
18.5,9.979999e-23
18.6,1.02e-22
18.7,1.04e-22
18.8,1.06e-22
18.9,1.08e-22
19.0,1.1e-22
19.1,1.12e-22
19.2,1.14e-22
19.3,1.17e-22
19.4,1.19e-22
19.5,1.22e-22
19.6,1.24e-22
19.7,1.27e-22
19.8,1.29e-22
19.9,1.32e-22
21.0,1.67e-22
22.0,2.08e-22
23.0,2.58e-22
24.0,3.14e-22
25.0,3.74e-22
26.0,4.33e-22
27.0,4.87e-22
28.0,5.29e-22
29.0,5.56e-22
30.0,5.65e-22
31.0,5.53e-22
32.0,5.22e-22
33.0,4.76e-22
34.0,4.19e-22
35.0,3.56e-22
36.0,2.93e-22
37.0,2.34e-22
38.0,1.82e-22
39.0,1.38e-22
40.0,1.04e-22
41.0,7.759999e-23
42.0,5.849999e-23
43.0,4.53e-23
44.0,3.63e-23
45.0,3.04e-23
55.0,1.71e-23
60.0,1.47e-23
65.0,1.28e-23
70.0,1.12e-23
75.0,9.94e-24
80.0,8.849999e-24
85.0,7.93e-24
90.0,7.14e-24
95.0,6.47e-24
100.0,5.88e-24
