# E + Ar -> E + Ar(3d1: 3d(5/2)2 and 5s(3/2)2), Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(3d1: 3d(5/2)2 and 5s(3/2)2)
# Threshold: 14.065 eV
# Updated: 2012-11-14 09:34:55
# Data points: 95
energy_eV,cross_section_m2
14.065,0.0
14.1,3.42e-24
14.2,1.31e-23
14.3,2.23e-23
14.4,3.12e-23
14.5,3.97e-23
14.6,4.79e-23
14.7,5.57e-23
14.8,6.31e-23
14.9,7.03e-23
15.0,7.72e-23
15.1,8.37e-23
15.2,8.999999e-23
15.3,9.6e-23
15.4,1.02e-22
15.5,1.07e-22
15.6,1.13e-22
15.7,1.18e-22
15.8,1.23e-22
15.9,1.27e-22
16.0,1.32e-22
16.1,1.36e-22
16.2,1.4e-22
16.3,1.44e-22
16.4,1.47e-22
16.5,1.51e-22
16.6,1.54e-22
16.7,1.58e-22
16.8,1.61e-22
16.9,1.64e-22
17.0,1.66e-22
17.1,1.69e-22
17.2,1.72e-22
17.3,1.74e-22
17.4,1.76e-22
17.5,1.79e-22
17.6,1.81e-22
17.7,1.83e-22
17.8,1.85e-22
17.9,1.86e-22
18.0,1.88e-22
18.1,1.9e-22
18.2,1.91e-22
18.3,1.93e-22
18.4,1.94e-22
18.5,1.95e-22
18.6,1.96e-22
18.7,1.97e-22
18.8,1.99e-22
18.9,2e-22
19.0,2e-22
19.1,2.01e-22
19.2,2.02e-22
19.3,2.03e-22
19.4,2.04e-22
19.5,2.04e-22
19.6,2.05e-22
19.7,2.05e-22
19.8,2.06e-22
19.9,2.06e-22
21.0,2.09e-22
22.0,2.08e-22
23.0,2.05e-22
24.0,2e-22
25.0,1.95e-22
26.0,1.89e-22
27.0,1.83e-22
28.0,1.77e-22
29.0,1.71e-22
30.0,1.64e-22
31.0,1.58e-22
32.0,1.53e-22
33.0,1.47e-22
34.0,1.41e-22
35.0,1.36e-22
36.0,1.31e-22
37.0,1.26e-22
38.0,1.22e-22
39.0,1.17e-22
40.0,1.13e-22
41.0,1.09e-22
42.0,1.05e-22
43.0,1.01e-22
44.0,9.789999e-23
45.0,9.46e-23
55.0,6.86e-23
60.0,5.93e-23
65.0,5.17e-23
70.0,4.55e-23
75.0,4.03e-23
80.0,3.59e-23
85.0,3.22e-23
90.0,2.9e-23
95.0,2.63e-23
100.0,2.4e-23
