# E + Ar -> E + Ar(3d2: 3d(3/2)1), Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(3d2: 3d(3/2)1)
# Threshold: 14.152 eV
# Updated: 2012-11-14 09:34:55
# Data points: 94
energy_eV,cross_section_m2
14.152,0.0
14.2,1.85e-26
14.3,1.8e-25
14.4,5.01e-25
14.5,9.73e-25
14.6,1.59e-24
14.7,2.34e-24
14.8,3.22e-24
14.9,4.22e-24
15.0,5.33e-24
15.1,6.56e-24
15.2,7.879999e-24
15.3,9.31e-24
15.4,1.08e-23
15.5,1.24e-23
15.6,1.41e-23
15.7,1.59e-23
15.8,1.77e-23
15.9,1.96e-23
16.0,2.16e-23
16.1,2.36e-23
16.2,2.57e-23
16.3,2.78e-23
16.4,3e-23
16.5,3.23e-23
16.6,3.45e-23
16.7,3.69e-23
16.8,3.92e-23
16.9,4.16e-23
17.0,4.4e-23
17.1,4.65e-23
17.2,4.9e-23
17.3,5.15e-23
17.4,5.4e-23
17.5,5.659999e-23
17.6,5.92e-23
17.7,6.17e-23
17.8,6.44e-23
17.9,6.7e-23
18.0,6.96e-23
18.1,7.23e-23
18.2,7.49e-23
18.3,7.759999e-23
18.4,8.03e-23
18.5,8.299999e-23
18.6,8.569999e-23
18.7,8.83e-23
18.8,9.1e-23
18.9,9.37e-23
19.0,9.64e-23
19.1,9.909999e-23
19.2,1.02e-22
19.3,1.05e-22
19.4,1.07e-22
19.5,1.1e-22
19.6,1.13e-22
19.7,1.15e-22
19.8,1.18e-22
19.9,1.21e-22
21.0,1.49e-22
22.0,1.74e-22
23.0,1.98e-22
24.0,2.2e-22
25.0,2.41e-22
26.0,2.6e-22
27.0,2.78e-22
28.0,2.94e-22
29.0,3.09e-22
30.0,3.23e-22
31.0,3.35e-22
32.0,3.47e-22
33.0,3.57e-22
34.0,3.67e-22
35.0,3.76e-22
36.0,3.84e-22
37.0,3.91e-22
38.0,3.98e-22
39.0,4.04e-22
40.0,4.09e-22
41.0,4.14e-22
42.0,4.19e-22
43.0,4.23e-22
44.0,4.26e-22
45.0,4.3e-22
55.0,4.47e-22
60.0,4.49e-22
65.0,4.47e-22
70.0,4.44e-22
75.0,4.4e-22
80.0,4.35e-22
85.0,4.29e-22
90.0,4.22e-22
95.0,4.16e-22
100.0,4.09e-22
