# E + Ar -> E + Ar(3d4: 3d(7/2)3), Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(3d4: 3d(7/2)3)
# Threshold: 14.02 eV
# Updated: 2012-11-14 09:34:55
# Data points: 95
energy_eV,cross_section_m2
14.02,0.0
14.1,6.12e-24
14.2,1.35e-23
14.3,2.06e-23
14.4,2.74e-23
14.5,3.4e-23
14.6,4.02e-23
14.7,4.62e-23
14.8,5.19e-23
14.9,5.74e-23
15.0,6.27e-23
15.1,6.77e-23
15.2,7.25e-23
15.3,7.71e-23
15.4,8.159999e-23
15.5,8.58e-23
15.6,8.98e-23
15.7,9.37e-23
15.8,9.739999e-23
15.9,1.01e-22
16.0,1.04e-22
16.1,1.08e-22
16.2,1.11e-22
16.3,1.14e-22
16.4,1.16e-22
16.5,1.19e-22
16.6,1.22e-22
16.7,1.24e-22
16.8,1.27e-22
16.9,1.29e-22
17.0,1.31e-22
17.1,1.33e-22
17.2,1.35e-22
17.3,1.37e-22
17.4,1.39e-22
17.5,1.4e-22
17.6,1.42e-22
17.7,1.43e-22
17.8,1.45e-22
17.9,1.46e-22
18.0,1.47e-22
18.1,1.49e-22
18.2,1.5e-22
18.3,1.51e-22
18.4,1.52e-22
18.5,1.53e-22
18.6,1.54e-22
18.7,1.55e-22
18.8,1.55e-22
18.9,1.56e-22
19.0,1.57e-22
19.1,1.57e-22
19.2,1.58e-22
19.3,1.59e-22
19.4,1.59e-22
19.5,1.6e-22
19.6,1.6e-22
19.7,1.6e-22
19.8,1.61e-22
19.9,1.61e-22
21.0,1.63e-22
22.0,1.62e-22
23.0,1.59e-22
24.0,1.56e-22
25.0,1.52e-22
26.0,1.47e-22
27.0,1.42e-22
28.0,1.38e-22
29.0,1.33e-22
30.0,1.28e-22
31.0,1.23e-22
32.0,1.18e-22
33.0,1.14e-22
34.0,1.1e-22
35.0,1.06e-22
36.0,1.02e-22
37.0,9.8e-23
38.0,9.44e-23
39.0,9.089999e-23
40.0,8.77e-23
41.0,8.449999e-23
42.0,8.159999e-23
43.0,7.87e-23
44.0,7.6e-23
45.0,7.34e-23
55.0,5.32e-23
60.0,4.6e-23
65.0,4.01e-23
70.0,3.53e-23
75.0,3.12e-23
80.0,2.78e-23
85.0,2.5e-23
90.0,2.25e-23
95.0,2.04e-23
100.0,1.86e-23
