# E + Ar -> E + Ar(3s1: 3d'(3/2)2 and 3d'(5/2)3, Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(3s1: 3d'(3/2)2 and 3d'(5/2)3
# Threshold: 14.236 eV
# Updated: 2012-11-14 09:34:55
# Data points: 93
energy_eV,cross_section_m2
14.236,0.0
14.3,5.43e-24
14.4,1.37e-23
14.5,2.16e-23
14.6,2.92e-23
14.7,3.65e-23
14.8,4.35e-23
14.9,5.02e-23
15.0,5.659999e-23
15.1,6.28e-23
15.2,6.87e-23
15.3,7.43e-23
15.4,7.98e-23
15.5,8.5e-23
15.6,8.99e-23
15.7,9.469999e-23
15.8,9.929999e-23
15.9,1.04e-22
16.0,1.08e-22
16.1,1.12e-22
16.2,1.16e-22
16.3,1.19e-22
16.4,1.23e-22
16.5,1.26e-22
16.6,1.29e-22
16.7,1.32e-22
16.8,1.35e-22
16.9,1.38e-22
17.0,1.41e-22
17.1,1.43e-22
17.2,1.46e-22
17.3,1.48e-22
17.4,1.5e-22
17.5,1.52e-22
17.6,1.54e-22
17.7,1.56e-22
17.8,1.58e-22
17.9,1.6e-22
18.0,1.62e-22
18.1,1.63e-22
18.2,1.65e-22
18.3,1.66e-22
18.4,1.67e-22
18.5,1.69e-22
18.6,1.7e-22
18.7,1.71e-22
18.8,1.72e-22
18.9,1.73e-22
19.0,1.74e-22
19.1,1.75e-22
19.2,1.76e-22
19.3,1.76e-22
19.4,1.77e-22
19.5,1.78e-22
19.6,1.78e-22
19.7,1.79e-22
19.8,1.79e-22
19.9,1.8e-22
21.0,1.83e-22
22.0,1.83e-22
23.0,1.8e-22
24.0,1.77e-22
25.0,1.73e-22
26.0,1.68e-22
27.0,1.62e-22
28.0,1.57e-22
29.0,1.52e-22
30.0,1.46e-22
31.0,1.41e-22
32.0,1.36e-22
33.0,1.31e-22
34.0,1.26e-22
35.0,1.21e-22
36.0,1.17e-22
37.0,1.13e-22
38.0,1.08e-22
39.0,1.05e-22
40.0,1.01e-22
41.0,9.73e-23
42.0,9.39e-23
43.0,9.06e-23
44.0,8.75e-23
45.0,8.46e-23
55.0,6.14e-23
60.0,5.309999e-23
65.0,4.63e-23
70.0,4.07e-23
75.0,3.61e-23
80.0,3.22e-23
85.0,2.89e-23
90.0,2.6e-23
95.0,2.36e-23
100.0,2.15e-23
