# E + Ar -> E + Ar(3s1: 3d'(3/2)1), Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(3s1: 3d'(3/2)1)
# Threshold: 14.303 eV
# Updated: 2012-11-14 09:34:55
# Data points: 92
energy_eV,cross_section_m2
14.303,0.0
14.4,1.48e-25
14.5,6.1e-25
14.6,1.37e-24
14.7,2.41e-24
14.8,3.72e-24
14.9,5.28e-24
15.0,7.089999e-24
15.1,9.12e-24
15.2,1.14e-23
15.3,1.38e-23
15.4,1.65e-23
15.5,1.93e-23
15.6,2.23e-23
15.7,2.54e-23
15.8,2.88e-23
15.9,3.22e-23
16.0,3.58e-23
16.1,3.95e-23
16.2,4.34e-23
16.3,4.73e-23
16.4,5.14e-23
16.5,5.56e-23
16.6,5.98e-23
16.7,6.42e-23
16.8,6.86e-23
16.9,7.31e-23
17.0,7.77e-23
17.1,8.24e-23
17.2,8.709999e-23
17.3,9.189999e-23
17.4,9.669999e-23
17.5,1.02e-22
17.6,1.06e-22
17.7,1.11e-22
17.8,1.16e-22
17.9,1.21e-22
18.0,1.27e-22
18.1,1.32e-22
18.2,1.37e-22
18.3,1.42e-22
18.4,1.47e-22
18.5,1.52e-22
18.6,1.57e-22
18.7,1.63e-22
18.8,1.68e-22
18.9,1.73e-22
19.0,1.78e-22
19.1,1.83e-22
19.2,1.89e-22
19.3,1.94e-22
19.4,1.99e-22
19.5,2.04e-22
19.6,2.1e-22
19.7,2.15e-22
19.8,2.2e-22
19.9,2.25e-22
21.0,2.81e-22
22.0,3.3e-22
23.0,3.77e-22
24.0,4.2e-22
25.0,4.61e-22
26.0,4.99e-22
27.0,5.34e-22
28.0,5.66e-22
29.0,5.96e-22
30.0,6.23e-22
31.0,6.49e-22
32.0,6.719999e-22
33.0,6.93e-22
34.0,7.12e-22
35.0,7.3e-22
36.0,7.46e-22
37.0,7.6e-22
38.0,7.74e-22
39.0,7.86e-22
40.0,7.97e-22
41.0,8.07e-22
42.0,8.16e-22
43.0,8.24e-22
44.0,8.32e-22
45.0,8.389999e-22
55.0,8.739999e-22
60.0,8.78e-22
65.0,8.77e-22
70.0,8.71e-22
75.0,8.63e-22
80.0,8.529999e-22
85.0,8.42e-22
90.0,8.3e-22
95.0,8.169999e-22
100.0,8.04e-22
