# E + Ar -> E + Ar(: 4d(1/2)1 and 6S(3/2)1 and 4, Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(: 4d(1/2)1 and 6S(3/2)1 and 4
# Threshold: 14.805 eV
# Updated: 2012-11-14 09:34:55
# Data points: 87
energy_eV,cross_section_m2
14.805,0.0
14.9,6.76e-26
15.0,2.85e-25
15.1,6.449999e-25
15.2,1.14e-24
15.3,1.76e-24
15.4,2.51e-24
15.5,3.37e-24
15.6,4.34e-24
15.7,5.42e-24
15.8,6.59e-24
15.9,7.859999e-24
16.0,9.22e-24
16.1,1.07e-23
16.2,1.22e-23
16.3,1.38e-23
16.4,1.55e-23
16.5,1.72e-23
16.6,1.9e-23
16.7,2.08e-23
16.8,2.28e-23
16.9,2.47e-23
17.0,2.68e-23
17.1,2.88e-23
17.2,3.09e-23
17.3,3.31e-23
17.4,3.53e-23
17.5,3.75e-23
17.6,3.98e-23
17.7,4.21e-23
17.8,4.44e-23
17.9,4.67e-23
18.0,4.91e-23
18.1,5.15e-23
18.2,5.39e-23
18.3,5.64e-23
18.4,5.88e-23
18.5,6.13e-23
18.6,6.38e-23
18.7,6.63e-23
18.8,6.879999e-23
18.9,7.14e-23
19.0,7.39e-23
19.1,7.65e-23
19.2,7.9e-23
19.3,8.159999e-23
19.4,8.41e-23
19.5,8.67e-23
19.6,8.929999e-23
19.7,9.189999e-23
19.8,9.44e-23
19.9,9.7e-23
21.0,1.25e-22
22.0,1.5e-22
23.0,1.74e-22
24.0,1.97e-22
25.0,2.18e-22
26.0,2.38e-22
27.0,2.56e-22
28.0,2.74e-22
29.0,2.89e-22
30.0,3.04e-22
31.0,3.18e-22
32.0,3.3e-22
33.0,3.42e-22
34.0,3.52e-22
35.0,3.62e-22
36.0,3.71e-22
37.0,3.79e-22
38.0,3.86e-22
39.0,3.93e-22
40.0,3.99e-22
41.0,4.05e-22
42.0,4.1e-22
43.0,4.15e-22
44.0,4.19e-22
45.0,4.23e-22
55.0,4.45e-22
60.0,4.48e-22
65.0,4.48e-22
70.0,4.46e-22
75.0,4.43e-22
80.0,4.38e-22
85.0,4.33e-22
90.0,4.27e-22
95.0,4.21e-22
100.0,4.15e-22
