# E + Ar -> E + Ar(:4d'(3/2)1 and 6s'(1/2)1 and, Excitation
# Source: LXCat, Puech database
# Target: Ar -> Ar(:4d'(3/2)1 and 6s'(1/2)1 and
# Threshold: 15.103 eV
# Updated: 2012-11-14 09:34:55
# Data points: 84
energy_eV,cross_section_m2
15.103,0.0
15.2,9.42e-26
15.3,3.89e-25
15.4,8.74e-25
15.5,1.54e-24
15.6,2.38e-24
15.7,3.38e-24
15.8,4.54e-24
15.9,5.85e-24
16.0,7.3e-24
16.1,8.88e-24
16.2,1.06e-23
16.3,1.24e-23
16.4,1.44e-23
16.5,1.64e-23
16.6,1.86e-23
16.7,2.08e-23
16.8,2.31e-23
16.9,2.56e-23
17.0,2.81e-23
17.1,3.07e-23
17.2,3.33e-23
17.3,3.61e-23
17.4,3.89e-23
17.5,4.17e-23
17.6,4.46e-23
17.7,4.76e-23
17.8,5.06e-23
17.9,5.37e-23
18.0,5.68e-23
18.1,5.99e-23
18.2,6.31e-23
18.3,6.63e-23
18.4,6.96e-23
18.5,7.29e-23
18.6,7.619999e-23
18.7,7.95e-23
18.8,8.29e-23
18.9,8.63e-23
19.0,8.97e-23
19.1,9.309999e-23
19.2,9.65e-23
19.3,1e-22
19.4,1.03e-22
19.5,1.07e-22
19.6,1.1e-22
19.7,1.14e-22
19.8,1.17e-22
19.9,1.21e-22
21.0,1.6e-22
22.0,1.94e-22
23.0,2.27e-22
24.0,2.59e-22
25.0,2.89e-22
26.0,3.17e-22
27.0,3.43e-22
28.0,3.68e-22
29.0,3.9e-22
30.0,4.11e-22
31.0,4.31e-22
32.0,4.49e-22
33.0,4.65e-22
34.0,4.8e-22
35.0,4.94e-22
36.0,5.07e-22
37.0,5.19e-22
38.0,5.3e-22
39.0,5.4e-22
40.0,5.49e-22
41.0,5.57e-22
42.0,5.65e-22
43.0,5.72e-22
44.0,5.78e-22
45.0,5.84e-22
55.0,6.17e-22
60.0,6.23e-22
65.0,6.24e-22
70.0,6.22e-22
75.0,6.18e-22
80.0,6.12e-22
85.0,6.05e-22
90.0,5.98e-22
95.0,5.9e-22
100.0,5.81e-22
