# Ionisation rate (puech)
Te_eV,Kiz_m3s
0.500,2.268199e-28
0.550,4.105817e-27
0.600,4.622042e-26
0.650,3.608259e-25
0.700,2.111607e-24
0.750,9.808702e-24
0.800,3.775213e-23
0.850,1.244183e-22
0.900,3.602173e-22
0.950,9.349288e-22
1.000,2.210923e-21
1.050,4.826850e-21
1.100,9.834017e-21
1.150,1.886463e-20
1.200,3.432795e-20
1.250,5.962777e-20
1.300,9.939255e-20
1.350,1.597087e-19
1.400,2.483469e-19
1.450,3.749727e-19
1.500,5.513334e-19
1.550,7.914138e-19
1.600,1.111558e-18
1.650,1.530552e-18
1.700,2.069671e-18
1.750,2.752683e-18
1.800,3.605818e-18
1.850,4.657707e-18
1.900,5.939283e-18
1.950,7.483657e-18
2.000,9.325977e-18
2.050,1.150326e-17
2.100,1.405422e-17
2.150,1.701906e-17
2.200,2.043930e-17
2.250,2.435756e-17
2.300,2.881735e-17
2.350,3.386290e-17
2.400,3.953893e-17
2.450,4.589049e-17
2.500,5.296276e-17
2.550,6.080085e-17
2.600,6.944971e-17
2.650,7.895390e-17
2.700,8.935747e-17
2.750,1.007038e-16
2.800,1.130357e-16
2.850,1.263948e-16
2.900,1.408220e-16
2.950,1.563569e-16
3.000,1.730384e-16
3.050,1.909036e-16
3.100,2.099888e-16
3.150,2.303287e-16
3.200,2.519568e-16
3.250,2.749051e-16
3.300,2.992043e-16
3.350,3.248833e-16
3.400,3.519699e-16
3.450,3.804904e-16
3.500,4.104693e-16
3.550,4.419299e-16
3.600,4.748941e-16
3.650,5.093820e-16
3.700,5.454125e-16
3.750,5.830030e-16
3.800,6.221695e-16
3.850,6.629266e-16
3.900,7.052875e-16
3.950,7.492642e-16
4.000,7.948671e-16
4.050,8.421056e-16
4.100,8.909877e-16
4.150,9.415203e-16
4.200,9.937090e-16
4.250,1.047558e-15
4.300,1.103072e-15
4.350,1.160251e-15
4.400,1.219098e-15
4.450,1.279613e-15
4.500,1.341795e-15
4.550,1.405642e-15
4.600,1.471152e-15
4.650,1.538322e-15
4.700,1.607147e-15
4.750,1.677622e-15
4.800,1.749741e-15
4.850,1.823498e-15
4.900,1.898885e-15
4.950,1.975895e-15
5.000,2.054519e-15
5.050,2.134748e-15
5.100,2.216571e-15
5.150,2.299980e-15
5.200,2.384963e-15
5.250,2.471508e-15
5.300,2.559605e-15
5.350,2.649240e-15
5.400,2.740402e-15
5.450,2.833077e-15
5.500,2.927252e-15
