# E + Ar -> E + Ar(1s4), Excitation
# Source: LXCat, TRINITI database
# Target: Ar -> Ar(1s4)
# Threshold: 11.62 eV
# Comment: K.Tachibana, PhysRev A34,p.1007,1986,.
# Updated: 2017-01-18 17:50:58
# Data points: 26
energy_eV,cross_section_m2
11.62,0.0
12.31,4.648e-23
12.8,9.296e-23
13.08,1.183e-22
13.12,1.521e-22
13.37,1.437e-22
13.85,1.901e-22
14.26,2.324e-22
14.99,3.127e-22
15.64,3.676e-22
16.0,4.056e-22
16.61,4.183e-22
17.55,4.183e-22
19.01,4.056e-22
19.98,3.718e-22
21.44,3.549e-22
23.1,3.592e-22
25.01,3.761e-22
26.8,4.056e-22
30.0,4.606e-22
38.09,5.441e-22
47.16,5.964e-22
54.15,6.103e-22
68.75,5.317e-22
94.11,4.226e-22
137.2,3.135e-22
