# E + Kr -> E + Kr(2S4), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Kr -> Kr(2S4)
# Threshold: 12.3853 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-18 15:25:11
# Data points: 216
energy_eV,cross_section_m2
12.3853,0.0
12.395,1.6097e-24
12.403,2.859e-24
12.42,5.8381e-24
12.438,8.862e-24
12.457,1.1931e-23
12.475,1.5046e-23
12.494,1.8208e-23
12.514,2.1416e-23
12.533,2.4672e-23
12.553,2.7976e-23
12.574,3.1329e-23
12.595,3.4731e-23
12.616,3.8182e-23
12.637,4.1684e-23
12.659,4.5237e-23
12.681,4.8842e-23
12.704,5.2498e-23
12.727,5.6208e-23
12.75,5.997e-23
12.774,6.3786e-23
12.798,6.7657e-23
12.822,7.1583e-23
12.847,7.5564e-23
12.873,7.9601e-23
12.899,8.3695e-23
12.925,8.7846e-23
12.952,9.2055e-23
12.979,9.6322e-23
13.007,1.0065e-22
13.035,1.0503e-22
13.064,1.0948e-22
13.093,1.1399e-22
13.123,1.1855e-22
13.153,1.2318e-22
13.184,1.2788e-22
13.216,1.3263e-22
13.247,1.3745e-22
13.28,1.4233e-22
13.313,1.4727e-22
13.346,1.5228e-22
13.381,1.5736e-22
13.415,1.625e-22
13.451,1.6771e-22
13.487,1.7299e-22
13.523,1.7833e-22
13.561,1.8374e-22
13.598,1.8922e-22
13.637,1.9476e-22
13.676,2.0038e-22
13.716,2.0607e-22
13.757,2.1182e-22
13.798,2.1765e-22
13.84,2.2354e-22
13.883,2.2951e-22
13.926,2.3555e-22
13.971,2.4166e-22
14.016,2.4784e-22
14.061,2.541e-22
14.108,2.6043e-22
14.155,2.6683e-22
14.204,2.733e-22
14.253,2.7985e-22
14.303,2.8647e-22
14.354,2.9316e-22
14.405,2.9993e-22
14.458,3.0678e-22
14.511,3.1369e-22
14.566,3.2068e-22
14.621,3.2775e-22
14.678,3.3489e-22
14.735,3.421e-22
14.793,3.4939e-22
14.853,3.5676e-22
14.913,3.6419e-22
14.975,3.7171e-22
15.037,3.7929e-22
15.101,3.8695e-22
15.165,3.9469e-22
15.231,4.0249e-22
15.298,4.1038e-22
15.366,4.1833e-22
15.436,4.2636e-22
15.506,4.3446e-22
15.578,4.4263e-22
15.651,4.5087e-22
15.725,4.5919e-22
15.801,4.6757e-22
15.878,4.7603e-22
15.956,4.8455e-22
16.036,4.9315e-22
16.117,5.0181e-22
16.199,5.1054e-22
16.283,5.1934e-22
16.368,5.2821e-22
16.455,5.3714e-22
16.544,5.4613e-22
16.633,5.5519e-22
16.725,5.6431e-22
16.818,5.7349e-22
16.912,5.8273e-22
17.009,5.9204e-22
17.107,6.014e-22
17.206,6.1082e-22
17.308,6.2029e-22
17.411,6.2982e-22
17.516,6.3941e-22
17.623,6.4904e-22
17.731,6.5873e-22
17.842,6.6847e-22
17.954,6.7825e-22
18.069,6.8808e-22
18.185,6.9795e-22
18.304,7.0787e-22
18.424,7.1783e-22
18.547,7.2783e-22
18.671,7.3786e-22
18.798,7.4794e-22
18.928,7.5804e-22
19.059,7.6818e-22
19.193,7.7835e-22
19.329,7.8854e-22
19.467,7.9876e-22
19.608,8.0901e-22
19.751,8.1928e-22
19.897,8.2956e-22
20.045,8.3986e-22
20.196,8.5018e-22
20.349,8.6051e-22
20.505,8.7085e-22
20.664,8.812e-22
20.826,8.9155e-22
20.99,9.019e-22
21.158,9.1225e-22
21.328,9.226e-22
21.501,9.3294e-22
21.677,9.4328e-22
21.857,9.536e-22
22.039,9.6391e-22
22.225,9.7421e-22
22.413,9.8448e-22
22.605,9.9473e-22
22.801,1.005e-21
23.0,1.0151e-21
23.202,1.0253e-21
23.408,1.0354e-21
23.617,1.0455e-21
23.83,1.0556e-21
24.047,1.0656e-21
24.268,1.0756e-21
24.492,1.0855e-21
24.721,1.0953e-21
25.43,1.1245e-21
26.176,1.1532e-21
26.963,1.1811e-21
27.791,1.2083e-21
28.664,1.2346e-21
29.582,1.26e-21
30.884,1.2923e-21
32.278,1.3226e-21
33.773,1.3506e-21
35.791,1.3824e-21
38.456,1.4153e-21
41.935,1.4459e-21
48.326,1.4761e-21
73.401,1.4445e-21
81.369,1.4152e-21
89.01,1.3845e-21
96.011,1.3555e-21
103.64,1.3236e-21
110.24,1.2963e-21
117.31,1.2675e-21
124.89,1.2376e-21
133.0,1.2066e-21
139.47,1.1828e-21
146.28,1.1585e-21
153.45,1.1339e-21
161.01,1.109e-21
168.96,1.0838e-21
177.34,1.0585e-21
186.17,1.0331e-21
195.46,1.0076e-21
205.25,9.8217e-22
215.56,9.5675e-22
226.42,9.3144e-22
237.85,9.0626e-22
249.89,8.8127e-22
262.57,8.565e-22
275.93,8.3199e-22
290.0,8.0776e-22
299.79,7.9178e-22
309.92,7.7595e-22
320.41,7.6027e-22
331.27,7.4476e-22
342.52,7.2942e-22
354.15,7.1425e-22
366.2,6.9926e-22
378.67,6.8445e-22
391.57,6.6984e-22
404.94,6.5541e-22
418.77,6.4119e-22
433.08,6.2716e-22
447.9,6.1334e-22
463.24,5.9972e-22
479.12,5.8631e-22
495.56,5.7311e-22
530.19,5.4733e-22
567.29,5.2241e-22
607.05,4.9834e-22
649.65,4.7512e-22
695.3,4.5275e-22
744.21,4.3122e-22
796.62,4.1052e-22
852.78,3.9064e-22
912.96,3.7156e-22
977.44,3.5326e-22
