# E + Kr -> E + Kr(3D2), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Kr -> Kr(3D2)
# Threshold: 12.3546 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-18 15:24:58
# Data points: 216
energy_eV,cross_section_m2
12.3546,0.0
12.365,8.6297e-25
12.372,1.5325e-24
12.39,3.1292e-24
12.408,4.7499e-24
12.426,6.3949e-24
12.445,8.0644e-24
12.464,9.7587e-24
12.483,1.1478e-23
12.503,1.3223e-23
12.523,1.4994e-23
12.543,1.6791e-23
12.564,1.8614e-23
12.585,2.0464e-23
12.606,2.2341e-23
12.628,2.4245e-23
12.65,2.6177e-23
12.673,2.8136e-23
12.696,3.0124e-23
12.719,3.2141e-23
12.743,3.4186e-23
12.767,3.626e-23
12.792,3.8364e-23
12.817,4.0497e-23
12.842,4.2661e-23
12.868,4.4855e-23
12.895,4.7079e-23
12.921,4.9335e-23
12.949,5.1622e-23
12.976,5.394e-23
13.005,5.629e-23
13.033,5.8672e-23
13.063,6.1087e-23
13.092,6.3535e-23
13.123,6.6015e-23
13.153,6.8529e-23
13.185,7.1077e-23
13.217,7.3659e-23
13.249,7.6274e-23
13.282,7.8924e-23
13.316,8.1609e-23
13.35,8.4329e-23
13.385,8.7084e-23
13.42,8.9875e-23
13.456,9.2701e-23
13.493,9.5564e-23
13.53,9.8463e-23
13.568,1.014e-22
13.606,1.0437e-22
13.645,1.0738e-22
13.685,1.1043e-22
13.726,1.1351e-22
13.767,1.1663e-22
13.809,1.1979e-22
13.852,1.2299e-22
13.896,1.2622e-22
13.94,1.295e-22
13.985,1.3281e-22
14.031,1.3616e-22
14.077,1.3955e-22
14.125,1.4298e-22
14.173,1.4645e-22
14.222,1.4995e-22
14.272,1.535e-22
14.323,1.5709e-22
14.375,1.6071e-22
14.427,1.6438e-22
14.481,1.6808e-22
14.535,1.7183e-22
14.591,1.7561e-22
14.647,1.7944e-22
14.704,1.833e-22
14.763,1.8721e-22
14.822,1.9115e-22
14.882,1.9513e-22
14.944,1.9916e-22
15.006,2.0322e-22
15.07,2.0732e-22
15.135,2.1147e-22
15.201,2.1565e-22
15.268,2.1987e-22
15.336,2.2413e-22
15.405,2.2843e-22
15.476,2.3277e-22
15.547,2.3714e-22
15.62,2.4156e-22
15.695,2.4601e-22
15.77,2.505e-22
15.847,2.5503e-22
15.925,2.5959e-22
16.005,2.642e-22
16.086,2.6884e-22
16.169,2.7351e-22
16.252,2.7822e-22
16.338,2.8297e-22
16.425,2.8775e-22
16.513,2.9257e-22
16.603,2.9742e-22
16.694,3.023e-22
16.787,3.0722e-22
16.882,3.1217e-22
16.978,3.1715e-22
17.076,3.2216e-22
17.176,3.272e-22
17.277,3.3227e-22
17.38,3.3737e-22
17.485,3.4251e-22
17.592,3.4766e-22
17.701,3.5285e-22
17.811,3.5806e-22
17.924,3.633e-22
18.038,3.6856e-22
18.154,3.7384e-22
18.273,3.7915e-22
18.393,3.8448e-22
18.516,3.8983e-22
18.641,3.9521e-22
18.768,4.006e-22
18.897,4.0601e-22
19.028,4.1143e-22
19.162,4.1687e-22
19.298,4.2233e-22
19.436,4.278e-22
19.577,4.3328e-22
19.72,4.3877e-22
19.866,4.4428e-22
20.014,4.4979e-22
20.165,4.5531e-22
20.319,4.6084e-22
20.475,4.6637e-22
20.634,4.719e-22
20.795,4.7744e-22
20.96,4.8298e-22
21.127,4.8852e-22
21.297,4.9406e-22
21.47,4.9959e-22
21.647,5.0512e-22
21.826,5.1064e-22
22.008,5.1615e-22
22.194,5.2166e-22
22.383,5.2715e-22
22.575,5.3264e-22
22.77,5.381e-22
22.969,5.4356e-22
23.171,5.4899e-22
23.377,5.5441e-22
23.587,5.5981e-22
23.8,5.6518e-22
24.017,5.7053e-22
24.237,5.7586e-22
24.462,5.8116e-22
24.69,5.8643e-22
25.399,6.0205e-22
26.146,6.1735e-22
26.932,6.3229e-22
27.76,6.4681e-22
28.633,6.6088e-22
29.552,6.7445e-22
30.853,6.9168e-22
32.248,7.0784e-22
33.742,7.2283e-22
35.761,7.3979e-22
38.425,7.5733e-22
41.904,7.7363e-22
48.295,7.8963e-22
73.37,7.7243e-22
81.339,7.5669e-22
88.979,7.4023e-22
95.98,7.2465e-22
103.61,7.0757e-22
110.21,6.9294e-22
117.28,6.7756e-22
124.86,6.6153e-22
132.97,6.4493e-22
139.44,6.3217e-22
146.25,6.1919e-22
153.42,6.0601e-22
160.98,5.9268e-22
168.93,5.7922e-22
177.31,5.6568e-22
186.14,5.5209e-22
195.43,5.3847e-22
205.22,5.2485e-22
215.53,5.1125e-22
226.39,4.9772e-22
237.82,4.8425e-22
249.86,4.7089e-22
262.54,4.5764e-22
275.9,4.4454e-22
289.97,4.3158e-22
299.76,4.2304e-22
309.89,4.1458e-22
320.38,4.062e-22
331.24,3.979e-22
342.49,3.897e-22
354.12,3.8159e-22
366.17,3.7358e-22
378.64,3.6567e-22
391.54,3.5785e-22
404.9,3.5014e-22
418.73,3.4254e-22
433.05,3.3504e-22
447.87,3.2766e-22
463.21,3.2038e-22
479.09,3.1321e-22
495.53,3.0615e-22
530.15,2.9238e-22
567.26,2.7906e-22
607.02,2.662e-22
649.62,2.5379e-22
695.27,2.4184e-22
744.18,2.3034e-22
796.59,2.1928e-22
852.75,2.0865e-22
912.93,1.9846e-22
977.41,1.8869e-22
