# E + Kr -> E + Kr(3P7), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Kr -> Kr(3P7)
# Threshold: 12.8092 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-18 15:26:21
# Data points: 386
energy_eV,cross_section_m2
12.8092,0.0
12.819,9.4668e-25
12.827,1.6491e-24
12.844,3.3268e-24
12.862,5.0339e-24
12.881,6.7706e-24
12.899,8.5376e-24
12.918,1.0335e-23
12.938,1.2164e-23
12.957,1.4025e-23
12.977,1.5919e-23
12.998,1.7497e-23
13.018,1.7923e-23
13.039,1.8356e-23
13.061,1.8797e-23
13.083,1.9245e-23
13.105,1.9701e-23
13.127,2.0166e-23
13.15,2.0638e-23
13.174,2.1118e-23
13.198,2.1607e-23
13.222,2.2105e-23
13.246,2.2611e-23
13.271,2.3126e-23
13.297,2.365e-23
13.323,2.4183e-23
13.349,2.4725e-23
13.376,2.5277e-23
13.403,2.5838e-23
13.431,2.6409e-23
13.459,2.699e-23
13.488,2.7581e-23
13.517,2.8183e-23
13.547,2.8795e-23
13.577,2.9417e-23
13.608,3.0051e-23
13.639,3.0695e-23
13.671,3.1351e-23
13.704,3.2018e-23
13.737,3.2697e-23
13.77,3.3388e-23
13.804,3.409e-23
13.839,3.4805e-23
13.875,3.5532e-23
13.911,3.6272e-23
13.947,3.7025e-23
13.984,3.7791e-23
14.022,3.8614e-23
14.061,3.9611e-23
14.1,4.0624e-23
14.14,4.1655e-23
14.181,4.2704e-23
14.222,4.3772e-23
14.264,4.4858e-23
14.307,4.5963e-23
14.35,4.7087e-23
14.394,4.8231e-23
14.439,4.9394e-23
14.485,5.0578e-23
14.532,5.1783e-23
14.579,5.3008e-23
14.628,5.4255e-23
14.677,5.5524e-23
14.727,5.6815e-23
14.777,5.8128e-23
14.829,5.9464e-23
14.882,6.0823e-23
14.935,6.2206e-23
14.99,6.334e-23
15.045,6.4134e-23
15.102,6.4941e-23
15.159,6.5763e-23
15.217,6.6599e-23
15.277,6.7449e-23
15.337,6.8314e-23
15.398,6.9194e-23
15.461,7.009e-23
15.525,7.1001e-23
15.589,7.1928e-23
15.655,7.2872e-23
15.722,7.3831e-23
15.79,7.4808e-23
15.86,7.5801e-23
15.93,7.6812e-23
16.002,7.784e-23
16.075,7.8537e-23
16.149,7.8303e-23
16.225,7.8065e-23
16.302,7.7822e-23
16.38,7.7576e-23
16.46,7.7325e-23
16.541,7.7069e-23
16.623,7.681e-23
16.707,7.6545e-23
16.792,7.6277e-23
16.879,7.6003e-23
16.967,7.5725e-23
17.057,7.5632e-23
17.149,7.5689e-23
17.242,7.5748e-23
17.336,7.5808e-23
17.433,7.5868e-23
17.531,7.593e-23
17.63,7.5993e-23
17.732,7.6057e-23
17.835,7.6122e-23
17.94,7.6188e-23
18.047,7.538e-23
18.155,7.4362e-23
18.266,7.3327e-23
18.378,7.2274e-23
18.493,7.1202e-23
18.609,7.0111e-23
18.728,6.9002e-23
18.848,6.7873e-23
18.971,6.6725e-23
19.095,6.5582e-23
19.222,6.4462e-23
19.351,6.3323e-23
19.483,6.2163e-23
19.616,6.0984e-23
19.752,5.9784e-23
19.891,5.8563e-23
20.032,5.7339e-23
20.175,5.6155e-23
20.321,5.4951e-23
20.469,5.3725e-23
20.62,5.2479e-23
20.773,5.121e-23
20.929,4.992e-23
21.088,4.8607e-23
21.25,4.7485e-23
21.414,4.6345e-23
21.582,4.5185e-23
21.752,4.4005e-23
21.925,4.2804e-23
22.101,4.1668e-23
22.28,4.0681e-23
22.463,3.9676e-23
22.648,3.8653e-23
22.837,3.7613e-23
23.029,3.6554e-23
23.225,3.5623e-23
23.424,3.4834e-23
23.626,3.4031e-23
23.832,3.3213e-23
24.041,3.2382e-23
24.254,3.1536e-23
24.471,3.0675e-23
24.692,3.0081e-23
24.916,2.9504e-23
25.144,2.8917e-23
25.377,2.8319e-23
25.613,2.7712e-23
25.853,2.7093e-23
26.098,2.6464e-23
26.347,2.5906e-23
26.6,2.5348e-23
26.858,2.4779e-23
27.12,2.4201e-23
27.387,2.3613e-23
27.658,2.3015e-23
27.934,2.2406e-23
28.215,2.1787e-23
28.501,2.1157e-23
28.792,2.0631e-23
29.087,2.0134e-23
29.388,1.9628e-23
29.695,1.9113e-23
30.006,1.8594e-23
30.646,1.793e-23
31.308,1.7243e-23
31.647,1.6891e-23
31.993,1.6532e-23
32.344,1.6168e-23
32.702,1.5796e-23
33.066,1.5419e-23
33.436,1.5035e-23
33.813,1.4644e-23
34.196,1.4246e-23
34.586,1.3841e-23
34.983,1.343e-23
35.387,1.3011e-23
35.798,1.2585e-23
36.215,1.2151e-23
36.641,1.171e-23
37.073,1.1261e-23
37.513,1.0805e-23
37.961,1.034e-23
38.416,1.0023e-23
38.88,9.7678e-24
39.351,9.5079e-24
39.831,9.2434e-24
40.319,8.9743e-24
40.816,8.7005e-24
41.321,8.422e-24
41.835,8.1386e-24
42.358,7.8503e-24
42.891,7.5569e-24
43.432,7.2584e-24
44.543,7.0227e-24
45.694,6.8197e-24
46.884,6.6097e-24
48.117,6.3922e-24
49.393,6.1672e-24
50.714,5.9342e-24
51.391,5.8146e-24
52.081,5.693e-24
52.782,5.5692e-24
53.496,5.4433e-24
54.222,5.3152e-24
55.713,5.1605e-24
57.256,5.0176e-24
58.853,4.8697e-24
60.506,4.7166e-24
62.217,4.5581e-24
63.989,4.3941e-24
65.822,4.2243e-24
66.763,4.1371e-24
67.721,4.0485e-24
68.694,3.9041e-24
69.685,3.7399e-24
70.694,3.5822e-24
71.719,3.4307e-24
72.763,3.2852e-24
73.825,3.1455e-24
74.905,3.0113e-24
76.004,2.8826e-24
77.122,2.759e-24
78.26,2.6404e-24
79.417,2.5266e-24
80.595,2.4175e-24
81.793,2.3128e-24
83.012,2.2124e-24
84.253,2.1161e-24
85.515,2.0238e-24
86.799,1.9353e-24
88.105,1.8505e-24
89.434,1.7692e-24
90.786,1.6913e-24
92.162,1.6167e-24
93.562,1.5452e-24
94.986,1.4768e-24
96.434,1.4112e-24
97.909,1.3484e-24
99.408,1.2883e-24
100.93,1.2308e-24
102.49,1.1757e-24
104.07,1.1229e-24
105.67,1.0725e-24
107.31,1.0242e-24
108.97,9.7801e-25
110.66,9.3382e-25
112.39,8.9155e-25
114.14,8.5112e-25
115.92,8.1246e-25
117.73,7.7549e-25
119.58,7.4014e-25
121.46,7.0635e-25
123.37,6.7405e-25
125.31,6.4317e-25
127.29,6.1367e-25
129.3,5.8547e-25
131.35,5.5853e-25
133.43,5.3278e-25
135.55,5.0819e-25
137.7,4.847e-25
139.89,4.6226e-25
142.13,4.4083e-25
144.4,4.2036e-25
146.71,4.0082e-25
149.06,3.8216e-25
151.45,3.6435e-25
153.88,3.4734e-25
156.35,3.3111e-25
158.87,3.1561e-25
161.43,3.0083e-25
164.04,2.8671e-25
166.69,2.7325e-25
169.39,2.604e-25
172.13,2.4814e-25
174.93,2.3644e-25
177.77,2.2528e-25
180.66,2.1464e-25
183.6,2.0449e-25
186.59,1.9481e-25
189.64,1.8557e-25
192.73,1.7677e-25
195.89,1.6837e-25
199.09,1.6037e-25
202.36,1.5274e-25
205.67,1.4546e-25
209.05,1.3853e-25
212.49,1.3191e-25
215.98,1.2561e-25
219.54,1.1961e-25
223.16,1.1388e-25
226.84,1.0843e-25
230.59,1.0323e-25
234.4,9.8274e-26
238.27,9.3554e-26
242.22,8.9057e-26
246.23,8.4773e-26
250.32,8.0691e-26
254.47,7.6803e-26
258.7,7.3099e-26
263.0,6.9572e-26
267.37,6.6212e-26
271.83,6.3012e-26
276.35,5.9964e-26
280.96,5.7062e-26
285.65,5.4298e-26
290.42,5.1666e-26
295.27,4.916e-26
300.21,4.6774e-26
305.24,4.4502e-26
310.35,4.2339e-26
315.55,4.028e-26
320.84,3.832e-26
326.22,3.6454e-26
331.7,3.4678e-26
337.27,3.2988e-26
342.94,3.1379e-26
348.71,2.9847e-26
354.58,2.8389e-26
360.55,2.7002e-26
366.62,2.5682e-26
372.8,2.4426e-26
379.09,2.323e-26
385.49,2.2093e-26
392.0,2.101e-26
398.62,1.9981e-26
405.36,1.9001e-26
