# E + Kr -> E + Kr(4F SUM, Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Kr -> Kr(4F SUM
# Threshold: 13.14 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-18 15:30:14
# Data points: 295
energy_eV,cross_section_m2
13.14,0.0
13.15,7.2311e-25
13.157,1.2596e-24
13.175,2.5412e-24
13.193,3.8451e-24
13.212,5.1717e-24
13.23,6.5214e-24
13.249,7.8946e-24
13.268,9.2917e-24
13.288,1.0713e-23
13.308,1.2159e-23
13.329,1.3631e-23
13.349,1.5128e-23
13.37,1.6651e-23
13.392,1.8201e-23
13.414,1.9777e-23
13.436,2.1381e-23
13.458,2.3014e-23
13.481,2.4674e-23
13.505,2.6363e-23
13.528,2.8082e-23
13.553,2.9831e-23
13.577,3.161e-23
13.602,3.3421e-23
13.628,3.5262e-23
13.654,3.7136e-23
13.68,3.9043e-23
13.707,4.0982e-23
13.734,4.2956e-23
13.762,4.4964e-23
13.79,4.7007e-23
13.819,4.9085e-23
13.848,5.12e-23
13.878,5.3351e-23
13.908,5.554e-23
13.939,5.7767e-23
13.97,6.0033e-23
14.002,6.2339e-23
14.035,6.4864e-23
14.068,6.7541e-23
14.101,7.0263e-23
14.135,7.3033e-23
14.17,7.5852e-23
14.205,7.872e-23
14.241,8.1637e-23
14.278,8.4605e-23
14.315,8.7625e-23
14.353,9.0698e-23
14.392,9.3824e-23
14.431,9.7005e-23
14.471,1.0024e-22
14.511,1.0353e-22
14.553,1.0688e-22
14.595,1.1029e-22
14.637,1.1376e-22
14.681,1.1729e-22
14.725,1.2088e-22
14.77,1.2453e-22
14.816,1.2824e-22
14.863,1.3202e-22
14.91,1.3587e-22
14.958,1.3978e-22
15.007,1.4246e-22
15.057,1.4493e-22
15.108,1.4745e-22
15.16,1.5002e-22
15.213,1.5263e-22
15.266,1.5528e-22
15.321,1.5798e-22
15.376,1.6073e-22
15.432,1.6352e-22
15.49,1.6637e-22
15.548,1.6926e-22
15.607,1.722e-22
15.668,1.752e-22
15.729,1.7825e-22
15.792,1.8135e-22
15.855,1.845e-22
15.92,1.8771e-22
15.986,1.9097e-22
16.053,1.943e-22
16.121,1.9448e-22
16.19,1.9457e-22
16.261,1.9466e-22
16.333,1.9475e-22
16.406,1.9484e-22
16.48,1.9494e-22
16.556,1.9503e-22
16.633,1.9513e-22
16.711,1.9523e-22
16.791,1.9533e-22
16.872,1.9543e-22
16.954,1.9553e-22
17.038,1.951e-22
17.123,1.937e-22
17.21,1.9228e-22
17.298,1.9083e-22
17.388,1.8936e-22
17.479,1.8786e-22
17.573,1.8633e-22
17.667,1.8478e-22
17.763,1.832e-22
17.861,1.816e-22
17.961,1.7993e-22
18.062,1.7658e-22
18.166,1.7317e-22
18.271,1.697e-22
18.377,1.6617e-22
18.486,1.6258e-22
18.597,1.5892e-22
18.709,1.5521e-22
18.823,1.5142e-22
18.94,1.4757e-22
19.058,1.4369e-22
19.179,1.401e-22
19.301,1.3644e-22
19.426,1.3272e-22
19.553,1.2893e-22
19.682,1.2508e-22
19.814,1.2116e-22
19.947,1.1717e-22
20.083,1.1361e-22
20.222,1.1031e-22
20.362,1.0695e-22
20.506,1.0353e-22
20.651,1.0005e-22
20.8,9.6508e-23
20.95,9.2907e-23
21.104,8.9355e-23
21.26,8.6796e-23
21.419,8.4193e-23
21.581,8.1544e-23
21.745,7.8849e-23
21.912,7.6108e-23
22.083,7.345e-23
22.256,7.116e-23
22.432,6.883e-23
22.611,6.6459e-23
22.794,6.4047e-23
22.979,6.1593e-23
23.168,5.9264e-23
23.36,5.7569e-23
23.556,5.5844e-23
23.754,5.409e-23
23.957,5.2305e-23
24.163,5.0488e-23
24.372,4.8641e-23
24.585,4.6994e-23
24.802,4.5613e-23
25.022,4.4209e-23
25.247,4.278e-23
25.475,4.1326e-23
25.708,3.9846e-23
25.944,3.8341e-23
26.184,3.696e-23
26.429,3.6001e-23
26.678,3.5025e-23
26.931,3.4032e-23
27.189,3.3022e-23
27.451,3.1995e-23
27.718,3.0949e-23
27.989,2.9886e-23
28.265,2.8803e-23
28.546,2.7702e-23
28.832,2.6873e-23
29.122,2.6058e-23
29.418,2.523e-23
29.719,2.4386e-23
30.025,2.3566e-23
30.654,2.2728e-23
31.305,2.186e-23
31.638,2.1414e-23
31.978,2.0961e-23
32.324,2.05e-23
32.675,2.0031e-23
33.033,1.9554e-23
33.397,1.9069e-23
33.767,1.8575e-23
34.144,1.8072e-23
34.527,1.7561e-23
34.917,1.7041e-23
35.314,1.6511e-23
35.718,1.5973e-23
36.128,1.5425e-23
36.546,1.4867e-23
36.971,1.43e-23
37.404,1.3723e-23
37.844,1.3136e-23
38.292,1.2699e-23
39.211,1.2226e-23
39.682,1.1984e-23
40.162,1.1737e-23
40.65,1.1486e-23
41.147,1.123e-23
41.652,1.097e-23
42.166,1.0706e-23
42.689,1.0437e-23
43.221,1.0163e-23
43.763,9.9422e-24
44.874,9.6563e-24
46.024,9.3603e-24
47.215,9.054e-24
48.448,8.7369e-24
49.724,8.4087e-24
50.378,8.2402e-24
51.045,8.0689e-24
51.722,7.8945e-24
52.412,7.7172e-24
53.113,7.5367e-24
53.827,7.3531e-24
54.553,7.1846e-24
56.044,7.0093e-24
57.586,6.8279e-24
59.184,6.6401e-24
60.837,6.4457e-24
62.548,6.2444e-24
64.32,6.0361e-24
66.153,5.8205e-24
68.051,5.5981e-24
70.016,5.441e-24
72.05,5.2874e-24
74.155,5.1373e-24
76.335,4.9906e-24
78.591,4.8473e-24
80.926,4.7075e-24
83.343,4.5709e-24
85.846,4.4377e-24
88.436,4.3077e-24
91.117,4.181e-24
93.892,4.0574e-24
96.765,3.9369e-24
99.739,3.8195e-24
102.82,3.7052e-24
106.0,3.5938e-24
109.3,3.4853e-24
112.72,3.3798e-24
116.25,3.277e-24
119.91,3.177e-24
123.7,3.0797e-24
127.62,2.9851e-24
131.68,2.8931e-24
135.88,2.8037e-24
140.23,2.7167e-24
144.73,2.6322e-24
149.39,2.5501e-24
154.21,2.4704e-24
159.2,2.3929e-24
164.37,2.3177e-24
169.72,2.2446e-24
175.26,2.1737e-24
180.99,2.1049e-24
186.92,2.038e-24
193.07,1.9732e-24
199.42,1.9103e-24
206.01,1.8493e-24
212.82,1.7901e-24
219.87,1.7326e-24
227.17,1.677e-24
234.73,1.623e-24
242.55,1.5706e-24
250.65,1.5199e-24
259.03,1.4707e-24
267.7,1.4231e-24
276.69,1.3769e-24
285.98,1.3321e-24
295.61,1.2887e-24
305.57,1.2467e-24
315.88,1.206e-24
326.55,1.1666e-24
337.6,1.1284e-24
349.04,1.0914e-24
360.88,1.0556e-24
373.13,1.021e-24
385.82,9.8739e-25
398.95,9.5489e-25
412.55,9.2343e-25
426.62,8.9297e-25
441.18,8.6349e-25
456.26,8.3496e-25
471.87,8.0734e-25
488.02,7.8061e-25
513.33,7.4213e-25
539.98,7.0551e-25
568.04,6.7065e-25
597.6,6.3747e-25
628.74,6.0591e-25
661.52,5.7588e-25
696.05,5.4731e-25
732.42,5.2014e-25
770.72,4.9429e-25
811.05,4.6971e-25
853.54,4.4633e-25
898.28,4.241e-25
945.39,4.0296e-25
995.02,3.8286e-25
