# E + Kr -> E + Kr(HIGH), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Kr -> Kr(HIGH)
# Threshold: 13.6 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-18 15:31:04
# Data points: 217
energy_eV,cross_section_m2
13.6,0.0
13.61,1.3573e-24
13.617,2.421e-24
13.635,4.9581e-24
13.653,7.5338e-24
13.672,1.0149e-23
13.69,1.2803e-23
13.709,1.5497e-23
13.728,1.8232e-23
13.748,2.1008e-23
13.768,2.3826e-23
13.789,2.6685e-23
13.809,2.9588e-23
13.83,3.2533e-23
13.852,3.5522e-23
13.874,3.8555e-23
13.896,4.1632e-23
13.918,4.4755e-23
13.941,4.7924e-23
13.965,5.1139e-23
13.988,5.44e-23
14.013,5.7709e-23
14.037,6.1065e-23
14.062,6.447e-23
14.088,6.7924e-23
14.114,7.1427e-23
14.14,7.498e-23
14.167,7.8583e-23
14.194,8.2238e-23
14.222,8.5943e-23
14.25,8.9701e-23
14.279,9.3511e-23
14.308,9.7375e-23
14.338,1.0129e-22
14.368,1.0526e-22
14.399,1.0929e-22
14.43,1.1337e-22
14.462,1.175e-22
14.495,1.217e-22
14.528,1.2595e-22
14.561,1.3025e-22
14.595,1.3461e-22
14.63,1.3904e-22
14.665,1.4352e-22
14.701,1.4805e-22
14.738,1.5265e-22
14.775,1.5731e-22
14.813,1.6203e-22
14.852,1.6681e-22
14.891,1.7165e-22
14.931,1.7655e-22
14.971,1.8152e-22
15.013,1.8654e-22
15.055,1.9163e-22
15.097,1.9679e-22
15.141,2.0201e-22
15.185,2.0729e-22
15.23,2.1263e-22
15.276,2.1804e-22
15.323,2.2352e-22
15.37,2.2906e-22
15.418,2.3466e-22
15.467,2.4034e-22
15.517,2.4608e-22
15.568,2.5188e-22
15.62,2.5775e-22
15.673,2.6369e-22
15.726,2.697e-22
15.781,2.7577e-22
15.836,2.8191e-22
15.892,2.8812e-22
15.95,2.944e-22
16.008,3.0074e-22
16.067,3.0716e-22
16.128,3.1364e-22
16.189,3.2018e-22
16.252,3.268e-22
16.315,3.3349e-22
16.38,3.4024e-22
16.446,3.4706e-22
16.513,3.5395e-22
16.581,3.609e-22
16.65,3.6793e-22
16.721,3.7502e-22
16.793,3.8218e-22
16.866,3.894e-22
16.94,3.967e-22
17.016,4.0406e-22
17.093,4.1148e-22
17.171,4.1897e-22
17.251,4.2653e-22
17.332,4.3415e-22
17.414,4.4184e-22
17.498,4.4959e-22
17.583,4.574e-22
17.67,4.6528e-22
17.758,4.7322e-22
17.848,4.8122e-22
17.939,4.8928e-22
18.033,4.974e-22
18.127,5.0558e-22
18.223,5.1382e-22
18.321,5.2212e-22
18.421,5.3048e-22
18.522,5.3889e-22
18.626,5.4735e-22
18.731,5.5587e-22
18.837,5.6445e-22
18.946,5.7307e-22
19.057,5.8175e-22
19.169,5.9048e-22
19.283,5.9925e-22
19.4,6.0807e-22
19.518,6.1694e-22
19.639,6.2585e-22
19.761,6.348e-22
19.886,6.438e-22
20.013,6.5284e-22
20.142,6.6191e-22
20.274,6.7102e-22
20.407,6.8017e-22
20.543,6.8935e-22
20.682,6.9856e-22
20.822,7.0781e-22
20.966,7.1708e-22
21.111,7.2638e-22
21.26,7.357e-22
21.41,7.4504e-22
21.564,7.5441e-22
21.72,7.6379e-22
21.879,7.7319e-22
22.041,7.826e-22
22.205,7.9203e-22
22.372,8.0147e-22
22.543,8.1091e-22
22.716,8.2036e-22
22.892,8.2981e-22
23.071,8.3927e-22
23.254,8.4872e-22
23.439,8.5816e-22
23.628,8.676e-22
23.82,8.7704e-22
24.016,8.8645e-22
24.214,8.9586e-22
24.417,9.0525e-22
24.623,9.1461e-22
24.832,9.2396e-22
25.045,9.3328e-22
25.262,9.4257e-22
25.482,9.5184e-22
25.707,9.6106e-22
25.935,9.7026e-22
26.168,9.7941e-22
26.404,9.8852e-22
26.644,9.9759e-22
26.889,1.0066e-21
27.138,1.0156e-21
27.911,1.0422e-21
28.725,1.0682e-21
29.582,1.0935e-21
30.485,1.1182e-21
31.436,1.1421e-21
32.784,1.1725e-21
34.227,1.2012e-21
35.774,1.228e-21
37.864,1.2586e-21
40.142,1.2857e-21
43.149,1.3132e-21
47.675,1.3409e-21
83.803,1.3136e-21
91.577,1.2878e-21
100.2,1.2576e-21
108.1,1.2295e-21
114.93,1.2052e-21
122.25,1.1795e-21
130.09,1.1526e-21
138.49,1.1246e-21
147.5,1.0958e-21
154.67,1.0736e-21
162.22,1.0511e-21
170.18,1.0284e-21
178.56,1.0053e-21
187.38,9.8216e-22
196.68,9.5885e-22
206.47,9.3548e-22
216.77,9.1209e-22
227.63,8.8872e-22
239.06,8.6543e-22
251.11,8.4226e-22
263.79,8.1924e-22
277.15,7.9641e-22
291.21,7.7379e-22
306.03,7.5143e-22
316.34,7.3668e-22
327.01,7.2206e-22
338.06,7.0758e-22
349.5,6.9324e-22
361.34,6.7905e-22
373.59,6.6502e-22
386.28,6.5116e-22
399.41,6.3745e-22
413.01,6.2393e-22
427.08,6.1057e-22
441.64,5.9739e-22
456.72,5.844e-22
472.33,5.7159e-22
488.48,5.5897e-22
522.52,5.3429e-22
558.99,5.1038e-22
598.06,4.8725e-22
639.94,4.649e-22
684.8,4.4333e-22
732.88,4.2255e-22
784.39,4.0253e-22
839.59,3.8328e-22
898.74,3.6479e-22
962.11,3.4703e-22
