# Ionisation rate (biagi)
Te_eV,Kiz_m3s
0.500,8.026428e-27
0.550,1.088470e-25
0.600,9.615180e-25
0.650,6.105670e-24
0.700,2.990393e-23
0.750,1.189560e-22
0.800,3.995320e-22
0.850,1.167117e-21
0.900,3.034644e-21
0.950,7.152497e-21
1.000,1.550636e-20
1.050,3.128997e-20
1.100,5.934078e-20
1.150,1.066190e-19
1.200,1.827056e-19
1.250,3.002933e-19
1.300,4.756453e-19
1.350,7.289986e-19
1.400,1.084897e-18
1.450,1.572438e-18
1.500,2.225429e-18
1.550,3.082450e-18
1.600,4.186830e-18
1.650,5.586525e-18
1.700,7.333939e-18
1.750,9.485658e-18
1.800,1.210214e-17
1.850,1.524736e-17
1.900,1.898842e-17
1.950,2.339511e-17
2.000,2.853952e-17
2.050,3.449556e-17
2.100,4.133857e-17
2.150,4.914487e-17
2.200,5.799133e-17
2.250,6.795504e-17
2.300,7.911287e-17
2.350,9.154116e-17
2.400,1.053154e-16
2.450,1.205099e-16
2.500,1.371976e-16
2.550,1.554497e-16
2.600,1.753356e-16
2.650,1.969225e-16
2.700,2.202756e-16
2.750,2.454575e-16
2.800,2.725284e-16
2.850,3.015458e-16
2.900,3.325649e-16
2.950,3.656377e-16
3.000,4.008138e-16
3.050,4.381398e-16
3.100,4.776595e-16
3.150,5.194142e-16
3.200,5.634419e-16
3.250,6.097784e-16
3.300,6.584564e-16
3.350,7.095059e-16
3.400,7.629545e-16
3.450,8.188270e-16
3.500,8.771458e-16
3.550,9.379308e-16
3.600,1.001200e-15
3.650,1.066967e-15
3.700,1.135246e-15
3.750,1.206048e-15
3.800,1.279380e-15
3.850,1.355251e-15
3.900,1.433663e-15
3.950,1.514621e-15
4.000,1.598125e-15
4.050,1.684173e-15
4.100,1.772765e-15
4.150,1.863895e-15
4.200,1.957559e-15
4.250,2.053750e-15
4.300,2.152458e-15
4.350,2.253675e-15
4.400,2.357391e-15
4.450,2.463592e-15
4.500,2.572266e-15
4.550,2.683400e-15
4.600,2.796977e-15
4.650,2.912983e-15
4.700,3.031400e-15
4.750,3.152212e-15
4.800,3.275399e-15
4.850,3.400943e-15
4.900,3.528824e-15
4.950,3.659022e-15
5.000,3.791517e-15
5.050,3.926287e-15
5.100,4.063311e-15
5.150,4.202565e-15
5.200,4.344029e-15
5.250,4.487679e-15
5.300,4.633492e-15
5.350,4.781444e-15
5.400,4.931511e-15
5.450,5.083671e-15
5.500,5.237898e-15
5.550,5.394169e-15
5.600,5.552458e-15
