# E + Kr -> E + Kr*(12.75eV), Excitation
# Source: LXCat, Biagi-v7.1 (Magboltz version 7.1)
# Target: Kr -> Kr*(12.75eV)
# Threshold: 12.75 eV
# Updated: 2010-11-15 15:03:10
# Data points: 201
energy_eV,cross_section_m2
12.75,0.0
12.751,9.99996e-28
12.78514,3.5142e-25
12.82152,1.37153e-24
12.85917,2.89659e-24
12.89815,4.47524e-24
12.9385,7.57244e-24
12.98027,1.08511e-23
13.0235,1.55024e-23
13.06826,2.14099e-23
13.11458,2.7525e-23
13.16254,3.3855e-23
13.21218,4.11868e-23
13.26356,5.12581e-23
13.31675,6.16833e-23
13.37181,7.24748e-23
13.4288,8.53451e-23
13.4878,1.00389e-22
13.54887,1.15962e-22
13.61209,1.32626e-22
13.67752,1.52257e-22
13.74526,1.72579e-22
13.81538,1.94383e-22
13.88796,2.19787e-22
13.96309,2.46083e-22
14.04087,2.75837e-22
14.12137,3.09006e-22
14.20471,3.4334e-22
14.29097,3.78881e-22
14.38027,4.1567e-22
14.4727,4.53753e-22
14.56838,4.97824e-22
14.66743,5.45365e-22
14.76995,5.94577e-22
14.87608,6.45518e-22
14.98594,6.9825e-22
15.09965,7.57817e-22
15.21737,8.20205e-22
15.33922,8.84786e-22
15.46535,9.51637e-22
15.59592,1.02371e-21
15.73107,1.0994e-21
15.87098,1.17775e-21
16.0158,1.25932e-21
16.1657,1.34777e-21
16.32088,1.43932e-21
16.48151,1.53409e-21
16.64779,1.63219e-21
16.81991,1.73375e-21
16.99807,1.83886e-21
17.1825,1.94768e-21
17.37341,2.06031e-21
17.57103,2.17691e-21
17.7756,2.2976e-21
17.98735,2.42254e-21
18.20654,2.54773e-21
18.43344,2.67706e-21
18.66831,2.81094e-21
18.91143,2.94952e-21
19.1631,3.08808e-21
19.42361,3.22875e-21
19.69328,3.37437e-21
19.97243,3.52511e-21
20.26138,3.66938e-21
20.56049,3.81744e-21
20.87011,3.9707e-21
21.19061,4.12935e-21
21.52237,4.29357e-21
21.86579,4.46357e-21
22.22129,4.62183e-21
22.58927,4.77455e-21
22.97018,4.93263e-21
23.36449,5.09626e-21
23.77264,5.26565e-21
24.19515,5.4257e-21
24.6325,5.57294e-21
25.08521,5.72536e-21
25.55384,5.88313e-21
26.03894,6.04644e-21
26.54108,6.2155e-21
27.06087,6.38522e-21
27.59893,6.51973e-21
28.1559,6.65897e-21
28.73244,6.80311e-21
29.32924,6.95231e-21
29.94701,7.10675e-21
30.58649,7.22948e-21
31.24845,7.35304e-21
31.93366,7.48095e-21
32.64296,7.61335e-21
33.37719,7.73155e-21
34.13721,7.83542e-21
34.92395,7.94294e-21
35.73833,8.05424e-21
36.58133,8.14377e-21
37.45396,8.22449e-21
38.35725,8.30805e-21
39.29229,8.39454e-21
40.26018,8.47431e-21
41.26209,8.52941e-21
42.29921,8.58646e-21
43.37278,8.6455e-21
44.48407,8.69291e-21
45.63442,8.72358e-21
46.82519,8.75534e-21
48.05781,8.78821e-21
49.33374,8.82223e-21
50.65451,8.84491e-21
52.0217,8.85516e-21
53.43694,8.86578e-21
54.90191,8.86399e-21
56.41836,8.85388e-21
57.9881,8.84341e-21
59.61301,8.83258e-21
61.29502,8.80539e-21
63.03614,8.77231e-21
64.83844,8.73807e-21
66.70409,8.70262e-21
68.63529,8.66593e-21
70.63437,8.62351e-21
72.70369,8.5697e-21
74.84573,8.51401e-21
77.06306,8.45636e-21
79.3583,8.39668e-21
81.7342,8.32971e-21
84.1936,8.25839e-21
86.73942,8.18456e-21
89.37471,8.10813e-21
92.10261,8.02902e-21
94.92638,7.94713e-21
97.84938,7.86237e-21
100.8751,7.77593e-21
104.0071,7.6898e-21
107.2493,7.60065e-21
110.6053,7.50835e-21
114.0793,7.41282e-21
117.6754,7.31393e-21
121.3978,7.21575e-21
125.2511,7.12135e-21
129.2398,7.02363e-21
133.3686,6.92247e-21
137.6425,6.81776e-21
142.0667,6.71591e-21
146.6463,6.61821e-21
151.3868,6.51708e-21
156.294,6.41239e-21
161.3736,6.30403e-21
166.6317,6.19186e-21
172.0745,6.08404e-21
177.7087,5.98638e-21
183.5408,5.88529e-21
189.5779,5.78065e-21
195.8272,5.67233e-21
202.2961,5.56728e-21
208.9923,5.47186e-21
215.9238,5.37309e-21
223.0989,5.27084e-21
230.5262,5.165e-21
238.2144,5.05544e-21
246.1729,4.96056e-21
254.411,4.86788e-21
262.9386,4.77194e-21
271.766,4.67263e-21
280.9035,4.57142e-21
290.3621,4.48156e-21
300.1531,4.38854e-21
310.2883,4.29226e-21
320.7795,4.19396e-21
331.6395,4.10979e-21
342.8811,4.02267e-21
354.5178,3.93249e-21
366.5634,3.8457e-21
379.0323,3.76153e-21
391.9394,3.67441e-21
405.3001,3.59032e-21
419.1303,3.51287e-21
433.4465,3.4327e-21
448.2658,3.34971e-21
463.6059,3.27741e-21
479.4851,3.20437e-21
495.9224,3.12876e-21
512.9372,3.06084e-21
530.55,2.99391e-21
548.7818,2.92463e-21
567.6543,2.85291e-21
587.1899,2.77868e-21
607.4121,2.7085e-21
628.345,2.6478e-21
650.0135,2.58496e-21
672.4434,2.51991e-21
695.6617,2.45258e-21
719.6958,2.3947e-21
744.5745,2.33748e-21
770.3276,2.27825e-21
796.9856,2.21693e-21
824.5805,2.16821e-21
853.1451,2.11965e-21
882.7136,2.06939e-21
913.3211,2.01735e-21
945.0043,1.96349e-21
977.8009,1.90774e-21
