# E + Kr -> E + Kr(p)(11.30eV), Excitation
# Source: LXCat, Biagi-v7.1 (Magboltz version 7.1)
# Target: Kr -> Kr(p)(11.30eV)
# Threshold: 11.3 eV
# Comment: EXC P-LEVELS ELOSS= 11.304.
# Updated: 2010-11-15 15:00:37
# Data points: 201
energy_eV,cross_section_m2
11.3,0.0
11.31,1.58694e-26
11.33914,5.57685e-24
11.37552,1.1281e-23
11.41317,1.79722e-23
11.45215,2.74214e-23
11.4925,5.40514e-23
11.53427,8.71002e-23
11.5775,1.22552e-22
11.62226,1.59695e-22
11.66858,1.9861e-22
11.71654,2.38065e-22
11.76618,2.7728e-22
11.81756,3.17522e-22
11.87075,3.58478e-22
11.92581,3.99842e-22
11.9828,4.41447e-22
12.0418,4.82842e-22
12.10287,5.24894e-22
12.16609,5.66617e-22
12.23152,6.09176e-22
12.29926,6.52528e-22
12.36938,6.94628e-22
12.44196,7.37338e-22
12.51709,7.80402e-22
12.59487,8.23177e-22
12.67537,8.65194e-22
12.75871,9.07354e-22
12.84497,9.49587e-22
12.93427,9.91078e-22
13.0267,1.03068e-21
13.12238,1.06895e-21
13.22143,1.10857e-21
13.32395,1.14958e-21
13.43008,1.19203e-21
13.53994,1.23198e-21
13.65365,1.2661e-21
13.77137,1.30141e-21
13.89322,1.33797e-21
14.01935,1.37503e-21
14.14992,1.40898e-21
14.28507,1.44412e-21
14.42498,1.48049e-21
14.5698,1.51256e-21
14.7197,1.53955e-21
14.87488,1.56748e-21
15.03551,1.59497e-21
15.20179,1.61825e-21
15.37391,1.64235e-21
15.55207,1.66521e-21
15.7365,1.68365e-21
15.92741,1.70274e-21
16.12503,1.7175e-21
16.3296,1.72978e-21
16.54135,1.74248e-21
16.76054,1.75563e-21
16.98744,1.76925e-21
17.22231,1.77667e-21
17.46543,1.78396e-21
17.7171,1.79151e-21
17.97761,1.79933e-21
18.24728,1.79753e-21
18.52643,1.79474e-21
18.81538,1.79185e-21
19.11449,1.78771e-21
19.42411,1.78152e-21
19.74461,1.77511e-21
20.07637,1.76733e-21
20.41979,1.75531e-21
20.77529,1.74286e-21
21.14327,1.72999e-21
21.52418,1.71665e-21
21.91849,1.70285e-21
22.32664,1.6853e-21
22.74915,1.66629e-21
23.1865,1.64661e-21
23.63921,1.62624e-21
24.10784,1.60497e-21
24.59294,1.58233e-21
25.09508,1.5589e-21
25.61487,1.53464e-21
26.15293,1.50953e-21
26.7099,1.48354e-21
27.28644,1.45759e-21
27.88324,1.43173e-21
28.50101,1.40496e-21
29.14049,1.37725e-21
29.80245,1.34856e-21
30.48766,1.32049e-21
31.19696,1.29212e-21
31.93119,1.26275e-21
32.69121,1.23235e-21
33.47795,1.20407e-21
34.29233,1.17692e-21
35.13533,1.14882e-21
36.00796,1.11978e-21
36.91125,1.09494e-21
37.84629,1.06923e-21
38.81418,1.04261e-21
39.81609,1.01506e-21
40.85321,9.88883e-22
41.92678,9.62312e-22
43.03807,9.34808e-22
44.18842,9.0742e-22
45.37919,8.84795e-22
46.61181,8.61376e-22
47.88774,8.37133e-22
49.20851,8.12038e-22
50.5757,7.88077e-22
51.99094,7.6614e-22
53.45591,7.43433e-22
54.97236,7.22683e-22
56.5421,7.028e-22
58.16701,6.82218e-22
59.84902,6.60912e-22
61.59014,6.43735e-22
63.39244,6.26433e-22
65.25809,6.08522e-22
67.18929,5.89983e-22
69.18837,5.70792e-22
71.25769,5.5407e-22
73.39973,5.38862e-22
75.61706,5.23119e-22
77.9123,5.06823e-22
80.2882,4.90473e-22
82.7476,4.77438e-22
85.29342,4.63945e-22
87.92871,4.49978e-22
90.65661,4.36242e-22
93.48038,4.24382e-22
96.40338,4.12106e-22
99.42909,3.99398e-22
102.5611,3.8906e-22
105.8033,3.7901e-22
109.1593,3.68606e-22
112.6333,3.57837e-22
116.2294,3.46689e-22
119.9518,3.35149e-22
123.8051,3.26629e-22
127.7938,3.17854e-22
131.9226,3.0877e-22
136.1965,2.99368e-22
140.6207,2.90048e-22
145.2003,2.83026e-22
149.9408,2.75757e-22
154.848,2.68233e-22
159.9276,2.60444e-22
165.1857,2.52382e-22
170.6285,2.4435e-22
176.2627,2.38529e-22
182.0948,2.32502e-22
188.1319,2.26264e-22
194.3812,2.19806e-22
200.8501,2.13341e-22
207.5463,2.08152e-22
214.4778,2.0278e-22
221.6529,1.97219e-22
229.0802,1.91463e-22
236.7684,1.85504e-22
244.7269,1.804e-22
252.965,1.75869e-22
261.4926,1.71179e-22
270.32,1.66324e-22
279.4575,1.61298e-22
288.9161,1.57434e-22
298.7072,1.53517e-22
308.8423,1.49463e-22
319.3335,1.45267e-22
330.1935,1.41687e-22
341.4351,1.38034e-22
353.0718,1.34252e-22
365.1174,1.30593e-22
377.5863,1.27164e-22
390.4934,1.23614e-22
403.8541,1.20152e-22
417.6843,1.17109e-22
432.0005,1.1396e-22
446.8198,1.107e-22
462.1599,1.07811e-22
478.0391,1.04953e-22
494.4764,1.01994e-22
511.4912,9.93912e-23
529.104,9.69254e-23
547.3358,9.4373e-23
566.2083,9.17308e-23
585.7439,8.89958e-23
605.9661,8.64034e-23
626.899,8.43101e-23
648.5675,8.21432e-23
670.9974,7.99003e-23
694.2156,7.75784e-23
718.2498,7.554e-23
743.1285,7.35497e-23
768.8816,7.14895e-23
795.5396,6.93568e-23
823.1345,6.77276e-23
851.6991,6.61565e-23
881.2676,6.45303e-23
911.8751,6.28469e-23
943.5583,6.11043e-23
976.3549,5.93005e-23
