# Elastic rate (biagi_v7_1)
Te_eV,Kel_m3s
0.500,7.696025e-15
0.550,8.824331e-15
0.600,1.013501e-14
0.650,1.161099e-14
0.700,1.323776e-14
0.750,1.500261e-14
0.800,1.689407e-14
0.850,1.890158e-14
0.900,2.101524e-14
0.950,2.322571e-14
1.000,2.552407e-14
1.050,2.790180e-14
1.100,3.035075e-14
1.150,3.286309e-14
1.200,3.543134e-14
1.250,3.804836e-14
1.300,4.070735e-14
1.350,4.340185e-14
1.400,4.612573e-14
1.450,4.887321e-14
1.500,5.163884e-14
1.550,5.441751e-14
1.600,5.720443e-14
1.650,5.999512e-14
1.700,6.278542e-14
1.750,6.557147e-14
1.800,6.834969e-14
1.850,7.111678e-14
1.900,7.386970e-14
1.950,7.660566e-14
2.000,7.932211e-14
2.050,8.201673e-14
2.100,8.468741e-14
2.150,8.733224e-14
2.200,8.994949e-14
2.250,9.253763e-14
2.300,9.509527e-14
2.350,9.762120e-14
2.400,1.001143e-13
2.450,1.025737e-13
2.500,1.049986e-13
2.550,1.073882e-13
2.600,1.097419e-13
2.650,1.120593e-13
2.700,1.143400e-13
2.750,1.165836e-13
2.800,1.187900e-13
2.850,1.209588e-13
2.900,1.230902e-13
2.950,1.251839e-13
3.000,1.272401e-13
3.050,1.292588e-13
3.100,1.312402e-13
3.150,1.331843e-13
3.200,1.350914e-13
3.250,1.369617e-13
3.300,1.387955e-13
3.350,1.405931e-13
3.400,1.423548e-13
3.450,1.440809e-13
3.500,1.457719e-13
3.550,1.474280e-13
3.600,1.490497e-13
3.650,1.506374e-13
3.700,1.521915e-13
3.750,1.537124e-13
3.800,1.552007e-13
3.850,1.566567e-13
3.900,1.580809e-13
3.950,1.594737e-13
4.000,1.608357e-13
4.050,1.621672e-13
4.100,1.634688e-13
4.150,1.647410e-13
4.200,1.659841e-13
4.250,1.671987e-13
4.300,1.683852e-13
4.350,1.695442e-13
4.400,1.706760e-13
4.450,1.717812e-13
4.500,1.728601e-13
4.550,1.739133e-13
4.600,1.749412e-13
4.650,1.759443e-13
4.700,1.769229e-13
4.750,1.778776e-13
4.800,1.788087e-13
4.850,1.797168e-13
4.900,1.806021e-13
4.950,1.814653e-13
5.000,1.823065e-13
5.050,1.831263e-13
5.100,1.839251e-13
