# Excitation rates (biagi_v7_1, 4 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,1.318282e-23,2.114242e-41
0.550,8.526566e-23,1.372157e-40
0.600,4.079175e-22,6.588921e-40
0.650,1.546577e-21,2.507881e-39
0.700,4.881646e-21,7.947574e-39
0.750,1.329983e-20,2.173977e-38
0.800,3.213563e-20,5.273746e-38
0.850,7.030827e-20,1.158316e-37
0.900,1.415572e-19,2.340959e-37
0.950,2.656588e-19,4.409328e-37
1.000,4.695105e-19,7.820237e-37
1.050,7.879850e-19,1.316913e-36
1.100,1.264493e-18,2.120109e-36
1.150,1.951219e-18,3.281626e-36
1.200,2.909037e-18,4.906975e-36
1.250,4.207117e-18,7.116609e-36
1.300,5.922274e-18,1.004491e-35
1.350,8.138108e-18,1.383878e-35
1.400,1.094398e-17,1.865593e-35
1.450,1.443392e-17,2.466301e-35
1.500,1.870540e-17,3.203354e-35
1.550,2.385822e-17,4.094590e-35
1.600,2.999330e-17,5.158127e-35
1.650,3.721164e-17,6.412170e-35
1.700,4.561326e-17,7.874827e-35
1.750,5.529629e-17,9.563943e-35
1.800,6.635614e-17,1.149694e-34
1.850,7.888482e-17,1.369071e-34
1.900,9.297026e-17,1.616147e-34
1.950,1.086959e-16,1.892467e-34
2.000,1.261402e-16,2.199494e-34
2.050,1.453764e-16,2.538599e-34
2.100,1.664721e-16,2.911061e-34
2.150,1.894895e-16,3.318058e-34
2.200,2.144850e-16,3.760670e-34
2.250,2.415091e-16,4.239875e-34
2.300,2.706069e-16,4.756549e-34
2.350,3.018175e-16,5.311471e-34
2.400,3.351749e-16,5.905318e-34
2.450,3.707075e-16,6.538672e-34
2.500,4.084386e-16,7.212024e-34
2.550,4.483864e-16,7.925770e-34
2.600,4.905645e-16,8.680224e-34
2.650,5.349819e-16,9.475613e-34
2.700,5.816433e-16,1.031209e-33
2.750,6.305493e-16,1.118972e-33
2.800,6.816967e-16,1.210852e-33
2.850,7.350787e-16,1.306842e-33
2.900,7.906850e-16,1.406930e-33
2.950,8.485025e-16,1.511096e-33
3.000,9.085149e-16,1.619318e-33
3.050,9.707034e-16,1.731565e-33
3.100,1.035047e-15,1.847806e-33
3.150,1.101521e-15,1.968001e-33
3.200,1.170101e-15,2.092108e-33
3.250,1.240759e-15,2.220083e-33
3.300,1.313466e-15,2.351876e-33
3.350,1.388192e-15,2.487435e-33
3.400,1.464903e-15,2.626707e-33
3.450,1.543567e-15,2.769633e-33
3.500,1.624150e-15,2.916155e-33
3.550,1.706617e-15,3.066213e-33
3.600,1.790930e-15,3.219743e-33
3.650,1.877055e-15,3.376681e-33
3.700,1.964953e-15,3.536963e-33
3.750,2.054587e-15,3.700521e-33
3.800,2.145918e-15,3.867289e-33
3.850,2.238909e-15,4.037199e-33
3.900,2.333521e-15,4.210183e-33
3.950,2.429715e-15,4.386171e-33
4.000,2.527452e-15,4.565096e-33
4.050,2.626695e-15,4.746887e-33
4.100,2.727404e-15,4.931477e-33
4.150,2.829541e-15,5.118795e-33
4.200,2.933068e-15,5.308773e-33
4.250,3.037947e-15,5.501344e-33
4.300,3.144141e-15,5.696438e-33
4.350,3.251611e-15,5.893988e-33
4.400,3.360321e-15,6.093927e-33
4.450,3.470234e-15,6.296188e-33
4.500,3.581314e-15,6.500706e-33
4.550,3.693526e-15,6.707416e-33
4.600,3.806834e-15,6.916253e-33
4.650,3.921203e-15,7.127153e-33
4.700,4.036599e-15,7.340054e-33
4.750,4.152988e-15,7.554893e-33
4.800,4.270337e-15,7.771610e-33
4.850,4.388612e-15,7.990145e-33
4.900,4.507783e-15,8.210437e-33
4.950,4.627817e-15,8.432429e-33
5.000,4.748683e-15,8.656064e-33
5.050,4.870350e-15,8.881284e-33
5.100,4.992789e-15,9.108034e-33
5.150,5.115970e-15,9.336261e-33
5.200,5.239865e-15,9.565909e-33
5.250,5.364444e-15,9.796928e-33
5.300,5.489681e-15,1.002926e-32
5.350,5.615548e-15,1.026287e-32
5.400,5.742018e-15,1.049769e-32
5.450,5.869066e-15,1.073368e-32
5.500,5.996666e-15,1.097080e-32
5.550,6.124793e-15,1.120899e-32
5.600,6.253423e-15,1.144820e-32
5.650,6.382531e-15,1.168841e-32
5.700,6.512095e-15,1.192955e-32
5.750,6.642092e-15,1.217159e-32
5.800,6.772499e-15,1.241449e-32
5.850,6.903295e-15,1.265821e-32
5.900,7.034458e-15,1.290270e-32
5.950,7.165968e-15,1.314792e-32
6.000,7.297805e-15,1.339384e-32
6.050,7.429948e-15,1.364043e-32
6.100,7.562378e-15,1.388763e-32
6.150,7.695077e-15,1.413543e-32
6.200,7.828025e-15,1.438378e-32
6.250,7.961206e-15,1.463264e-32
6.300,8.094602e-15,1.488199e-32
6.350,8.228195e-15,1.513180e-32
6.400,8.361969e-15,1.538203e-32
6.450,8.495907e-15,1.563264e-32
6.500,8.629995e-15,1.588362e-32
6.550,8.764216e-15,1.613493e-32
6.600,8.898555e-15,1.638654e-32
6.650,9.032999e-15,1.663842e-32
6.700,9.167532e-15,1.689056e-32
6.750,9.302141e-15,1.714291e-32
6.800,9.436812e-15,1.739545e-32
6.850,9.571532e-15,1.764817e-32
6.900,9.706289e-15,1.790103e-32
6.950,9.841070e-15,1.815401e-32
7.000,9.975862e-15,1.840708e-32
7.050,1.011065e-14,1.866023e-32
7.100,1.024544e-14,1.891343e-32
7.150,1.038019e-14,1.916666e-32
7.200,1.051492e-14,1.941990e-32
7.250,1.064960e-14,1.967313e-32
7.300,1.078423e-14,1.992633e-32
7.350,1.091879e-14,2.017948e-32
7.400,1.105328e-14,2.043255e-32
7.450,1.118768e-14,2.068554e-32
7.500,1.132200e-14,2.093842e-32
7.550,1.145621e-14,2.119118e-32
7.600,1.159031e-14,2.144380e-32
7.650,1.172429e-14,2.169626e-32
7.700,1.185815e-14,2.194855e-32
7.750,1.199187e-14,2.220065e-32
7.800,1.212545e-14,2.245254e-32
7.850,1.225888e-14,2.270422e-32
7.900,1.239215e-14,2.295566e-32
7.950,1.252526e-14,2.320686e-32
8.000,1.265820e-14,2.345780e-32
8.050,1.279096e-14,2.370846e-32
8.100,1.292353e-14,2.395884e-32
8.150,1.305592e-14,2.420892e-32
8.200,1.318811e-14,2.445868e-32
8.250,1.332010e-14,2.470813e-32
8.300,1.345188e-14,2.495724e-32
8.350,1.358345e-14,2.520601e-32
8.400,1.371480e-14,2.545442e-32
8.450,1.384593e-14,2.570247e-32
