# E + Kr <-> E + Kr(4d[7/2]3), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(4d[7/2]3)
# Threshold: 12.178 eV
# Statistical weight ratio: 7.0
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 144
energy_eV,cross_section_m2
12.1785,0.0
12.19062,3.636e-23
12.20423,3.8116e-23
12.21783,3.9475e-23
12.23144,4.3704e-23
12.24504,4.9094e-23
12.25865,5.604e-23
12.27225,6.3007e-23
12.28586,6.8414e-23
12.29947,6.9953e-23
12.31307,6.5544e-23
12.32668,6.1326e-23
12.34028,6.7203e-23
12.35389,7.168e-23
12.36749,7.0627e-23
12.3811,7.2502e-23
12.39471,7.352e-23
12.40831,7.1849e-23
12.42192,7.0176e-23
12.43552,6.9314e-23
12.44913,6.9071e-23
12.46273,6.9128e-23
12.47634,6.9327e-23
12.48994,6.9606e-23
12.50355,6.9918e-23
12.51716,7.0252e-23
12.53076,7.0642e-23
12.54437,7.1104e-23
12.55797,7.1692e-23
12.57158,7.2443e-23
12.58518,7.3403e-23
12.59879,7.4687e-23
12.6124,7.642e-23
12.626,7.9034e-23
12.63961,8.324e-23
12.65321,8.9005e-23
12.66682,8.1996e-23
12.68042,7.4484e-23
12.69403,7.6974e-23
12.70763,8.1387e-23
12.72124,7.9329e-23
12.73485,8.1093e-23
12.74845,8.6954e-23
12.76206,9.1901e-23
12.76886,8.8935e-23
12.77566,9.0086e-23
12.78927,8.8097e-23
12.80287,8.4387e-23
12.8709,7.6198e-23
12.88451,7.3798e-23
12.89811,7.1697e-23
12.91172,7.2624e-23
12.92532,7.1533e-23
12.96614,7.1054e-23
12.99335,7.3374e-23
13.06138,7.9075e-23
13.07499,8.0526e-23
13.08859,8.3142e-23
13.12941,8.1915e-23
13.15662,8.5476e-23
13.17023,8.5633e-23
13.18383,8.4559e-23
13.19744,8.5764e-23
13.22465,8.5716e-23
13.23825,8.5792e-23
13.25186,8.5901e-23
13.26546,8.5917e-23
13.27907,8.6017e-23
13.29268,8.5986e-23
13.31989,8.5862e-23
13.33349,8.5701e-23
13.3471,8.5814e-23
13.3607,8.6393e-23
13.37431,8.6229e-23
13.38791,8.5733e-23
13.40152,8.5199e-23
13.41513,8.4935e-23
13.42873,8.4659e-23
13.46955,8.4093e-23
13.49676,8.4854e-23
13.52397,8.5959e-23
13.55118,8.7668e-23
13.57839,8.6281e-23
13.6056,8.6389e-23
13.74166,8.6041e-23
13.87772,8.9379e-23
14.01377,9.7588e-23
14.14983,1.0778e-22
14.28588,1.1992e-22
14.42194,1.3487e-22
14.558,1.5165e-22
14.69405,1.7026e-22
14.83011,1.8822e-22
14.96616,2.0433e-22
15.10222,2.2036e-22
15.23828,2.369e-22
15.37433,2.5292e-22
15.51039,2.6857e-22
15.64645,2.8309e-22
15.7825,2.9579e-22
15.91856,3.0786e-22
16.05461,3.2419e-22
16.19067,3.4165e-22
16.32673,3.5528e-22
16.46278,3.6679e-22
16.59884,3.7602e-22
16.73489,3.8277e-22
16.87095,3.8898e-22
17.00701,3.9271e-22
17.14306,3.8903e-22
17.27912,3.9215e-22
17.41517,4.0331e-22
17.55123,4.1041e-22
17.68729,4.1687e-22
17.9594,4.3551e-22
19.04785,4.6615e-22
20.00024,4.6714e-22
20.40841,4.6273e-22
20.68052,4.5863e-22
21.08869,4.5028e-22
21.76897,4.3338e-22
21.90502,4.2991e-22
22.04108,4.2619e-22
22.17714,4.226e-22
22.31319,4.1897e-22
23.12953,3.9712e-22
23.40164,3.8986e-22
24.49009,3.6169e-22
25.85065,3.3311e-22
26.12276,3.2807e-22
27.21121,3.0709e-22
28.57177,2.8416e-22
30.00036,2.6296e-22
32.65345,2.31e-22
38.09569,1.8282e-22
43.53793,1.522e-22
54.42242,1.213e-22
68.02802,1.0096e-22
81.63363,8.7829e-23
95.23923,7.8086e-23
108.8448,7.0418e-23
122.4504,6.4174e-23
136.056,5.8956e-23
149.6617,5.4545e-23
