# E + Kr <-> E + Kr(4f![5/2]2), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(4f![5/2]2)
# Threshold: 0.0 eV
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 60
energy_eV,cross_section_m2
13.80959,0.0
13.87772,4.5522e-25
14.01377,1.8955e-24
14.14983,4.5339e-24
14.28588,7.7688e-24
14.42194,1.0462e-23
14.558,1.3793e-23
14.69405,1.7294e-23
14.83011,2.0653e-23
14.96616,2.4025e-23
15.10222,2.7785e-23
15.23828,3.2212e-23
15.37433,3.7825e-23
15.51039,4.4329e-23
15.64645,4.7599e-23
15.7825,4.9273e-23
15.91856,5.3219e-23
16.05461,5.7997e-23
16.19067,6.1487e-23
16.32673,6.6351e-23
16.46278,7.2679e-23
16.59884,7.884e-23
16.73489,8.3232e-23
16.87095,8.6475e-23
17.00701,9.0291e-23
17.14306,8.9333e-23
17.27912,8.4193e-23
17.41517,8.2417e-23
17.55123,8.3554e-23
17.68729,8.4338e-23
17.9594,8.6423e-23
19.04785,7.3353e-23
20.00024,5.8168e-23
20.40841,5.1491e-23
20.68052,4.7533e-23
21.08869,4.2812e-23
21.76897,3.5714e-23
21.90502,3.4074e-23
22.04108,3.3183e-23
22.17714,3.1918e-23
22.31319,3.0731e-23
23.12953,2.4835e-23
23.40164,2.3269e-23
24.49009,1.8467e-23
25.85065,1.6083e-23
26.12276,1.3601e-23
27.21121,1.0823e-23
28.57177,8.7449e-24
30.00036,7.1675e-24
32.65345,5.2021e-24
38.09569,3.1073e-24
43.53793,2.1609e-24
54.42242,1.3068e-24
68.02802,8.7331e-25
81.63363,6.5542e-25
95.23923,5.2394e-25
108.8448,4.36e-25
122.4504,3.7177e-25
136.056,3.2399e-25
149.6617,2.8424e-25
