# E + Kr <-> E + Kr(4f[5/2]3), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(4f[5/2]3)
# Threshold: 0.0 eV
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 86
energy_eV,cross_section_m2
13.14491,0.0
13.15662,8.72e-25
13.17023,1.0079e-24
13.18383,1.0935e-24
13.19744,1.1855e-24
13.22465,1.3521e-24
13.23825,1.4726e-24
13.25186,1.6222e-24
13.26546,1.7905e-24
13.27907,1.9551e-24
13.29268,2.1284e-24
13.31989,2.4373e-24
13.33349,2.6196e-24
13.3471,3.0465e-24
13.3607,3.9274e-24
13.37431,4.1096e-24
13.38791,4.0293e-24
13.40152,4.0747e-24
13.41513,4.2274e-24
13.42873,4.4709e-24
13.46955,4.4148e-24
13.49676,5.2728e-24
13.52397,5.9325e-24
13.55118,6.6363e-24
13.57839,6.637e-24
13.6056,7.1591e-24
13.74166,8.6707e-24
13.87772,1.0095e-23
14.01377,1.155e-23
14.14983,1.3115e-23
14.28588,1.512e-23
14.42194,1.7466e-23
14.558,2.0122e-23
14.69405,2.3339e-23
14.83011,2.702e-23
14.96616,3.1154e-23
15.10222,3.5215e-23
15.23828,3.8943e-23
15.37433,4.2145e-23
15.51039,4.4732e-23
15.64645,4.7226e-23
15.7825,4.9933e-23
15.91856,5.2833e-23
16.05461,5.5461e-23
16.19067,5.6943e-23
16.32673,5.7456e-23
16.46278,5.7539e-23
16.59884,5.7801e-23
16.73489,5.8717e-23
16.87095,5.9609e-23
17.00701,5.9219e-23
17.14306,5.6303e-23
17.27912,5.377e-23
17.41517,5.2316e-23
17.55123,5.1689e-23
17.68729,5.0845e-23
17.9594,4.5721e-23
19.04785,3.8342e-23
20.00024,3.1707e-23
20.40841,2.9208e-23
20.68052,2.7674e-23
21.08869,2.5447e-23
21.76897,2.2049e-23
21.90502,2.1485e-23
22.04108,2.0857e-23
22.17714,2.0293e-23
22.31319,1.9753e-23
23.12953,1.6886e-23
23.40164,1.6059e-23
24.49009,1.3251e-23
25.85065,1.1e-23
26.12276,1.0414e-23
27.21121,8.7318e-24
28.57177,7.1763e-24
30.00036,5.9164e-24
32.65345,4.2438e-24
38.09569,2.3598e-24
43.53793,1.4857e-24
54.42242,7.2382e-25
68.02802,3.7779e-25
81.63363,2.322e-25
95.23923,1.5788e-25
108.8448,1.1595e-25
122.4504,8.7425e-26
136.056,6.8838e-26
149.6617,5.5629e-26
