# E + Kr <-> E + Kr(5d[3/2]2), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(5d[3/2]2)
# Threshold: 0.0 eV
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 90
energy_eV,cross_section_m2
13.01924,0.0
13.06138,1.5733e-23
13.07499,1.8915e-23
13.08859,2.2548e-23
13.12941,2.7162e-23
13.15662,2.3221e-23
13.17023,2.391e-23
13.18383,2.4421e-23
13.19744,2.5722e-23
13.22465,2.7928e-23
13.23825,2.9063e-23
13.25186,3.0203e-23
13.26546,3.1445e-23
13.27907,3.2734e-23
13.29268,3.4e-23
13.31989,3.6822e-23
13.33349,3.8734e-23
13.3471,4.1439e-23
13.3607,4.1071e-23
13.37431,4.156e-23
13.38791,4.2867e-23
13.40152,4.3924e-23
13.41513,4.4393e-23
13.42873,4.4652e-23
13.46955,4.3462e-23
13.49676,4.6639e-23
13.52397,4.8232e-23
13.55118,4.9275e-23
13.57839,5.0772e-23
13.6056,5.1407e-23
13.74166,5.4275e-23
13.87772,5.9623e-23
14.01377,6.5261e-23
14.14983,7.3091e-23
14.28588,8.2561e-23
14.42194,9.1583e-23
14.558,9.9089e-23
14.69405,1.0187e-22
14.83011,1.0286e-22
14.96616,1.0558e-22
15.10222,1.1027e-22
15.23828,1.1624e-22
15.37433,1.2298e-22
15.51039,1.3035e-22
15.64645,1.3851e-22
15.7825,1.4696e-22
15.91856,1.5607e-22
16.05461,1.6553e-22
16.19067,1.7457e-22
16.32673,1.825e-22
16.46278,1.8864e-22
16.59884,1.9294e-22
16.73489,1.9768e-22
16.87095,2.067e-22
17.00701,2.1619e-22
17.14306,2.1312e-22
17.27912,2.0854e-22
17.41517,2.1412e-22
17.55123,2.1692e-22
17.68729,2.2161e-22
17.9594,2.1512e-22
19.04785,2.1621e-22
20.00024,2.0766e-22
20.40841,2.0252e-22
20.68052,1.981e-22
21.08869,1.9121e-22
21.76897,1.7865e-22
21.90502,1.7697e-22
22.04108,1.7393e-22
22.17714,1.7181e-22
22.31319,1.6971e-22
23.12953,1.5787e-22
23.40164,1.5429e-22
24.49009,1.4064e-22
25.85065,1.3022e-22
26.12276,1.2882e-22
27.21121,1.1718e-22
28.57177,1.0509e-22
30.00036,9.3771e-23
32.65345,7.5065e-23
38.09569,4.8264e-23
43.53793,3.1757e-23
54.42242,1.631e-23
68.02802,9.0218e-24
81.63363,5.8409e-24
95.23923,4.1579e-24
108.8448,3.1415e-24
122.4504,2.4702e-24
136.056,1.9957e-24
149.6617,1.6509e-24
