# E + Kr <-> E + Kr(5d![5/2]3), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(5d![5/2]3)
# Threshold: 0.0 eV
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 61
energy_eV,cross_section_m2
13.6677,0.0
13.74166,3.0826e-23
13.87772,3.2561e-23
14.01377,3.8237e-23
14.14983,4.4323e-23
14.28588,5.1334e-23
14.42194,5.7182e-23
14.558,6.177e-23
14.69405,6.5304e-23
14.83011,6.9143e-23
14.96616,7.2344e-23
15.10222,7.536e-23
15.23828,7.8711e-23
15.37433,8.2475e-23
15.51039,8.7653e-23
15.64645,9.4924e-23
15.7825,1.0256e-22
15.91856,1.1101e-22
16.05461,1.1992e-22
16.19067,1.2641e-22
16.32673,1.3049e-22
16.46278,1.3438e-22
16.59884,1.404e-22
16.73489,1.5033e-22
16.87095,1.6194e-22
17.00701,1.6916e-22
17.14306,1.7639e-22
17.27912,1.8195e-22
17.41517,1.8524e-22
17.55123,1.8835e-22
17.68729,1.915e-22
17.9594,1.7474e-22
19.04785,1.8282e-22
20.00024,1.772e-22
20.40841,1.7298e-22
20.68052,1.7065e-22
21.08869,1.6602e-22
21.76897,1.5777e-22
21.90502,1.5584e-22
22.04108,1.5466e-22
22.17714,1.531e-22
22.31319,1.5153e-22
23.12953,1.4257e-22
23.40164,1.3973e-22
24.49009,1.2919e-22
25.85065,1.3498e-22
26.12276,1.2127e-22
27.21121,1.0839e-22
28.57177,9.8708e-23
30.00036,8.9981e-23
32.65345,7.6401e-23
38.09569,5.7293e-23
43.53793,4.6483e-23
54.42242,3.6336e-23
68.02802,3.0859e-23
81.63363,2.7476e-23
95.23923,2.4877e-23
108.8448,2.2737e-23
122.4504,2.0932e-23
136.056,1.9375e-23
149.6617,1.8028e-23
