# E + Kr <-> E + Kr(5p![1/2]1), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(5p![1/2]1)
# Threshold: 0.0 eV
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 147
energy_eV,cross_section_m2
12.14043,0.0
12.14981,1.0837e-23
12.16341,2.8372e-23
12.17702,3.9951e-23
12.19062,4.5637e-23
12.20423,4.8488e-23
12.21783,4.9612e-23
12.23144,5.4442e-23
12.24504,5.6822e-23
12.25865,5.3571e-23
12.27225,5.0637e-23
12.28586,4.8474e-23
12.29947,4.8394e-23
12.31307,4.9504e-23
12.32668,5.0922e-23
12.34028,5.5889e-23
12.35389,5.9302e-23
12.36749,5.8055e-23
12.3811,5.7637e-23
12.39471,5.6204e-23
12.40831,5.591e-23
12.42192,5.5122e-23
12.43552,5.4299e-23
12.44913,5.3691e-23
12.46273,5.3324e-23
12.47634,5.3173e-23
12.48994,5.3192e-23
12.50355,5.3352e-23
12.51716,5.3632e-23
12.53076,5.4022e-23
12.54437,5.4512e-23
12.55797,5.5084e-23
12.57158,5.573e-23
12.58518,5.6426e-23
12.59879,5.7192e-23
12.6124,5.7968e-23
12.626,5.86e-23
12.63961,5.9069e-23
12.65321,6.1282e-23
12.66682,7.285e-23
12.68042,7.5631e-23
12.69403,7.769e-23
12.70763,6.782e-23
12.72124,6.5695e-23
12.73485,6.6302e-23
12.74845,6.4647e-23
12.76206,6.3709e-23
12.76886,6.2415e-23
12.77566,6.153e-23
12.78927,6.702e-23
12.80287,6.7782e-23
12.8709,8.4167e-23
12.88451,8.5913e-23
12.89811,8.7264e-23
12.91172,8.7158e-23
12.92532,8.6835e-23
12.96614,7.7903e-23
12.99335,7.2488e-23
13.06138,6.7229e-23
13.07499,6.5642e-23
13.08859,6.6921e-23
13.12941,6.3195e-23
13.15662,6.4358e-23
13.17023,6.4282e-23
13.18383,6.4265e-23
13.19744,6.4366e-23
13.22465,6.4834e-23
13.23825,6.5121e-23
13.25186,6.5527e-23
13.26546,6.5846e-23
13.27907,6.6217e-23
13.29268,6.669e-23
13.31989,6.7772e-23
13.33349,6.8854e-23
13.3471,7.079e-23
13.3607,7.5971e-23
13.37431,7.6274e-23
13.38791,7.3753e-23
13.40152,7.2305e-23
13.41513,7.1604e-23
13.42873,7.1199e-23
13.46955,7.0989e-23
13.49676,7.1411e-23
13.52397,6.9577e-23
13.55118,6.7707e-23
13.57839,6.5977e-23
13.6056,6.5694e-23
13.74166,6.511e-23
13.87772,6.8965e-23
14.01377,6.7623e-23
14.14983,6.5169e-23
14.28588,6.4448e-23
14.42194,6.5083e-23
14.558,6.7576e-23
14.69405,7.1395e-23
14.83011,7.6e-23
14.96616,8.1774e-23
15.10222,8.8225e-23
15.23828,9.4297e-23
15.37433,1.0019e-22
15.51039,1.0664e-22
15.64645,1.1239e-22
15.7825,1.1666e-22
15.91856,1.2027e-22
16.05461,1.2553e-22
16.19067,1.3274e-22
16.32673,1.4293e-22
16.46278,1.5692e-22
16.59884,1.7403e-22
16.73489,1.9111e-22
16.87095,2.0639e-22
17.00701,2.2297e-22
17.14306,2.3813e-22
17.27912,2.4477e-22
17.41517,2.5183e-22
17.55123,2.6062e-22
17.68729,2.6969e-22
17.9594,2.9427e-22
19.04785,3.3468e-22
20.00024,3.2688e-22
20.40841,3.1577e-22
20.68052,3.0439e-22
21.08869,2.8621e-22
21.76897,2.601e-22
21.90502,2.5528e-22
22.04108,2.5009e-22
22.17714,2.4517e-22
22.31319,2.4028e-22
23.12953,2.128e-22
23.40164,2.0443e-22
24.49009,1.7524e-22
25.85065,1.476e-22
26.12276,1.4158e-22
27.21121,1.234e-22
28.57177,1.0509e-22
30.00036,8.9029e-23
32.65345,6.6458e-23
38.09569,3.8355e-23
43.53793,2.4851e-23
54.42242,1.3831e-23
68.02802,7.9892e-24
81.63363,4.7954e-24
95.23923,3.0497e-24
108.8448,2.0971e-24
122.4504,1.5462e-24
136.056,1.2071e-24
149.6617,9.7027e-25
