# E + Kr <-> E + Kr(5p[3/2]2), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Kr <-> Kr(5p[3/2]2)
# Threshold: 11.546 eV
# Statistical weight ratio: 5.0
# Comment: DBSR69 model, J.Phys.B44 (2011) 065201.
# Updated: 2011-07-14 22:43:00
# Data points: 204
energy_eV,cross_section_m2
11.54582,0.0
11.55116,2.7249e-23
11.56476,8.3936e-23
11.57837,1.058e-22
11.59198,1.1511e-22
11.60558,1.1996e-22
11.61919,1.2345e-22
11.62599,1.2533e-22
11.63279,1.2759e-22
11.6396,1.2916e-22
11.64368,1.2867e-22
11.6464,1.2796e-22
11.64912,1.2721e-22
11.6532,1.2638e-22
11.66,1.2569e-22
11.66545,1.254e-22
11.67361,1.2374e-22
11.68721,1.2254e-22
11.70082,1.2299e-22
11.71443,1.2387e-22
11.72803,1.2471e-22
11.74164,1.2541e-22
11.75524,1.2594e-22
11.76204,1.2616e-22
11.77565,1.266e-22
11.78245,1.2672e-22
11.79606,1.27e-22
11.80966,1.2722e-22
11.82327,1.2742e-22
11.83688,1.2759e-22
11.85048,1.2771e-22
11.86409,1.2779e-22
11.87769,1.278e-22
11.8913,1.2243e-22
11.9049,1.2742e-22
11.91851,1.2688e-22
11.93211,1.2595e-22
11.94572,1.2442e-22
11.95933,1.2444e-22
11.97293,1.5235e-22
11.97565,1.4924e-22
11.97973,1.5042e-22
11.98382,1.5457e-22
11.98654,1.5018e-22
11.98926,1.4531e-22
11.99334,1.4006e-22
12.00014,1.3611e-22
12.00695,1.4513e-22
12.01375,1.7986e-22
12.01647,1.9327e-22
12.02055,1.9666e-22
12.02735,1.8307e-22
12.04096,1.6815e-22
12.05457,1.6189e-22
12.06817,1.6026e-22
12.08178,1.652e-22
12.09538,1.9077e-22
12.10899,2.4944e-22
12.14981,2.0597e-22
12.16341,1.9971e-22
12.17702,1.9371e-22
12.19062,1.8192e-22
12.20423,1.7518e-22
12.21783,1.6894e-22
12.23144,1.5904e-22
12.24504,1.508e-22
12.25865,1.5409e-22
12.27225,1.6381e-22
12.28586,1.827e-22
12.29947,1.8345e-22
12.31307,1.8351e-22
12.32668,1.7982e-22
12.34028,1.781e-22
12.35389,1.7292e-22
12.36749,1.6815e-22
12.3811,1.6248e-22
12.39471,1.6262e-22
12.40831,1.6027e-22
12.42192,1.5789e-22
12.43552,1.5557e-22
12.44913,1.5328e-22
12.46273,1.5117e-22
12.47634,1.4932e-22
12.48994,1.4787e-22
12.50355,1.4679e-22
12.51716,1.4614e-22
12.53076,1.4584e-22
12.54437,1.4591e-22
12.55797,1.4628e-22
12.57158,1.4694e-22
12.58518,1.4789e-22
12.59879,1.4901e-22
12.6124,1.5044e-22
12.626,1.5236e-22
12.63961,1.5469e-22
12.65321,1.5453e-22
12.66682,1.4044e-22
12.68042,1.3185e-22
12.69403,1.3156e-22
12.70763,1.5045e-22
12.72124,1.7503e-22
12.73485,1.7275e-22
12.74845,1.7094e-22
12.76206,1.6578e-22
12.76886,1.6013e-22
12.77566,1.5189e-22
12.78927,1.4431e-22
12.80287,1.5709e-22
12.8709,1.4881e-22
12.88451,1.488e-22
12.89811,1.5007e-22
12.91172,1.5388e-22
12.92532,1.5456e-22
12.96614,1.5644e-22
12.99335,1.4465e-22
13.06138,1.4803e-22
13.07499,1.481e-22
13.08859,1.4877e-22
13.12941,1.4658e-22
13.15662,1.4564e-22
13.17023,1.4597e-22
13.18383,1.4675e-22
13.19744,1.4649e-22
13.22465,1.4645e-22
13.23825,1.463e-22
13.25186,1.4644e-22
13.26546,1.4593e-22
13.27907,1.4571e-22
13.29268,1.4557e-22
13.31989,1.4552e-22
13.33349,1.4598e-22
13.3471,1.47e-22
13.3607,1.4677e-22
13.37431,1.4354e-22
13.38791,1.412e-22
13.40152,1.3984e-22
13.41513,1.3893e-22
13.42873,1.3833e-22
13.46955,1.3912e-22
13.49676,1.3903e-22
13.52397,1.3856e-22
13.55118,1.3146e-22
13.57839,1.3735e-22
13.6056,1.3758e-22
13.74166,1.3872e-22
13.87772,1.4146e-22
14.01377,1.4527e-22
14.14983,1.4955e-22
14.28588,1.5493e-22
14.42194,1.6214e-22
14.558,1.7045e-22
14.69405,1.7651e-22
14.83011,1.7977e-22
14.96616,1.8415e-22
15.10222,1.9108e-22
15.23828,1.9924e-22
15.37433,2.0811e-22
15.51039,2.1733e-22
15.64645,2.2696e-22
15.7825,2.3572e-22
15.91856,2.4413e-22
16.05461,2.5318e-22
16.19067,2.6225e-22
16.32673,2.6988e-22
16.46278,2.7665e-22
16.59884,2.8283e-22
16.73489,2.893e-22
16.87095,2.9743e-22
17.00701,3.0501e-22
17.14306,3.1079e-22
17.27912,3.1442e-22
17.41517,3.1641e-22
17.55123,3.1737e-22
17.68729,3.1831e-22
17.9594,3.2494e-22
19.04785,3.207e-22
20.00024,3.0707e-22
20.40841,3.037e-22
20.68052,3.0233e-22
21.08869,3.0089e-22
21.76897,2.9794e-22
21.90502,2.9775e-22
22.04108,2.969e-22
22.17714,2.9635e-22
22.31319,2.9613e-22
23.12953,2.9308e-22
23.40164,2.9188e-22
24.49009,2.8563e-22
25.85065,2.7718e-22
26.12276,2.7582e-22
27.21121,2.6706e-22
28.57177,2.5536e-22
30.00036,2.4307e-22
32.65345,2.2022e-22
38.09569,1.8302e-22
43.53793,1.5708e-22
54.42242,1.2512e-22
68.02802,1.0066e-22
81.63363,8.4063e-23
95.23923,7.2066e-23
108.8448,6.304e-23
122.4504,5.6033e-23
136.056,5.0464e-23
149.6617,4.5966e-23
