# E + Kr, Elastic
# Source: LXCat, COP (Complex Optical Potential)
# Target: Kr
# m/M: 0.0
# Comment: Elastic total cross section.
# Updated: 2016-03-16 12:18:24
# Data points: 413
energy_eV,cross_section_m2
0.0,3.6119e-19
0.002,3.1429e-19
0.004,2.9456e-19
0.006,2.7955e-19
0.008,2.6692e-19
0.01,2.5581e-19
0.02,2.1316e-19
0.03,1.8286e-19
0.04,1.5982e-19
0.05,1.4152e-19
0.06,1.2649e-19
0.07,1.1385e-19
0.08,1.0304e-19
0.09,9.3677e-20
0.1,8.5515e-20
0.11,7.8323e-20
0.12,7.1954e-20
0.13,6.6258e-20
0.14,6.115e-20
0.15,5.6548e-20
0.16,5.2384e-20
0.17,4.8605e-20
0.18,4.5163e-20
0.19,4.2022e-20
0.2,3.9156e-20
0.21,3.6519e-20
0.22,3.4097e-20
0.23,3.1868e-20
0.24,2.9813e-20
0.25,2.7916e-20
0.26,2.6162e-20
0.27,2.4539e-20
0.28,2.3043e-20
0.29,2.1649e-20
0.3,2.0356e-20
0.31,1.9155e-20
0.32,1.804e-20
0.33,1.7004e-20
0.34,1.6042e-20
0.35,1.5148e-20
0.36,1.4325e-20
0.37,1.3552e-20
0.38,1.2835e-20
0.39,1.2169e-20
0.4,1.1552e-20
0.45,9.0885e-21
0.46,8.7032e-21
0.47,8.3489e-21
0.48,8.0249e-21
0.49,7.7279e-21
0.5,7.4579e-21
0.51,7.2115e-21
0.52,6.9898e-21
0.53,6.7903e-21
0.54,6.6119e-21
0.55,6.454e-21
0.6,5.9344e-21
0.65,5.7955e-21
0.7,5.9627e-21
0.75,6.3859e-21
0.8,7.0182e-21
0.85,7.8245e-21
0.9,8.7777e-21
0.95,9.8549e-21
1.0,1.1046e-20
1.05,1.2332e-20
1.1,1.3702e-20
1.15,1.5146e-20
1.2,1.6651e-20
1.25,1.822e-20
1.3,1.9842e-20
1.35,2.1513e-20
1.4,2.3227e-20
1.45,2.4982e-20
1.5,2.6774e-20
1.55,2.8601e-20
1.6,3.0459e-20
1.65,3.2347e-20
1.7,3.4263e-20
1.75,3.6205e-20
1.8,3.8172e-20
1.85,4.0162e-20
1.9,4.2175e-20
1.95,4.4209e-20
2.0,4.6263e-20
2.05,4.8337e-20
2.1,5.043e-20
2.15,5.2541e-20
2.2,5.4669e-20
2.25,5.6808e-20
2.3,5.8966e-20
2.35,6.1141e-20
2.4,6.3336e-20
2.45,6.5543e-20
2.5,6.7767e-20
2.55,7.0006e-20
2.6,7.226e-20
2.65,7.4529e-20
2.7,7.6813e-20
2.75,7.9111e-20
2.8,8.1424e-20
2.85,8.3751e-20
2.9,8.6091e-20
2.95,8.8445e-20
3.0,9.0813e-20
3.05,9.319e-20
3.1,9.5581e-20
3.15,9.7986e-20
3.2,1.0041e-19
3.25,1.0284e-19
3.3,1.0528e-19
3.35,1.0773e-19
3.4,1.102e-19
3.45,1.1267e-19
3.5,1.1516e-19
3.55,1.1766e-19
3.6,1.2017e-19
3.65,1.2269e-19
3.7,1.2521e-19
3.75,1.2775e-19
3.8,1.3029e-19
3.85,1.3284e-19
3.9,1.354e-19
3.95,1.3796e-19
4.0,1.4053e-19
4.05,1.4311e-19
4.1,1.4569e-19
4.15,1.4827e-19
4.2,1.5085e-19
4.25,1.5344e-19
4.3,1.5603e-19
4.35,1.5862e-19
4.4,1.6121e-19
4.45,1.638e-19
4.5,1.6638e-19
4.55,1.6897e-19
4.6,1.7155e-19
4.65,1.7412e-19
4.7,1.7669e-19
4.75,1.7925e-19
4.8,1.8181e-19
4.85,1.8436e-19
4.9,1.869e-19
4.95,1.8943e-19
5.0,1.9194e-19
5.05,1.9445e-19
5.1,1.9694e-19
5.15,1.9941e-19
5.2,2.0187e-19
5.25,2.0432e-19
5.3,2.0675e-19
5.35,2.0916e-19
5.4,2.1155e-19
5.45,2.1392e-19
5.5,2.1627e-19
5.55,2.186e-19
5.6,2.2091e-19
5.65,2.2319e-19
5.7,2.2545e-19
5.75,2.2768e-19
5.8,2.2989e-19
5.85,2.3207e-19
5.9,2.3422e-19
5.95,2.3635e-19
6.0,2.3845e-19
6.05,2.4052e-19
6.1,2.4255e-19
6.15,2.4456e-19
6.2,2.4654e-19
6.25,2.4848e-19
6.3,2.504e-19
6.35,2.5228e-19
6.4,2.5413e-19
6.45,2.5594e-19
6.5,2.5772e-19
6.55,2.5947e-19
6.6,2.6119e-19
6.65,2.6287e-19
6.7,2.6451e-19
6.75,2.6612e-19
6.8,2.677e-19
6.85,2.6924e-19
6.9,2.7074e-19
6.95,2.7221e-19
7.0,2.7365e-19
7.05,2.7505e-19
7.1,2.7641e-19
7.15,2.7774e-19
7.2,2.7904e-19
7.25,2.803e-19
7.3,2.8152e-19
7.35,2.8271e-19
7.4,2.8387e-19
7.45,2.8499e-19
7.5,2.8608e-19
7.55,2.8714e-19
7.6,2.8816e-19
7.65,2.8915e-19
7.7,2.901e-19
7.75,2.9103e-19
7.8,2.9192e-19
7.85,2.9278e-19
7.9,2.9361e-19
7.95,2.944e-19
8.0,2.9517e-19
8.05,2.9591e-19
8.1,2.9661e-19
8.15,2.9729e-19
8.2,2.9794e-19
8.25,2.9856e-19
8.3,2.9915e-19
8.35,2.9972e-19
8.4,3.0025e-19
8.45,3.0076e-19
8.5,3.0124e-19
8.55,3.017e-19
8.6,3.0214e-19
8.65,3.0254e-19
8.7,3.0293e-19
8.75,3.0329e-19
8.8,3.0363e-19
8.85,3.0394e-19
8.9,3.0423e-19
8.95,3.045e-19
9.0,3.0475e-19
9.05,3.0497e-19
9.1,3.0518e-19
9.15,3.0536e-19
9.2,3.0553e-19
9.25,3.0568e-19
9.3,3.058e-19
9.35,3.0591e-19
9.4,3.06e-19
9.45,3.0608e-19
9.5,3.0614e-19
9.55,3.0618e-19
9.6,3.062e-19
9.65,3.0621e-19
9.7,3.062e-19
9.75,3.0617e-19
9.8,3.0613e-19
9.85,3.0608e-19
9.9,3.0601e-19
9.95,3.0593e-19
10.0,3.0584e-19
10.1,3.0534e-19
10.2,3.0492e-19
10.3,3.0451e-19
10.4,3.0407e-19
10.5,3.0361e-19
10.6,3.0311e-19
10.7,3.0242e-19
10.8,3.0176e-19
10.9,3.0123e-19
11.0,3.0047e-19
11.1,2.998e-19
11.2,2.9911e-19
11.3,2.9841e-19
11.4,2.9769e-19
11.5,2.9692e-19
11.6,2.9614e-19
11.7,2.9538e-19
11.8,2.9461e-19
11.9,2.9382e-19
12.0,2.9301e-19
12.1,2.9218e-19
12.2,2.9131e-19
12.3,2.9046e-19
12.4,2.8949e-19
12.5,2.8852e-19
12.6,2.876e-19
12.7,2.8667e-19
12.8,2.8576e-19
12.9,2.8483e-19
13.0,2.839e-19
13.1,2.8287e-19
13.2,2.8186e-19
13.3,2.809e-19
13.4,2.7994e-19
13.5,2.7897e-19
13.6,2.7801e-19
13.7,2.7706e-19
13.8,2.7608e-19
13.9,2.7511e-19
14.0,2.7415e-19
15.0,2.6415e-19
16.0,2.549e-19
17.0,2.4581e-19
18.0,2.3705e-19
19.0,2.2895e-19
20.0,2.2151e-19
21.0,2.1467e-19
22.0,2.0834e-19
23.0,2.0246e-19
24.0,1.9696e-19
25.0,1.918e-19
26.0,1.8693e-19
27.0,1.8231e-19
28.0,1.7792e-19
29.0,1.7374e-19
30.0,1.6975e-19
31.0,1.6592e-19
32.0,1.6224e-19
33.0,1.5871e-19
34.0,1.5531e-19
35.0,1.5204e-19
36.0,1.4889e-19
37.0,1.4586e-19
38.0,1.4293e-19
39.0,1.4012e-19
40.0,1.3741e-19
41.0,1.348e-19
42.0,1.3229e-19
43.0,1.2987e-19
44.0,1.2754e-19
45.0,1.253e-19
46.0,1.2314e-19
47.0,1.2106e-19
48.0,1.1905e-19
49.0,1.1712e-19
50.0,1.1525e-19
51.0,1.1345e-19
52.0,1.1172e-19
53.0,1.1004e-19
54.0,1.0842e-19
55.0,1.0685e-19
56.0,1.0534e-19
57.0,1.0388e-19
58.0,1.0247e-19
59.0,1.011e-19
60.0,9.9777e-20
65.0,9.3753e-20
70.0,8.8579e-20
75.0,8.4088e-20
80.0,8.016e-20
85.0,7.6693e-20
90.0,7.3612e-20
95.0,7.0858e-20
100.0,6.838e-20
105.0,6.6141e-20
110.0,6.4106e-20
115.0,6.225e-20
120.0,6.055e-20
125.0,5.8987e-20
130.0,5.7541e-20
135.0,5.6219e-20
140.0,5.4978e-20
145.0,5.3822e-20
150.0,5.2741e-20
155.0,5.173e-20
160.0,5.078e-20
165.0,4.9887e-20
170.0,4.9042e-20
175.0,4.8245e-20
180.0,4.7492e-20
185.0,4.6777e-20
190.0,4.6099e-20
195.0,4.5455e-20
200.0,4.4843e-20
205.0,4.426e-20
210.0,4.3703e-20
215.0,4.3172e-20
220.0,4.2663e-20
225.0,4.2176e-20
230.0,4.171e-20
235.0,4.1262e-20
240.0,4.0832e-20
245.0,4.0419e-20
250.0,4.0021e-20
260.0,3.9273e-20
270.0,3.8573e-20
280.0,3.7918e-20
290.0,3.7298e-20
300.0,3.6721e-20
310.0,3.6173e-20
320.0,3.5652e-20
330.0,3.5158e-20
340.0,3.4688e-20
350.0,3.4238e-20
360.0,3.3808e-20
370.0,3.3395e-20
380.0,3.2999e-20
390.0,3.2617e-20
400.0,3.2249e-20
410.0,3.1894e-20
420.0,3.1549e-20
430.0,3.1216e-20
440.0,3.0893e-20
450.0,3.058e-20
460.0,3.0276e-20
470.0,2.998e-20
480.0,2.9693e-20
490.0,2.9413e-20
500.0,2.9141e-20
525.0,2.8488e-20
550.0,2.7876e-20
575.0,2.7298e-20
600.0,2.6751e-20
625.0,2.6233e-20
650.0,2.574e-20
675.0,2.5272e-20
700.0,2.4825e-20
725.0,2.4399e-20
750.0,2.3992e-20
775.0,2.3603e-20
800.0,2.323e-20
825.0,2.2872e-20
850.0,2.2529e-20
875.0,2.2199e-20
900.0,2.188e-20
925.0,2.1572e-20
950.0,2.128e-20
1000.0,2.0724e-20
