# E + Kr -> E + Kr(2s4), Excitation
# Source: LXCat, NGFSRDW database
# Target: Kr -> Kr(2s4)
# Threshold: 12.385 eV
# Updated: 2016-06-15 07:17:22
# Data points: 98
energy_eV,cross_section_m2
12.385,0.0
30.0,3.3e-22
35.0,3.11e-22
40.0,2.95e-22
45.0,2.8e-22
50.0,2.66e-22
60.0,2.44e-22
70.0,2.24e-22
80.0,2.06e-22
90.0,1.88e-22
110.0,1.71e-22
120.0,1.62e-22
130.0,1.54e-22
140.0,1.47e-22
150.0,1.41e-22
160.0,1.35e-22
170.0,1.3e-22
180.0,1.25e-22
190.0,1.21e-22
210.0,1.13e-22
220.0,1.09e-22
230.0,1.06e-22
240.0,1.03e-22
250.0,1e-22
260.0,9.76e-23
270.0,9.5e-23
280.0,9.26e-23
290.0,9.04e-23
310.0,8.62e-23
320.0,8.42e-23
330.0,8.24e-23
340.0,8.06e-23
350.0,7.9e-23
360.0,7.74e-23
370.0,7.59e-23
380.0,7.44e-23
390.0,7.3e-23
400.0,7.17e-23
410.0,7.04e-23
420.0,6.91e-23
430.0,6.79e-23
440.0,6.68e-23
450.0,6.57e-23
460.0,6.46e-23
470.0,6.36e-23
480.0,6.26e-23
490.0,6.17e-23
500.0,6.07e-23
510.0,5.98e-23
520.0,5.9e-23
530.0,5.81e-23
540.0,5.73e-23
550.0,5.65e-23
560.0,5.58e-23
570.0,5.5e-23
580.0,5.43e-23
590.0,5.36e-23
600.0,5.29e-23
610.0,5.23e-23
620.0,5.16e-23
630.0,5.1e-23
640.0,5.04e-23
650.0,4.98e-23
660.0,4.92e-23
670.0,4.87e-23
680.0,4.81e-23
690.0,4.76e-23
700.0,4.71e-23
710.0,4.66e-23
720.0,4.61e-23
730.0,4.56e-23
740.0,4.51e-23
750.0,4.46e-23
760.0,4.42e-23
770.0,4.37e-23
780.0,4.33e-23
790.0,4.29e-23
800.0,4.25e-23
810.0,4.21e-23
820.0,4.17e-23
830.0,4.13e-23
840.0,4.09e-23
850.0,4.05e-23
860.0,4.01e-23
870.0,3.98e-23
880.0,3.94e-23
890.0,3.91e-23
900.0,3.87e-23
910.0,3.84e-23
920.0,3.81e-23
930.0,3.78e-23
940.0,3.74e-23
950.0,3.71e-23
960.0,3.68e-23
970.0,3.65e-23
980.0,3.62e-23
990.0,3.6e-23
1000.0,3.57e-23
