# E + Kr -> E + Kr(3d6), Excitation
# Source: LXCat, NGFSRDW database
# Target: Kr -> Kr(3d6)
# Threshold: 12.284 eV
# Updated: 2016-06-15 07:17:22
# Data points: 100
energy_eV,cross_section_m2
12.284,0.0
20.0,3.43e-22
25.0,2.41e-22
30.0,1.73e-22
35.0,1.55e-22
40.0,1.38e-22
45.0,1.24e-22
50.0,1.11e-22
60.0,9.77e-23
70.0,8.56e-23
80.0,7.56e-23
90.0,6.67e-23
110.0,5.32e-23
120.0,4.9e-23
130.0,4.54e-23
140.0,4.23e-23
150.0,3.97e-23
160.0,3.73e-23
170.0,3.53e-23
180.0,3.34e-23
190.0,3.17e-23
210.0,2.89e-23
220.0,2.76e-23
230.0,2.65e-23
240.0,2.55e-23
250.0,2.45e-23
260.0,2.36e-23
270.0,2.28e-23
280.0,2.2e-23
290.0,2.13e-23
310.0,2e-23
320.0,1.94e-23
330.0,1.88e-23
340.0,1.83e-23
350.0,1.78e-23
360.0,1.74e-23
370.0,1.69e-23
380.0,1.65e-23
390.0,1.61e-23
400.0,1.57e-23
410.0,1.53e-23
420.0,1.5e-23
430.0,1.47e-23
440.0,1.44e-23
450.0,1.41e-23
460.0,1.38e-23
470.0,1.35e-23
480.0,1.32e-23
490.0,1.3e-23
500.0,1.27e-23
510.0,1.25e-23
520.0,1.23e-23
530.0,1.2e-23
540.0,1.18e-23
550.0,1.16e-23
560.0,1.14e-23
570.0,1.12e-23
580.0,1.11e-23
590.0,1.09e-23
600.0,1.07e-23
610.0,1.05e-23
620.0,1.04e-23
630.0,1.02e-23
640.0,1.01e-23
650.0,9.93e-24
660.0,9.79e-24
670.0,9.65e-24
680.0,9.52e-24
690.0,9.39e-24
700.0,9.26e-24
710.0,9.14e-24
720.0,9.02e-24
730.0,8.9e-24
740.0,8.79e-24
750.0,8.68e-24
760.0,8.57e-24
770.0,8.46e-24
780.0,8.36e-24
790.0,8.26e-24
800.0,8.16e-24
810.0,8.07e-24
820.0,7.97e-24
830.0,7.88e-24
840.0,7.79e-24
850.0,7.71e-24
860.0,7.62e-24
870.0,7.54e-24
880.0,7.46e-24
890.0,7.38e-24
900.0,7.3e-24
910.0,7.23e-24
920.0,7.15e-24
930.0,7.08e-24
940.0,7.01e-24
950.0,6.94e-24
960.0,6.87e-24
970.0,6.8e-24
980.0,6.74e-24
990.0,6.67e-24
1000.0,6.61e-24
