# E + O2 -> E + O2, Elastic
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: O2
# m/M: 1.7e-05
# Comment: elastic MOMENTUM-TRANSFER CROSS SECTION attn: mass ratio corrected on 1 oct 2015.
# Updated: 2015-10-01 14:39:18
# Data points: 104
energy_eV,cross_section_m2
0.0001,3.5e-21
0.03514217,1.3786e-20
0.07151931,2.3108e-20
0.1091748,4.2858e-20
0.1481536,5.5508e-20
0.1885022,5.677e-20
0.3182567,5.8183e-20
0.5135612,5.9568e-20
0.6218101,6.0872e-20
0.678804,6.3152e-20
0.7378008,6.5512e-20
0.7988709,6.7955e-20
0.8620871,6.9863e-20
0.9275249,7.1826e-20
0.9952623,7.3858e-20
1.137962,7.6759e-20
1.630268,7.4655e-20
1.722701,7.2991e-20
1.818383,7.1269e-20
1.917427,6.9486e-20
2.019952,6.79e-20
2.349654,6.6252e-20
2.715352,6.4423e-20
2.981072,6.3095e-20
3.731513,6.1537e-20
4.821032,6.0179e-20
6.161434,5.896e-20
10.61449,5.7693e-20
13.79108,5.6403e-20
17.83649,5.5149e-20
20.62719,5.4061e-20
22.17395,5.2978e-20
23.83133,5.1818e-20
25.60725,5.0514e-20
27.51018,4.8992e-20
29.54921,4.7361e-20
30.62278,4.6408e-20
31.73407,4.5353e-20
32.88442,4.426e-20
34.07519,4.3129e-20
35.30781,4.1958e-20
36.58374,4.0745e-20
37.90451,3.9491e-20
39.2717,3.8192e-20
40.68694,3.7067e-20
42.15191,3.6144e-20
43.66836,3.5189e-20
45.2381,3.42e-20
46.86301,3.3176e-20
48.54502,3.2117e-20
52.08844,3.026e-20
55.88529,2.8552e-20
59.95369,2.6721e-20
64.31306,2.5406e-20
68.9842,2.4005e-20
73.98942,2.2503e-20
79.35261,2.0894e-20
85.09938,1.9782e-20
91.25714,1.8674e-20
97.85531,1.7486e-20
104.9254,1.6716e-20
116.4898,1.5814e-20
124.8925,1.5158e-20
133.8963,1.4456e-20
143.544,1.3704e-20
153.8817,1.2897e-20
164.9587,1.2033e-20
176.8279,1.1107e-20
183.0772,1.062e-20
189.5461,1.0115e-20
196.2423,9.5931e-21
203.1738,9.2175e-21
217.7762,8.8378e-21
233.4229,8.431e-21
250.1886,7.9951e-21
268.1535,7.528e-21
287.4032,7.0275e-21
308.0295,6.5635e-21
330.1311,6.1878e-21
353.8134,5.7852e-21
379.1894,5.3538e-21
392.5501,5.1266e-21
406.3803,4.8915e-21
420.6965,4.6482e-21
435.5158,4.3962e-21
450.8559,4.1354e-21
466.7351,3.8655e-21
483.1724,3.5861e-21
500.1872,3.2991e-21
536.0318,3.1343e-21
574.4399,2.9576e-21
615.595,2.7683e-21
659.6934,2.5654e-21
682.9116,2.4586e-21
706.9458,2.348e-21
731.8245,2.2336e-21
757.5776,2.1151e-21
784.2356,1.9925e-21
811.8305,1.8656e-21
840.3951,1.7342e-21
869.9636,1.5982e-21
900.5711,1.4574e-21
932.2543,1.3116e-21
965.0509,1.1608e-21
