# E + O2 -> E + O2( ROT), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: O2 -> O2( ROT)
# Threshold: 0.02 eV
# Comment: (Temp(K)=0.00E+0).
# Updated: 2012-10-14 17:51:20
# Data points: 32
energy_eV,cross_section_m2
0.02,0.0
0.021,1e-22
0.025,1e-22
0.07,1e-22
0.08,1.54e-22
0.1,1e-22
0.2,1e-22
0.21,3.16e-22
0.22,1e-22
0.32,1e-22
0.33,4.84e-22
0.35,1e-22
0.44,1e-22
0.45,6.4e-22
0.47,1e-22
0.56,1e-22
0.57,7.7e-22
0.59,1e-22
0.68,1e-22
0.69,9e-22
0.71,1e-22
0.79,1e-22
0.8,1e-21
0.81,1e-22
0.9,1e-22
0.91,9e-22
0.93,1e-22
1.02,1e-22
1.03,8e-22
1.05,6e-22
100.0,2e-22
1000.0,1.5e-22
