# E + O2 -> E + O2( VIB 2V1), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: O2 -> O2( VIB 2V1)
# Threshold: 0.386 eV
# Updated: 2012-10-14 17:45:14
# Data points: 61
energy_eV,cross_section_m2
0.193,0.0
0.2,0.0
0.21,0.0
0.23,0.0
0.32,0.0
0.33,0.0
0.35,0.0
0.44,0.0
0.45,0.0
0.47,0.0
0.56,0.0
0.57,1.4e-21
0.59,0.0
0.68,0.0
0.69,4.15e-21
0.71,0.0
0.79,0.0
0.8,5.35e-21
0.82,0.0
0.9,0.0
0.91,4.65e-21
0.93,0.0
1.02,0.0
1.03,3.15e-21
1.05,0.0
1.13,0.0
1.14,2e-21
1.16,0.0
1.23,0.0
1.24,9.5e-22
1.26,0.0
1.34,0.0
1.35,4e-22
1.37,0.0
1.44,0.0
1.45,1.8e-22
1.47,0.0
1.54,0.0
1.55,8e-23
1.57,0.0
1.63,0.0
1.65,3e-23
1.67,0.0
4.0,1e-23
5.0,2.8e-22
6.0,4e-22
7.0,7.3e-22
8.0,9.4e-22
8.5,1.05e-21
9.0,1.1e-21
9.5,1.09e-21
10.0,1.09e-21
11.0,9.3e-22
12.0,7.3e-22
13.0,5.1e-22
14.0,2.8e-22
15.0,1.3e-22
17.0,8e-23
20.0,5e-23
45.0,1e-23
100.0,0.0
