# E + O2 <-> E + O2*(LB), Excitation
# Source: LXCat, IAA (IAA)
# Target: O2 <-> O2*(LB)
# Threshold: 0.0 eV
# Comment: (1994)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
9.97,0.0
10.20357,2.42554e-25
10.4426,1.957919e-24
10.68724,6.726956e-24
10.93761,1.625794e-23
11.19384,3.228807e-23
11.45608,5.635144e-23
11.72446,8.940313e-23
11.99913,1.31383e-22
12.28023,1.809298e-22
12.56791,2.354831e-22
12.86234,2.918252e-22
13.16367,3.468196e-22
13.47205,3.979966e-22
13.78766,4.437926e-22
14.11066,4.834893e-22
14.44123,5.170015e-22
14.77954,5.446442e-22
15.12578,5.669445e-22
15.48013,5.845126e-22
15.84278,5.979632e-22
16.21392,6.078738e-22
16.59377,6.147651e-22
16.9825,6.190948e-22
17.38035,6.212596e-22
17.78752,6.215995e-22
18.20422,6.204048e-22
18.63069,6.179219e-22
19.06715,6.143601e-22
19.51383,6.098968e-22
19.97098,6.046826e-22
20.43884,5.988451e-22
20.91766,5.92493e-22
21.40769,5.857186e-22
21.90921,5.786004e-22
22.42247,5.712056e-22
22.94776,5.635912e-22
23.48535,5.558064e-22
24.03554,5.478928e-22
24.59862,5.398862e-22
25.17488,5.318173e-22
25.76465,5.237123e-22
26.36824,5.155937e-22
26.98596,5.074807e-22
27.61816,4.993898e-22
28.26516,4.91335e-22
28.92733,4.833282e-22
29.605,4.753798e-22
30.29856,4.674983e-22
31.00836,4.59691e-22
31.73479,4.519642e-22
32.47823,4.443229e-22
33.23909,4.367715e-22
34.01778,4.293133e-22
34.81471,4.219514e-22
35.63031,4.146879e-22
36.46502,4.075247e-22
37.31928,4.00463e-22
38.19355,3.935038e-22
39.08831,3.866478e-22
40.00402,3.798952e-22
40.94119,3.732462e-22
41.90031,3.667006e-22
42.88191,3.602582e-22
43.88649,3.539183e-22
44.91462,3.476805e-22
45.96683,3.415439e-22
47.04368,3.355077e-22
48.14577,3.29571e-22
49.27367,3.237328e-22
50.428,3.179919e-22
51.60937,3.123473e-22
52.81841,3.067977e-22
54.05578,3.01342e-22
55.32214,2.959789e-22
56.61816,2.907072e-22
57.94455,2.855256e-22
59.30201,2.804327e-22
60.69127,2.754274e-22
62.11307,2.705082e-22
63.56819,2.656738e-22
65.05739,2.60923e-22
66.58148,2.562544e-22
68.14127,2.516668e-22
69.73761,2.471588e-22
71.37134,2.427292e-22
73.04335,2.383767e-22
74.75452,2.340999e-22
76.50579,2.298978e-22
78.29808,2.25769e-22
80.13235,2.217123e-22
82.0096,2.177265e-22
83.93083,2.138104e-22
85.89706,2.099628e-22
87.90936,2.061826e-22
89.9688,2.024687e-22
92.07649,1.988198e-22
94.23355,1.952349e-22
96.44115,1.91713e-22
98.70046,1.882528e-22
101.0127,1.848534e-22
103.3791,1.815137e-22
105.801,1.782327e-22
108.2795,1.750094e-22
110.8162,1.718427e-22
113.4123,1.687318e-22
116.0692,1.656756e-22
118.7883,1.626732e-22
121.5711,1.597237e-22
124.4192,1.568261e-22
127.3339,1.539796e-22
130.3169,1.511832e-22
133.3699,1.484362e-22
136.4943,1.457376e-22
139.6919,1.430867e-22
142.9645,1.404825e-22
146.3137,1.379243e-22
149.7413,1.354114e-22
153.2493,1.329428e-22
156.8395,1.305178e-22
160.5137,1.281358e-22
164.274,1.257959e-22
168.1225,1.234974e-22
172.0611,1.212396e-22
176.0919,1.190218e-22
180.2172,1.168433e-22
184.4391,1.147034e-22
188.7599,1.126015e-22
193.182,1.105369e-22
197.7076,1.08509e-22
202.3393,1.06517e-22
207.0795,1.045605e-22
211.9307,1.026388e-22
216.8956,1.007512e-22
221.9767,9.889726e-23
227.177,9.707633e-23
232.499,9.528783e-23
237.9457,9.353123e-23
243.52,9.180595e-23
249.2249,9.011147e-23
255.0635,8.844725e-23
261.0388,8.681276e-23
267.1542,8.520749e-23
273.4127,8.363094e-23
279.8179,8.208261e-23
286.3732,8.056201e-23
293.082,7.906866e-23
299.948,7.760209e-23
306.9748,7.616183e-23
314.1663,7.474743e-23
321.5262,7.335844e-23
329.0586,7.199442e-23
336.7674,7.065494e-23
344.6568,6.933957e-23
352.731,6.80479e-23
360.9944,6.67795e-23
369.4513,6.553398e-23
378.1064,6.431094e-23
386.9643,6.310999e-23
396.0296,6.193075e-23
405.3073,6.077283e-23
414.8024,5.963587e-23
424.5199,5.851949e-23
434.4651,5.742335e-23
444.6433,5.634709e-23
455.0598,5.529036e-23
465.7205,5.425282e-23
476.6308,5.323414e-23
487.7968,5.223398e-23
499.2243,5.125203e-23
510.9196,5.028796e-23
522.8888,4.934146e-23
535.1385,4.841223e-23
547.6751,4.749995e-23
560.5054,4.660434e-23
573.6363,4.57251e-23
587.0748,4.486194e-23
600.8281,4.401459e-23
614.9036,4.318275e-23
629.3088,4.236617e-23
644.0516,4.156456e-23
659.1397,4.077767e-23
674.5812,4.000524e-23
690.3846,3.924701e-23
706.5581,3.850274e-23
723.1105,3.777216e-23
740.0507,3.705505e-23
757.3878,3.635117e-23
775.131,3.566027e-23
793.2899,3.498213e-23
811.8742,3.431652e-23
830.8938,3.366323e-23
850.3591,3.302202e-23
870.2803,3.23927e-23
890.6682,3.177503e-23
911.5338,3.116883e-23
932.8881,3.057388e-23
954.7428,2.998998e-23
977.1094,2.941693e-23
1000.0,2.885455e-23
