# Elastic rate (iaa)
Te_eV,Kel_m3s
0.500,2.251835e-14
0.550,2.476332e-14
0.600,2.688867e-14
0.650,2.890624e-14
0.700,3.082744e-14
0.750,3.266259e-14
0.800,3.442078e-14
0.850,3.611013e-14
0.900,3.773786e-14
0.950,3.931052e-14
1.000,4.083402e-14
1.050,4.231369e-14
1.100,4.375436e-14
1.150,4.516035e-14
1.200,4.653549e-14
1.250,4.788317e-14
1.300,4.920634e-14
1.350,5.050759e-14
1.400,5.178912e-14
1.450,5.305285e-14
1.500,5.430039e-14
1.550,5.553314e-14
1.600,5.675228e-14
1.650,5.795880e-14
1.700,5.915356e-14
1.750,6.033727e-14
1.800,6.151057e-14
1.850,6.267397e-14
1.900,6.382795e-14
1.950,6.497289e-14
2.000,6.610916e-14
2.050,6.723703e-14
2.100,6.835680e-14
2.150,6.946869e-14
2.200,7.057292e-14
2.250,7.166966e-14
2.300,7.275910e-14
2.350,7.384138e-14
2.400,7.491663e-14
2.450,7.598498e-14
2.500,7.704654e-14
2.550,7.810139e-14
2.600,7.914964e-14
2.650,8.019135e-14
2.700,8.122660e-14
2.750,8.225545e-14
2.800,8.327796e-14
2.850,8.429418e-14
2.900,8.530414e-14
2.950,8.630791e-14
3.000,8.730550e-14
3.050,8.829696e-14
3.100,8.928232e-14
3.150,9.026160e-14
3.200,9.123485e-14
3.250,9.220207e-14
3.300,9.316330e-14
3.350,9.411856e-14
3.400,9.506788e-14
3.450,9.601129e-14
3.500,9.694880e-14
3.550,9.788044e-14
3.600,9.880625e-14
3.650,9.972624e-14
3.700,1.006404e-13
3.750,1.015489e-13
3.800,1.024516e-13
3.850,1.033486e-13
3.900,1.042400e-13
3.950,1.051257e-13
4.000,1.060058e-13
4.050,1.068804e-13
4.100,1.077494e-13
4.150,1.086129e-13
4.200,1.094710e-13
4.250,1.103236e-13
4.300,1.111709e-13
4.350,1.120129e-13
4.400,1.128495e-13
4.450,1.136809e-13
4.500,1.145071e-13
4.550,1.153281e-13
4.600,1.161439e-13
4.650,1.169547e-13
4.700,1.177605e-13
4.750,1.185612e-13
4.800,1.193570e-13
4.850,1.201479e-13
4.900,1.209339e-13
4.950,1.217151e-13
5.000,1.224916e-13
5.050,1.232633e-13
5.100,1.240303e-13
5.150,1.247926e-13
5.200,1.255504e-13
5.250,1.263036e-13
5.300,1.270524e-13
5.350,1.277966e-13
5.400,1.285364e-13
5.450,1.292719e-13
5.500,1.300030e-13
5.550,1.307298e-13
5.600,1.314523e-13
5.650,1.321707e-13
5.700,1.328848e-13
5.750,1.335949e-13
5.800,1.343008e-13
5.850,1.350027e-13
5.900,1.357006e-13
5.950,1.363944e-13
6.000,1.370844e-13
6.050,1.377704e-13
6.100,1.384526e-13
6.150,1.391310e-13
6.200,1.398055e-13
6.250,1.404763e-13
6.300,1.411434e-13
6.350,1.418068e-13
6.400,1.424665e-13
6.450,1.431226e-13
6.500,1.437751e-13
6.550,1.444240e-13
6.600,1.450694e-13
6.650,1.457113e-13
6.700,1.463498e-13
6.750,1.469848e-13
6.800,1.476164e-13
6.850,1.482446e-13
6.900,1.488695e-13
6.950,1.494910e-13
7.000,1.501093e-13
7.050,1.507243e-13
7.100,1.513360e-13
7.150,1.519445e-13
7.200,1.525499e-13
7.250,1.531521e-13
7.300,1.537511e-13
7.350,1.543470e-13
7.400,1.549399e-13
7.450,1.555296e-13
7.500,1.561164e-13
7.550,1.567001e-13
7.600,1.572808e-13
7.650,1.578586e-13
7.700,1.584334e-13
7.750,1.590052e-13
7.800,1.595742e-13
7.850,1.601403e-13
7.900,1.607035e-13
7.950,1.612639e-13
8.000,1.618214e-13
8.050,1.623762e-13
8.100,1.629281e-13
8.150,1.634774e-13
8.200,1.640238e-13
8.250,1.645676e-13
8.300,1.651086e-13
8.350,1.656469e-13
8.400,1.661826e-13
8.450,1.667157e-13
8.500,1.672461e-13
8.550,1.677738e-13
8.600,1.682990e-13
8.650,1.688216e-13
8.700,1.693417e-13
8.750,1.698592e-13
8.800,1.703742e-13
8.850,1.708866e-13
8.900,1.713966e-13
8.950,1.719041e-13
9.000,1.724091e-13
9.050,1.729117e-13
9.100,1.734119e-13
9.150,1.739096e-13
9.200,1.744050e-13
9.250,1.748979e-13
9.300,1.753885e-13
9.350,1.758767e-13
9.400,1.763626e-13
9.450,1.768462e-13
9.500,1.773275e-13
9.550,1.778064e-13
9.600,1.782831e-13
9.650,1.787575e-13
9.700,1.792297e-13
9.750,1.796996e-13
9.800,1.801673e-13
9.850,1.806328e-13
9.900,1.810960e-13
9.950,1.815571e-13
10.000,1.820161e-13
10.050,1.824728e-13
10.100,1.829275e-13
10.150,1.833799e-13
10.200,1.838303e-13
10.250,1.842786e-13
10.300,1.847247e-13
10.350,1.851688e-13
10.400,1.856108e-13
10.450,1.860508e-13
10.500,1.864887e-13
10.550,1.869246e-13
10.600,1.873585e-13
10.650,1.877903e-13
10.700,1.882202e-13
10.750,1.886480e-13
10.800,1.890739e-13
10.850,1.894979e-13
10.900,1.899199e-13
10.950,1.903399e-13
11.000,1.907580e-13
11.050,1.911742e-13
11.100,1.915885e-13
11.150,1.920009e-13
11.200,1.924115e-13
11.250,1.928201e-13
11.300,1.932269e-13
11.350,1.936319e-13
11.400,1.940350e-13
11.450,1.944362e-13
11.500,1.948357e-13
11.550,1.952333e-13
11.600,1.956292e-13
11.650,1.960233e-13
11.700,1.964156e-13
11.750,1.968061e-13
11.800,1.971949e-13
11.850,1.975819e-13
11.900,1.979672e-13
11.950,1.983507e-13
12.000,1.987326e-13
12.050,1.991127e-13
12.100,1.994912e-13
12.150,1.998679e-13
12.200,2.002430e-13
12.250,2.006164e-13
12.300,2.009882e-13
12.350,2.013583e-13
12.400,2.017268e-13
12.450,2.020936e-13
12.500,2.024589e-13
12.550,2.028225e-13
12.600,2.031845e-13
12.650,2.035449e-13
12.700,2.039037e-13
12.750,2.042610e-13
12.800,2.046167e-13
12.850,2.049708e-13
12.900,2.053234e-13
12.950,2.056745e-13
13.000,2.060240e-13
13.050,2.063720e-13
13.100,2.067185e-13
13.150,2.070635e-13
