# Ionisation rate (iaa)
Te_eV,Kiz_m3s
0.500,3.252576e-26
0.550,3.175195e-25
0.600,2.135906e-24
0.650,1.078396e-23
0.700,4.344044e-23
0.750,1.460186e-22
0.800,4.235906e-22
0.850,1.088194e-21
0.900,2.525863e-21
0.950,5.382091e-21
1.000,1.066237e-20
1.050,1.984244e-20
1.100,3.498200e-20
1.150,5.883513e-20
1.200,9.495198e-20
1.250,1.477666e-19
1.300,2.226681e-19
1.350,3.260527e-19
1.400,4.653565e-19
1.450,6.490694e-19
1.500,8.867309e-19
1.550,1.188910e-18
1.600,1.567171e-18
1.650,2.034029e-18
1.700,2.602894e-18
1.750,3.288005e-18
1.800,4.104370e-18
1.850,5.067685e-18
1.900,6.194267e-18
1.950,7.500977e-18
2.000,9.005145e-18
2.050,1.072450e-17
2.100,1.267708e-17
2.150,1.488121e-17
2.200,1.735538e-17
2.250,2.011821e-17
2.300,2.318839e-17
2.350,2.658462e-17
2.400,3.032558e-17
2.450,3.442981e-17
2.500,3.891576e-17
2.550,4.380169e-17
2.600,4.910563e-17
2.650,5.484538e-17
2.700,6.103844e-17
2.750,6.770200e-17
2.800,7.485292e-17
2.850,8.250769e-17
2.900,9.068243e-17
2.950,9.939286e-17
3.000,1.086543e-16
3.050,1.184815e-16
3.100,1.288890e-16
3.150,1.398908e-16
3.200,1.515003e-16
3.250,1.637307e-16
3.300,1.765945e-16
3.350,1.901038e-16
3.400,2.042703e-16
3.450,2.191051e-16
3.500,2.346190e-16
3.550,2.508221e-16
3.600,2.677243e-16
3.650,2.853347e-16
3.700,3.036623e-16
3.750,3.227153e-16
3.800,3.425018e-16
3.850,3.630292e-16
3.900,3.843045e-16
3.950,4.063343e-16
4.000,4.291248e-16
4.050,4.526818e-16
4.100,4.770106e-16
4.150,5.021162e-16
4.200,5.280032e-16
4.250,5.546757e-16
4.300,5.821374e-16
4.350,6.103920e-16
4.400,6.394424e-16
4.450,6.692914e-16
4.500,6.999415e-16
4.550,7.313945e-16
4.600,7.636524e-16
4.650,7.967166e-16
4.700,8.305882e-16
4.750,8.652680e-16
4.800,9.007567e-16
4.850,9.370545e-16
4.900,9.741614e-16
4.950,1.012077e-15
5.000,1.050802e-15
5.050,1.090334e-15
5.100,1.130672e-15
5.150,1.171817e-15
5.200,1.213765e-15
5.250,1.256516e-15
5.300,1.300068e-15
5.350,1.344419e-15
5.400,1.389566e-15
5.450,1.435508e-15
5.500,1.482241e-15
5.550,1.529764e-15
5.600,1.578072e-15
5.650,1.627164e-15
5.700,1.677036e-15
5.750,1.727685e-15
5.800,1.779107e-15
5.850,1.831298e-15
5.900,1.884256e-15
5.950,1.937976e-15
6.000,1.992455e-15
6.050,2.047688e-15
6.100,2.103671e-15
6.150,2.160401e-15
6.200,2.217872e-15
6.250,2.276081e-15
6.300,2.335023e-15
6.350,2.394693e-15
6.400,2.455087e-15
6.450,2.516201e-15
6.500,2.578029e-15
6.550,2.640567e-15
6.600,2.703809e-15
6.650,2.767752e-15
6.700,2.832389e-15
6.750,2.897717e-15
6.800,2.963729e-15
6.850,3.030421e-15
6.900,3.097789e-15
6.950,3.165825e-15
7.000,3.234526e-15
7.050,3.303887e-15
7.100,3.373901e-15
7.150,3.444564e-15
7.200,3.515871e-15
7.250,3.587815e-15
7.300,3.660393e-15
7.350,3.733598e-15
7.400,3.807425e-15
7.450,3.881869e-15
7.500,3.956924e-15
7.550,4.032586e-15
7.600,4.108848e-15
7.650,4.185706e-15
7.700,4.263154e-15
7.750,4.341186e-15
7.800,4.419798e-15
7.850,4.498984e-15
7.900,4.578738e-15
7.950,4.659056e-15
8.000,4.739931e-15
8.050,4.821360e-15
8.100,4.903335e-15
8.150,4.985853e-15
8.200,5.068907e-15
8.250,5.152492e-15
8.300,5.236604e-15
8.350,5.321237e-15
8.400,5.406386e-15
8.450,5.492045e-15
8.500,5.578209e-15
8.550,5.664874e-15
8.600,5.752034e-15
8.650,5.839684e-15
8.700,5.927818e-15
8.750,6.016432e-15
8.800,6.105521e-15
8.850,6.195080e-15
8.900,6.285104e-15
8.950,6.375587e-15
9.000,6.466525e-15
9.050,6.557912e-15
9.100,6.649745e-15
9.150,6.742018e-15
9.200,6.834726e-15
9.250,6.927864e-15
9.300,7.021428e-15
9.350,7.115413e-15
9.400,7.209814e-15
9.450,7.304626e-15
9.500,7.399846e-15
9.550,7.495467e-15
9.600,7.591486e-15
9.650,7.687897e-15
9.700,7.784698e-15
9.750,7.881882e-15
9.800,7.979445e-15
9.850,8.077383e-15
9.900,8.175692e-15
9.950,8.274366e-15
10.000,8.373403e-15
10.050,8.472797e-15
10.100,8.572544e-15
10.150,8.672639e-15
10.200,8.773079e-15
10.250,8.873860e-15
10.300,8.974977e-15
10.350,9.076425e-15
10.400,9.178202e-15
10.450,9.280302e-15
10.500,9.382722e-15
10.550,9.485458e-15
10.600,9.588506e-15
10.650,9.691861e-15
10.700,9.795520e-15
10.750,9.899479e-15
10.800,1.000373e-14
10.850,1.010828e-14
10.900,1.021312e-14
10.950,1.031824e-14
11.000,1.042364e-14
11.050,1.052932e-14
11.100,1.063527e-14
11.150,1.074149e-14
11.200,1.084798e-14
11.250,1.095473e-14
11.300,1.106174e-14
11.350,1.116901e-14
11.400,1.127652e-14
11.450,1.138429e-14
11.500,1.149230e-14
11.550,1.160055e-14
11.600,1.170904e-14
11.650,1.181777e-14
11.700,1.192673e-14
11.750,1.203591e-14
11.800,1.214532e-14
11.850,1.225496e-14
11.900,1.236481e-14
11.950,1.247488e-14
12.000,1.258516e-14
12.050,1.269564e-14
12.100,1.280634e-14
12.150,1.291724e-14
12.200,1.302833e-14
12.250,1.313963e-14
12.300,1.325112e-14
12.350,1.336279e-14
12.400,1.347466e-14
12.450,1.358671e-14
12.500,1.369895e-14
12.550,1.381136e-14
12.600,1.392395e-14
12.650,1.403672e-14
12.700,1.414965e-14
12.750,1.426275e-14
12.800,1.437602e-14
12.850,1.448945e-14
12.900,1.460305e-14
12.950,1.471679e-14
13.000,1.483070e-14
13.050,1.494475e-14
13.100,1.505896e-14
13.150,1.517331e-14
13.200,1.528781e-14
13.250,1.540245e-14
13.300,1.551722e-14
13.350,1.563214e-14
13.400,1.574719e-14
13.450,1.586237e-14
13.500,1.597768e-14
13.550,1.609312e-14
13.600,1.620869e-14
13.650,1.632437e-14
13.700,1.644018e-14
13.750,1.655611e-14
13.800,1.667215e-14
13.850,1.678830e-14
13.900,1.690457e-14
13.950,1.702094e-14
14.000,1.713742e-14
14.050,1.725401e-14
14.100,1.737070e-14
14.150,1.748749e-14
14.200,1.760438e-14
14.250,1.772136e-14
14.300,1.783844e-14
14.350,1.795562e-14
14.400,1.807288e-14
14.450,1.819023e-14
14.500,1.830766e-14
14.550,1.842519e-14
14.600,1.854279e-14
14.650,1.866047e-14
14.700,1.877823e-14
14.750,1.889607e-14
14.800,1.901399e-14
14.850,1.913197e-14
14.900,1.925003e-14
