# E + O2 -> E + O(3P)+O(1D), Excitation
# Source: LXCat, IST-Lisbon database
# Target: O2 -> O(3P)+O(1D)
# Threshold: 8.4 eV
# Comment: University of Colorado, Boulder, Colorado, USA; adjusted.
# Updated: 2017-12-31 18:01:39
# Data points: 322
energy_eV,cross_section_m2
8.4,0.0
8.5,5.53e-22
8.6,1.105e-21
8.7,2.177e-21
8.8,3.25e-21
8.9,4.25e-21
9.0,5.25e-21
9.1,6.825e-21
9.2,8.4e-21
9.3,9.2e-21
9.4,1e-20
9.5,1.005e-20
9.6,1.01e-20
9.7,1.0125e-20
9.8,1.015e-20
9.9,1.0187e-20
10.0,1.0225e-20
10.1,1.0257e-20
10.2,1.029e-20
10.3,1.032e-20
10.4,1.035e-20
10.5,1.0385e-20
10.6,1.042e-20
10.7,1.0463e-20
10.8,1.0505e-20
10.9,1.0522e-20
11.0,1.054e-20
11.1,1.0558e-20
11.2,1.0575e-20
11.3,1.0593e-20
11.4,1.061e-20
11.5,1.0633e-20
11.6,1.0655e-20
11.7,1.0677e-20
11.8,1.07e-20
11.9,1.0715e-20
12.0,1.073e-20
12.1,1.0753e-20
12.2,1.0775e-20
12.3,1.08e-20
12.4,1.0825e-20
12.5,1.087e-20
12.6,1.0915e-20
12.7,1.094e-20
12.8,1.0965e-20
12.9,1.0985e-20
13.0,1.1005e-20
13.1,1.1035e-20
13.2,1.1065e-20
13.3,1.1082e-20
13.4,1.11e-20
13.5,1.1118e-20
13.6,1.1135e-20
13.7,1.1155e-20
13.8,1.1175e-20
13.9,1.1193e-20
14.0,1.121e-20
14.1,1.1225e-20
14.2,1.124e-20
14.3,1.1255e-20
14.4,1.127e-20
14.5,1.129e-20
14.6,1.131e-20
14.7,1.132e-20
14.8,1.133e-20
14.9,1.1338e-20
15.0,1.1345e-20
15.1,1.1355e-20
15.2,1.1365e-20
15.3,1.1374e-20
15.4,1.1383e-20
15.5,1.1389e-20
15.6,1.1394e-20
15.7,1.14e-20
15.8,1.1405e-20
15.9,1.1416e-20
16.0,1.1426e-20
16.1,1.1437e-20
16.2,1.1447e-20
16.3,1.1452e-20
16.4,1.1458e-20
16.5,1.1463e-20
16.6,1.1469e-20
16.7,1.1473e-20
16.8,1.1478e-20
16.9,1.1482e-20
17.0,1.1486e-20
17.1,1.1489e-20
17.2,1.1492e-20
17.3,1.1495e-20
17.4,1.1498e-20
17.5,1.1501e-20
17.6,1.1504e-20
17.7,1.1507e-20
17.8,1.151e-20
17.9,1.1511e-20
18.0,1.1513e-20
18.1,1.1515e-20
18.2,1.1516e-20
18.3,1.1517e-20
18.4,1.1518e-20
18.5,1.1519e-20
18.6,1.152e-20
18.7,1.1521e-20
18.8,1.1522e-20
18.9,1.1522e-20
19.0,1.1523e-20
19.1,1.1524e-20
19.2,1.1525e-20
19.3,1.1526e-20
19.4,1.1526e-20
19.5,1.1527e-20
19.6,1.1528e-20
19.7,1.1528e-20
19.8,1.1529e-20
19.9,1.153e-20
20.0,1.1531e-20
20.1,1.1534e-20
20.2,1.1537e-20
20.3,1.1539e-20
20.4,1.1542e-20
20.5,1.1545e-20
20.6,1.1552e-20
20.7,1.1559e-20
20.8,1.1566e-20
20.9,1.1573e-20
21.0,1.158e-20
21.1,1.1584e-20
21.2,1.1588e-20
21.3,1.1592e-20
21.4,1.1596e-20
21.5,1.16e-20
21.6,1.1606e-20
