# E + O2 -> E + O2(v=0 - v=2), Excitation
# Source: LXCat, IST-Lisbon database
# Target: O2 -> O2(v=0 - v=2)
# Threshold: 0.38 eV
# Comment: Phelps at resonance and extrapolated up to 1keV).
# Updated: 2018-02-22 15:33:30
# Data points: 399
energy_eV,cross_section_m2
0.38,0.0
0.56,0.0
0.57,1.4e-21
0.59,0.0
0.68,0.0
0.69,4.15e-21
0.71,0.0
0.79,0.0
0.8,5.35e-21
0.82,0.0
0.9,0.0
0.91,4.65e-21
0.93,0.0
1.02,0.0
1.03,3.15e-21
1.05,0.0
1.13,0.0
1.14,2e-21
1.16,0.0
1.23,0.0
1.24,9.5e-22
1.26,0.0
1.34,0.0
1.35,4e-22
1.37,0.0
1.44,0.0
1.45,1.85e-22
1.47,0.0
1.54,0.0
1.55,8.5e-23
1.57,0.0
1.63,0.0
1.65,3.4e-23
1.67,0.0
4.0,0.0
4.1,1.2e-23
4.2,2e-23
4.3,3e-23
4.4,5.4e-23
4.5,1.03e-22
4.6,1.35e-22
4.7,1.6e-22
4.8,2e-22
4.9,2.35e-22
5.0,2.8e-22
5.1,2.95e-22
5.2,3.05e-22
5.3,3.2e-22
5.4,3.3e-22
5.5,3.41e-22
5.6,3.55e-22
5.7,3.67e-22
5.8,3.74e-22
5.9,3.85e-22
6.0,4e-22
6.1,4.3e-22
6.2,4.55e-22
6.3,4.84e-22
6.4,5.2e-22
6.5,5.65e-22
6.6,5.95e-22
6.7,6.4e-22
6.8,6.7e-22
6.9,7e-22
7.0,7.3e-22
7.1,7.6e-22
7.2,7.9e-22
7.3,8.1e-22
7.4,8.25e-22
7.5,8.45e-22
7.6,8.6e-22
7.7,8.8e-22
7.8,9e-22
7.9,9.15e-22
8.0,9.4e-22
8.1,9.6e-22
8.2,9.8e-22
8.3,1e-21
8.4,1.015e-21
8.5,1.03e-21
8.6,1.05e-21
8.7,1.06e-21
8.8,1.075e-21
8.9,1.085e-21
9.0,1.1e-21
9.1,1.11e-21
9.2,1.115e-21
9.3,1.115e-21
9.4,1.11e-21
9.5,1.106e-21
9.6,1.102e-21
9.7,1.098e-21
9.8,1.096e-21
9.9,1.095e-21
10.0,1.09e-21
10.1,1.073e-21
10.2,1.056e-21
10.3,1.039e-21
10.4,1.022e-21
10.5,1.005e-21
10.6,9.9e-22
10.7,9.75e-22
10.8,9.6e-22
10.9,9.45e-22
11.0,9.3e-22
11.1,9.12e-22
11.2,8.94e-22
11.3,8.76e-22
11.4,8.58e-22
11.5,8.4e-22
11.6,8.18e-22
11.7,7.96e-22
11.8,7.74e-22
11.9,7.52e-22
12.0,7.3e-22
12.1,7.06e-22
12.2,6.82e-22
12.3,6.58e-22
12.4,6.34e-22
12.5,6.1e-22
12.6,5.9e-22
12.7,5.7e-22
12.8,5.5e-22
12.9,5.3e-22
13.0,5.1e-22
13.1,4.89e-22
13.2,4.68e-22
13.3,4.47e-22
13.4,4.26e-22
13.5,4.05e-22
13.6,3.8e-22
13.7,3.55e-22
13.8,3.3e-22
13.9,3.05e-22
14.0,2.8e-22
14.1,2.63e-22
14.2,2.46e-22
14.3,2.29e-22
14.4,2.12e-22
14.5,1.95e-22
14.6,1.82e-22
14.7,1.69e-22
14.8,1.56e-22
14.9,1.43e-22
15.0,1.3e-22
15.1,1.26e-22
15.2,1.21e-22
15.3,1.17e-22
15.4,1.12e-22
15.5,1.08e-22
15.6,1.05e-22
15.7,1.03e-22
15.8,1e-22
15.9,9.8e-23
16.0,9.5e-23
16.1,9.3e-23
16.2,9.1e-23
16.3,9e-23
16.4,8.8e-23
16.5,8.6e-23
16.6,8.5e-23
16.7,8.3e-23
16.8,8.2e-23
16.9,8e-23
17.0,7.9e-23
17.1,7.8e-23
17.2,7.6e-23
17.3,7.5e-23
17.4,7.3e-23
17.5,7.2e-23
17.6,7.1e-23
17.7,7e-23
17.8,6.8e-23
17.9,6.7e-23
18.0,6.6e-23
18.1,6.5e-23
18.2,6.4e-23
18.3,6.3e-23
18.4,6.2e-23
18.5,6.1e-23
18.6,6e-23
18.7,5.9e-23
18.8,5.9e-23
18.9,5.8e-23
19.0,5.7e-23
19.1,5.6e-23
19.2,5.5e-23
19.3,5.5e-23
19.4,5.4e-23
19.5,5.3e-23
19.6,5.2e-23
19.7,5.2e-23
19.8,5.1e-23
19.9,5.1e-23
20.0,5e-23
20.1,4.9e-23
20.2,4.9e-23
20.3,4.8e-23
20.4,4.8e-23
20.5,4.7e-23
20.6,4.7e-23
20.7,4.6e-23
20.8,4.6e-23
20.9,4.5e-23
21.0,4.5e-23
21.1,4.5e-23
21.2,4.4e-23
21.3,4.4e-23
21.4,4.3e-23
21.5,4.3e-23
21.6,4.3e-23
21.7,4.2e-23
21.8,4.2e-23
21.9,4.1e-23
22.0,4.1e-23
22.1,4.1e-23
22.2,4.1e-23
22.3,4e-23
22.4,4e-23
22.5,4e-23
22.6,4e-23
22.7,3.9e-23
22.8,3.9e-23
22.9,3.8e-23
23.0,3.8e-23
23.1,3.8e-23
23.2,3.7e-23
23.3,3.7e-23
23.4,3.6e-23
23.5,3.6e-23
23.6,3.6e-23
23.7,3.6e-23
23.8,3.5e-23
23.9,3.5e-23
24.0,3.5e-23
24.1,3.5e-23
24.2,3.4e-23
24.3,3.4e-23
24.4,3.3e-23
24.5,3.3e-23
24.6,3.3e-23
24.7,3.3e-23
24.8,3.2e-23
24.9,3.2e-23
25.0,3.2e-23
25.1,3.2e-23
25.2,3.2e-23
25.3,3.1e-23
25.4,3.1e-23
25.5,3.1e-23
25.6,3.1e-23
25.7,3.1e-23
25.8,3e-23
25.9,3e-23
26.0,3e-23
26.1,3e-23
26.2,3e-23
26.3,2.9e-23
26.4,2.9e-23
26.5,2.9e-23
26.6,2.9e-23
26.7,2.9e-23
26.8,2.8e-23
26.9,2.8e-23
27.0,2.8e-23
27.1,2.8e-23
27.2,2.8e-23
27.3,2.7e-23
27.4,2.7e-23
27.5,2.7e-23
27.6,2.7e-23
27.7,2.7e-23
27.8,2.6e-23
27.9,2.6e-23
28.0,2.6e-23
28.1,2.6e-23
28.2,2.6e-23
28.3,2.5e-23
28.4,2.5e-23
28.5,2.5e-23
28.6,2.5e-23
28.7,2.5e-23
28.8,2.4e-23
28.9,2.4e-23
29.0,2.4e-23
29.1,2.4e-23
29.2,2.4e-23
29.3,2.4e-23
29.4,2.4e-23
29.5,2.4e-23
29.6,2.4e-23
29.7,2.4e-23
29.8,2.3e-23
29.9,2.3e-23
30.0,2.3e-23
30.1,2.3e-23
30.2,2.3e-23
30.3,2.2e-23
30.4,2.2e-23
30.5,2.2e-23
30.6,2.2e-23
30.7,2.2e-23
30.8,2.1e-23
30.9,2.1e-23
31.0,2.1e-23
31.1,2.1e-23
31.2,2.1e-23
31.3,2.1e-23
31.4,2.1e-23
31.5,2.1e-23
31.6,2.1e-23
31.7,2.1e-23
31.8,2e-23
31.9,2e-23
32.0,2e-23
32.1,2e-23
32.2,2e-23
32.3,2e-23
32.4,2e-23
32.5,2e-23
32.6,2e-23
32.7,2e-23
32.8,1.9e-23
32.9,1.9e-23
33.0,1.9e-23
33.1,1.9e-23
33.2,1.9e-23
33.3,1.8e-23
33.4,1.8e-23
33.5,1.8e-23
33.6,1.8e-23
33.7,1.8e-23
33.8,1.8e-23
33.9,1.8e-23
34.0,1.8e-23
34.1,1.8e-23
34.2,1.8e-23
34.3,1.7e-23
34.4,1.7e-23
34.5,1.7e-23
34.6,1.7e-23
34.7,1.7e-23
34.8,1.7e-23
34.9,1.7e-23
35.0,1.7e-23
35.1,1.7e-23
35.2,1.7e-23
35.3,1.6e-23
35.4,1.6e-23
35.5,1.6e-23
35.6,1.6e-23
35.7,1.6e-23
35.8,1.6e-23
35.9,1.6e-23
36.0,1.6e-23
36.1,1.6e-23
36.2,1.6e-23
36.3,1.5e-23
36.4,1.5e-23
36.5,1.5e-23
36.6,1.5e-23
36.7,1.5e-23
36.8,1.5e-23
36.9,1.5e-23
37.0,1.5e-23
37.1,1.5e-23
37.2,1.5e-23
37.3,1.5e-23
37.4,1.5e-23
37.5,1.5e-23
37.6,1.5e-23
37.7,1.5e-23
37.8,1.4e-23
37.9,1.4e-23
38.0,1.4e-23
38.1,1.4e-23
38.2,1.4e-23
38.3,1.4e-23
38.4,1.4e-23
38.5,1.4e-23
38.6,1.4e-23
38.7,1.4e-23
38.8,1.4e-23
38.9,1.4e-23
39.0,1.4e-23
39.1,1.4e-23
39.2,1.4e-23
39.3,1.3e-23
39.4,1.3e-23
39.5,1.3e-23
39.6,1.3e-23
39.7,1.3e-23
39.8,1.3e-23
39.9,1.3e-23
40.0,1.3e-23
100.0,1.7e-24
200.0,5e-25
500.0,1.3e-25
1000.0,5e-26
