# Ionisation rate (itikawa)
Te_eV,Kiz_m3s
0.500,2.719341e-26
0.550,2.609834e-25
0.600,1.727397e-24
0.650,8.610245e-24
0.700,3.439141e-23
0.750,1.151352e-22
0.800,3.339866e-22
0.850,8.608384e-22
0.900,2.009962e-21
0.950,4.316351e-21
1.000,8.629028e-21
1.050,1.621720e-20
1.100,2.888338e-20
1.150,4.907663e-20
1.200,7.999934e-20
1.250,1.257015e-19
1.300,1.911582e-19
1.350,2.823270e-19
1.400,4.061843e-19
1.450,5.707407e-19
1.500,7.850364e-19
1.550,1.059119e-18
1.600,1.404004e-18
1.650,1.831627e-18
1.700,2.354781e-18
1.750,2.987051e-18
1.800,3.742738e-18
1.850,4.636787e-18
1.900,5.684706e-18
1.950,6.902495e-18
2.000,8.306565e-18
2.050,9.913671e-18
2.100,1.174084e-17
2.150,1.380530e-17
2.200,1.612442e-17
2.250,1.871567e-17
2.300,2.159652e-17
2.350,2.478446e-17
2.400,2.829687e-17
2.450,3.215105e-17
2.500,3.636414e-17
2.550,4.095310e-17
2.600,4.593467e-17
2.650,5.132534e-17
2.700,5.714133e-17
2.750,6.339859e-17
2.800,7.011271e-17
2.850,7.729900e-17
2.900,8.497237e-17
2.950,9.314740e-17
3.000,1.018383e-16
3.050,1.110588e-16
3.100,1.208225e-16
3.150,1.311422e-16
3.200,1.420307e-16
3.250,1.535002e-16
3.300,1.655623e-16
3.350,1.782286e-16
3.400,1.915100e-16
3.450,2.054170e-16
3.500,2.199598e-16
3.550,2.351481e-16
3.600,2.509913e-16
3.650,2.674982e-16
3.700,2.846775e-16
3.750,3.025371e-16
3.800,3.210849e-16
3.850,3.403282e-16
3.900,3.602740e-16
3.950,3.809288e-16
4.000,4.022989e-16
4.050,4.243901e-16
4.100,4.472079e-16
4.150,4.707575e-16
4.200,4.950437e-16
4.250,5.200709e-16
4.300,5.458433e-16
4.350,5.723647e-16
4.400,5.996386e-16
4.450,6.276682e-16
4.500,6.564564e-16
4.550,6.860058e-16
4.600,7.163188e-16
4.650,7.473974e-16
4.700,7.792432e-16
4.750,8.118580e-16
4.800,8.452429e-16
4.850,8.793989e-16
4.900,9.143268e-16
4.950,9.500271e-16
5.000,9.865001e-16
5.050,1.023746e-15
5.100,1.061764e-15
5.150,1.100555e-15
5.200,1.140118e-15
5.250,1.180452e-15
5.300,1.221555e-15
5.350,1.263428e-15
5.400,1.306069e-15
5.450,1.349476e-15
5.500,1.393647e-15
5.550,1.438582e-15
5.600,1.484277e-15
5.650,1.530732e-15
5.700,1.577943e-15
5.750,1.625908e-15
5.800,1.674626e-15
5.850,1.724092e-15
5.900,1.774305e-15
5.950,1.825262e-15
6.000,1.876960e-15
6.050,1.929395e-15
6.100,1.982565e-15
6.150,2.036466e-15
6.200,2.091095e-15
6.250,2.146449e-15
6.300,2.202523e-15
6.350,2.259315e-15
6.400,2.316820e-15
6.450,2.375035e-15
6.500,2.433956e-15
6.550,2.493579e-15
6.600,2.553901e-15
6.650,2.614916e-15
6.700,2.676621e-15
6.750,2.739013e-15
6.800,2.802086e-15
6.850,2.865836e-15
6.900,2.930260e-15
6.950,2.995352e-15
7.000,3.061108e-15
7.050,3.127525e-15
7.100,3.194597e-15
7.150,3.262321e-15
7.200,3.330691e-15
7.250,3.399703e-15
7.300,3.469352e-15
7.350,3.539634e-15
7.400,3.610545e-15
7.450,3.682079e-15
7.500,3.754232e-15
7.550,3.827000e-15
7.600,3.900377e-15
7.650,3.974359e-15
7.700,4.048942e-15
7.750,4.124120e-15
7.800,4.199888e-15
7.850,4.276243e-15
7.900,4.353179e-15
7.950,4.430692e-15
8.000,4.508777e-15
8.050,4.587429e-15
8.100,4.666643e-15
8.150,4.746416e-15
8.200,4.826741e-15
8.250,4.907614e-15
8.300,4.989031e-15
8.350,5.070986e-15
8.400,5.153476e-15
8.450,5.236495e-15
8.500,5.320039e-15
8.550,5.404102e-15
8.600,5.488681e-15
8.650,5.573771e-15
8.700,5.659367e-15
8.750,5.745464e-15
8.800,5.832058e-15
8.850,5.919144e-15
8.900,6.006718e-15
8.950,6.094774e-15
9.000,6.183309e-15
9.050,6.272318e-15
9.100,6.361796e-15
