# E + O2, Elastic
# Source: LXCat, MuroranIT (MuroranIT)
# Target: O2
# m/M: 1.714e-05
# Updated: 2025-07-08 07:03:06
# Data points: 94
energy_eV,cross_section_m2
0.000537032,0.0
0.000549541,6.34447e-23
0.000599484,3.43692e-22
0.00070548,8.3448e-22
0.000830218,1.28346e-21
0.00089125,1.4615e-21
0.00097701,1.5594e-21
0.00114976,1.67403e-21
0.00135305,1.73974e-21
0.00159228,1.7331e-21
0.00187382,1.80104e-21
0.00220513,1.85671e-21
0.00259502,1.93776e-21
0.00305386,2.02752e-21
0.00359381,2.12361e-21
0.00422924,2.24001e-21
0.00497702,2.36418e-21
0.00585702,2.53907e-21
0.00689261,2.63496e-21
0.00811131,2.76544e-21
0.00954548,2.92505e-21
0.0112332,3.12225e-21
0.0132194,3.38107e-21
0.0155568,3.68915e-21
0.0183074,4.07758e-21
0.0215443,4.53289e-21
0.0253536,5.15892e-21
0.0298365,5.94898e-21
0.0351119,6.94901e-21
0.0413201,8.40972e-21
0.048626,1.00403e-20
0.0572237,1.28367e-20
0.0673415,1.76313e-20
0.0792483,2.28693e-20
0.0932603,3.04618e-20
0.10975,3.53605e-20
0.129155,3.9077e-20
0.151991,4.18608e-20
0.178865,4.47521e-20
0.21049,4.75673e-20
0.247708,4.97422e-20
0.291505,5.16175e-20
0.343047,5.32847e-20
0.403702,5.49408e-20
0.475081,5.66684e-20
0.559081,5.82421e-20
0.657933,6.0187e-20
0.774264,6.22721e-20
0.911163,6.37717e-20
1.07227,6.51665e-20
1.26186,6.6354e-20
1.48497,6.71324e-20
1.74753,6.79189e-20
2.05651,6.66644e-20
2.42013,6.41477e-20
2.84804,6.13363e-20
3.3516,5.84023e-20
3.94421,5.63117e-20
4.64159,5.4528e-20
5.46228,5.31535e-20
6.42807,5.27044e-20
7.56463,5.22107e-20
8.90215,5.38854e-20
10.0,5.5286e-20
10.233,6.0111e-20
10.4762,6.04103e-20
12.3285,6.25441e-20
14.5083,6.27826e-20
17.0735,6.23743e-20
20.0923,6.16536e-20
23.6449,6.04865e-20
27.8256,5.88943e-20
32.7455,5.66542e-20
38.5353,5.4438e-20
45.3488,5.22784e-20
53.367,4.83543e-20
62.8029,4.21939e-20
73.9072,3.64569e-20
86.9749,3.09037e-20
102.353,2.59825e-20
120.45,2.07752e-20
141.747,1.66719e-20
166.81,1.39871e-20
196.304,1.09981e-20
231.013,8.90665e-21
271.859,6.81734e-21
319.927,5.09296e-21
376.494,4.03535e-21
443.062,3.21277e-21
521.401,2.53107e-21
613.591,2.07049e-21
722.081,1.65056e-21
849.753,1.26369e-21
1000.0,9.88849e-22
