# E + O2 -> E + O2(c 1^Sigma_u-), Excitation
# Source: LXCat, MuroranIT (MuroranIT)
# Target: O2 -> O2(c 1^Sigma_u^-)
# Threshold: 5.72 eV
# Comment: Electronic excitation. Up to 40% of excited O2 molecules may dissociate into 2O(3P).
# Updated: 2025-07-08 09:41:31
# Data points: 30
energy_eV,cross_section_m2
5.72,0.0
5.7544,1.2754e-23
5.758,2.115e-23
6.083,8.312e-23
6.48,2.025e-22
7.05,3.39e-22
7.51,4.29e-22
8.05,4.98e-22
8.48,5.37e-22
9.01,5.43e-22
9.5,5.43e-22
10.1,5.28e-22
10.87,5.093e-22
11.84,4.739e-22
12.69,4.054e-22
13.63,3.227e-22
15.0,2.449e-22
16.79,2.021e-22
18.65,1.75e-22
20.15,1.552e-22
21.98,1.296e-22
23.88,1.032e-22
25.51,8.514e-23
27.09,6.942e-23
28.55,5.661e-23
30.01,4.728e-23
72.444,1.9615e-24
173.78,8.3249e-26
416.87,3.5332e-27
1000.0,1.4995e-28
