# E + O2 -> E + E + E + O^(2+) + O, Ionization
# Source: LXCat, MuroranIT (MuroranIT)
# Target: O2 -> O^(2+) + O
# Threshold: 61.96 eV
# Comment: Double ionization.
# Updated: 2025-07-08 09:47:04
# Data points: 41
energy_eV,cross_section_m2
61.96,0.0
62.34,4.773e-25
63.11,1.172e-24
64.28,2.487e-24
66.28,4.558e-24
69.61,8.182e-24
73.0,1.18e-23
78.0,1.89e-23
82.63,2.582e-23
88.0,3.52e-23
92.862,4.5152e-23
98.69,5.8788e-23
107.5,7.5758e-23
117.24,9.6061e-23
129.04,1.2061e-22
137.31,1.3758e-22
147.64,1.6061e-22
157.93,1.7848e-22
178.0,2e-22
198.1,2.1455e-22
212.18,2.2485e-22
222.88,2.2939e-22
236.87,2.2758e-22
247.54,2.2545e-22
262.39,2.203e-22
272.79,2.1636e-22
301.01,2.0515e-22
348.0,1.8788e-22
398.17,1.6909e-22
447.98,1.5212e-22
498.0,1.36e-22
548.0,1.23e-22
597.99,1.1212e-22
647.15,1.0333e-22
697.64,9.5758e-23
745.27,9.0303e-23
798.0,8.37e-23
848.33,7.9697e-23
898.08,7.6667e-23
945.83,7.3636e-23
1000.0,7.0909e-23
