# E + O2 -> E + O2(rot), Excitation
# Source: LXCat, Phelps database
# Target: O2 -> O2(rot)
# Threshold: 0.02 eV
# Comment: O2 single level approximation to peaked rotational. T=300K.
# Updated: 2010-04-11 08:48:55
# Data points: 45
energy_eV,cross_section_m2
0.07,0.0
0.08,5.4e-23
0.1,0.0
0.2,0.0
0.21,2.16e-22
0.22,0.0
0.32,0.0
0.33,3.84e-22
0.35,0.0
0.44,0.0
0.45,5.4e-22
0.47,0.0
0.56,0.0
0.57,6.72e-22
0.59,0.0
0.68,0.0
0.69,8.04e-22
0.71,0.0
0.79,0.0
0.8,9.36e-22
0.81,0.0
0.9,0.0
0.91,8.4e-22
0.93,0.0
1.02,0.0
1.03,7.2e-22
1.05,0.0
1.13,0.0
1.14,4.68e-22
1.16,0.0
1.22,0.0
1.23,6e-22
1.26,0.0
1.34,0.0
1.35,3.6e-22
1.37,0.0
1.44,0.0
1.45,2.4e-22
1.47,0.0
1.54,0.0
1.55,1.2e-22
1.57,0.0
1.64,0.0
1.65,4.8e-23
1.67,0.0
