# E + O2 -> E + O2(v2), Excitation
# Source: LXCat, Phelps database
# Target: O2 -> O2(v2)
# Threshold: 0.38 eV
# Comment: O2 v=2, Linder and Schmidt.
# Updated: 2010-03-13 11:43:01
# Data points: 42
energy_eV,cross_section_m2
0.0,0.0
0.38,0.0
0.44,0.0
0.45,0.0
0.47,0.0
0.56,0.0
0.57,1.4e-21
0.59,0.0
0.68,0.0
0.69,4.15e-21
0.71,0.0
0.79,0.0
0.8,5.35e-21
0.82,0.0
0.9,0.0
0.91,4.65e-21
0.93,0.0
1.02,0.0
1.03,3.15e-21
1.05,0.0
1.13,0.0
1.14,2e-21
1.16,0.0
1.23,0.0
1.24,9.5e-22
1.26,0.0
1.34,0.0
1.35,4e-22
1.37,0.0
1.44,0.0
1.45,1.85e-22
1.47,0.0
1.54,0.0
1.55,8.5e-23
1.57,0.0
1.63,0.0
1.65,3.4e-23
1.67,0.0
3.5,0.0
4.0,0.0
5.0,0.0
10000.0,0.0
