# E + O2 -> E + O2(1.63), Excitation
# Source: LXCat, TRINITI database
# Target: O2 -> O2(1.63)
# Threshold: 1.63 eV
# Comment: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden.
# Updated: 2010-11-03 11:42:56
# Data points: 26
energy_eV,cross_section_m2
1.63,0.0
2.0,2.6e-23
3.0,9.7e-23
3.5,1.33e-22
4.0,1.49e-22
4.5,1.7e-22
5.0,1.82e-22
5.69,1.94e-22
6.54,1.94e-22
7.34,1.91e-22
8.41,1.83e-22
9.26,1.74e-22
10.0,1.6e-22
13.0,1.31e-22
14.9,1.17e-22
17.0,1.03e-22
19.4,9.2e-23
20.7,8.6e-23
22.5,8e-23
24.0,7.2e-23
28.0,6.1e-23
35.1,4.7e-23
41.9,3.4e-23
45.1,3.1e-23
100.0,0.0
1000.0,0.0
