# Excitation rates (triniti, 6 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,5.522630e-16,2.038422e-35
0.550,5.589962e-16,2.210389e-35
0.600,5.636885e-16,2.434447e-35
0.650,5.684253e-16,2.748597e-35
0.700,5.750293e-16,3.207556e-35
0.750,5.851769e-16,3.886289e-35
0.800,6.004682e-16,4.880910e-35
0.850,6.224546e-16,6.306625e-35
0.900,6.526344e-16,8.293127e-35
0.950,6.924282e-16,1.097829e-34
1.000,7.431449e-16,1.450117e-34
1.050,8.059456e-16,1.899513e-34
1.100,8.818129e-16,2.458189e-34
1.150,9.715277e-16,3.136678e-34
1.200,1.075657e-15,3.943541e-34
1.250,1.194548e-15,4.885175e-34
1.300,1.328338e-15,5.965745e-34
1.350,1.476959e-15,7.187220e-34
1.400,1.640162e-15,8.549493e-34
1.450,1.817533e-15,1.005056e-33
1.500,2.008517e-15,1.168672e-33
1.550,2.212441e-15,1.345284e-33
1.600,2.428536e-15,1.534256e-33
1.650,2.655960e-15,1.734856e-33
1.700,2.893819e-15,1.946276e-33
1.750,3.141184e-15,2.167656e-33
1.800,3.397105e-15,2.398100e-33
1.850,3.660632e-15,2.636692e-33
1.900,3.930819e-15,2.882515e-33
1.950,4.206742e-15,3.134659e-33
2.000,4.487500e-15,3.392232e-33
2.050,4.772228e-15,3.654370e-33
2.100,5.060100e-15,3.920244e-33
2.150,5.350329e-15,4.189061e-33
2.200,5.642179e-15,4.460074e-33
2.250,5.934955e-15,4.732580e-33
2.300,6.228015e-15,5.005923e-33
2.350,6.520762e-15,5.279496e-33
2.400,6.812649e-15,5.552739e-33
2.450,7.103175e-15,5.825141e-33
2.500,7.391884e-15,6.096237e-33
2.550,7.678366e-15,6.365607e-33
2.600,7.962253e-15,6.632876e-33
2.650,8.243215e-15,6.897710e-33
2.700,8.520964e-15,7.159814e-33
2.750,8.795246e-15,7.418931e-33
2.800,9.065841e-15,7.674841e-33
2.850,9.332561e-15,7.927356e-33
2.900,9.595248e-15,8.176317e-33
2.950,9.853772e-15,8.421597e-33
3.000,1.010803e-14,8.663093e-33
3.050,1.035793e-14,8.900728e-33
3.100,1.060342e-14,9.134446e-33
3.150,1.084447e-14,9.364211e-33
3.200,1.108103e-14,9.590008e-33
3.250,1.131312e-14,9.811836e-33
3.300,1.154073e-14,1.002971e-32
3.350,1.176388e-14,1.024366e-32
3.400,1.198262e-14,1.045372e-32
3.450,1.219697e-14,1.065995e-32
3.500,1.240701e-14,1.086240e-32
3.550,1.261277e-14,1.106115e-32
3.600,1.281434e-14,1.125627e-32
3.650,1.301179e-14,1.144784e-32
3.700,1.320519e-14,1.163594e-32
3.750,1.339463e-14,1.182067e-32
3.800,1.358020e-14,1.200213e-32
3.850,1.376198e-14,1.218040e-32
3.900,1.394007e-14,1.235559e-32
3.950,1.411457e-14,1.252780e-32
4.000,1.428556e-14,1.269712e-32
4.050,1.445316e-14,1.286367e-32
4.100,1.461744e-14,1.302753e-32
