# E + O <-> E + O*((3p)3P), Excitation
# Source: LXCat, IAA (IAA)
# Target: O <-> O*((3p)3P)
# Threshold: 10.99 eV
# Statistical weight ratio: 1.8
# Comment: al. J. Geophys. Res. : Space Phys. 93, 5885 (1988)].
# Updated: 2024-01-03 11:02:40
# Data points: 200
energy_eV,cross_section_m2
10.99,0.0
11.24196,1.427054e-26
11.49969,5.081702e-25
11.76333,3.396495e-24
12.03302,1.151068e-23
12.30889,2.700457e-23
12.59108,5.037745e-23
12.87975,8.045976e-23
13.17503,1.149709e-22
13.47708,1.512079e-22
13.78605,1.866042e-22
14.10211,2.190722e-22
14.42542,2.471453e-22
14.75614,2.699756e-22
15.09444,2.872486e-22
15.44049,2.990621e-22
15.79448,3.058009e-22
16.15659,3.080264e-22
16.52699,3.063868e-22
16.90589,3.015517e-22
17.29348,2.941659e-22
17.68995,2.848218e-22
18.09551,2.740439e-22
18.51037,2.622826e-22
18.93474,2.499155e-22
19.36884,2.372514e-22
19.81289,2.245372e-22
20.26712,2.119656e-22
20.73176,1.996831e-22
21.20706,1.877973e-22
21.69325,1.76384e-22
22.19059,1.654933e-22
22.69934,1.551545e-22
23.21974,1.453812e-22
23.75208,1.361742e-22
24.29662,1.275253e-22
24.85364,1.194195e-22
25.42344,1.118369e-22
26.0063,1.047541e-22
26.60252,9.814612e-23
27.21241,9.198664e-23
27.83628,8.624908e-23
28.47446,8.090708e-23
29.12726,7.593485e-23
29.79504,7.130752e-23
30.47812,6.700127e-23
31.17686,6.299348e-23
31.89162,5.926282e-23
32.62277,5.578922e-23
33.37068,5.255389e-23
34.13574,4.953933e-23
34.91834,4.672923e-23
35.71888,4.410845e-23
36.53777,4.166297e-23
37.37544,3.937979e-23
38.23231,3.724693e-23
39.10882,3.525327e-23
40.00543,3.33886e-23
40.9226,3.164345e-23
41.86079,3.000913e-23
42.82049,2.847759e-23
43.8022,2.704143e-23
44.80641,2.569381e-23
45.83364,2.442845e-23
46.88442,2.323952e-23
47.9593,2.212168e-23
49.05882,2.106998e-23
50.18354,2.007985e-23
51.33405,1.914707e-23
52.51094,1.826777e-23
53.7148,1.743833e-23
54.94627,1.665543e-23
56.20597,1.5916e-23
57.49455,1.521717e-23
58.81267,1.455633e-23
60.16101,1.393102e-23
61.54027,1.333897e-23
62.95114,1.277809e-23
64.39436,1.224642e-23
65.87067,1.174215e-23
67.38082,1.12636e-23
68.9256,1.08092e-23
70.50579,1.037749e-23
72.12221,9.967127e-24
73.77568,9.576839e-24
75.46707,9.205451e-24
77.19723,8.851866e-24
78.96705,8.515059e-24
80.77746,8.194074e-24
82.62936,7.888018e-24
84.52373,7.596056e-24
86.46152,7.317407e-24
88.44374,7.051339e-24
90.47141,6.79717e-24
92.54555,6.554257e-24
94.66726,6.321999e-24
96.8376,6.099833e-24
99.05771,5.88723e-24
101.3287,5.683693e-24
103.6518,5.488756e-24
106.0281,5.301979e-24
108.4589,5.12295e-24
110.9454,4.951282e-24
113.489,4.786607e-24
116.0908,4.628583e-24
118.7523,4.476885e-24
121.4748,4.331207e-24
124.2598,4.191261e-24
127.1086,4.056774e-24
130.0227,3.927488e-24
133.0036,3.803162e-24
136.0528,3.683566e-24
139.172,3.568481e-24
142.3626,3.457704e-24
145.6264,3.351039e-24
148.9651,3.248303e-24
152.3803,3.149322e-24
155.8737,3.053929e-24
159.4473,2.961968e-24
163.1028,2.873291e-24
166.8421,2.787757e-24
170.6671,2.705232e-24
174.5798,2.625588e-24
178.5823,2.548706e-24
182.6764,2.474469e-24
186.8645,2.402769e-24
191.1486,2.333503e-24
195.5308,2.26657e-24
200.0136,2.201878e-24
204.5991,2.139336e-24
209.2897,2.07886e-24
214.0879,2.020368e-24
218.9961,1.963781e-24
224.0168,1.909028e-24
229.1526,1.856036e-24
234.4062,1.804738e-24
239.7802,1.755071e-24
245.2774,1.706972e-24
250.9007,1.660384e-24
256.6528,1.615249e-24
262.5369,1.571515e-24
268.5558,1.52913e-24
274.7127,1.488045e-24
281.0108,1.448213e-24
287.4532,1.409589e-24
294.0434,1.37213e-24
300.7846,1.335795e-24
307.6804,1.300545e-24
314.7343,1.266341e-24
321.95,1.233148e-24
329.331,1.200929e-24
336.8812,1.169653e-24
344.6046,1.139287e-24
352.505,1.109801e-24
360.5866,1.081164e-24
368.8534,1.053348e-24
377.3097,1.026327e-24
385.9599,1.000073e-24
394.8085,9.745623e-25
403.8599,9.497702e-25
413.1188,9.256733e-25
422.5899,9.022494e-25
432.2783,8.794768e-25
442.1887,8.573349e-25
452.3263,8.358037e-25
462.6964,8.148639e-25
473.3042,7.944972e-25
484.1551,7.746855e-25
495.2549,7.554118e-25
506.6091,7.366595e-25
518.2237,7.184126e-25
530.1045,7.006557e-25
542.2577,6.83374e-25
554.6895,6.665531e-25
567.4063,6.501792e-25
580.4147,6.34239e-25
593.7213,6.187195e-25
607.333,6.036084e-25
621.2567,5.888936e-25
635.4997,5.745635e-25
650.0692,5.606069e-25
664.9727,5.470129e-25
680.2179,5.337712e-25
695.8126,5.208715e-25
711.7648,5.083041e-25
728.0828,4.960594e-25
744.7748,4.841284e-25
761.8495,4.725022e-25
779.3157,4.611722e-25
797.1823,4.501301e-25
815.4586,4.393678e-25
834.1538,4.288776e-25
853.2777,4.18652e-25
872.8399,4.086836e-25
892.8507,3.989653e-25
913.3202,3.894905e-25
934.259,3.802523e-25
955.6779,3.712443e-25
977.5878,3.624605e-25
1000.0,3.538945e-25
