# E + O <-> E + O*((3s)5SÂ°), Excitation
# Source: LXCat, IAA (IAA)
# Target: O <-> O*((3s)5SÂ°)
# Threshold: 0.0 eV
# Comment: [Gulcicek&Doering J. Geophys. Res. : Space Phys. 94, 1541 (1989)].
# Updated: 2024-01-03 11:02:40
# Data points: 200
energy_eV,cross_section_m2
9.146,0.0
9.36432,2.63192e-23
9.587852,1.00899e-22
9.81672,1.944187e-22
10.05105,2.844856e-22
10.29097,3.597118e-22
10.53663,4.162345e-22
10.78814,4.54392e-22
11.04566,4.764908e-22
11.30933,4.855005e-22
11.57929,4.843682e-22
11.85569,4.757055e-22
12.1387,4.616834e-22
12.42845,4.44032e-22
12.72513,4.24089e-22
13.02889,4.028634e-22
13.33989,3.810995e-22
13.65832,3.593351e-22
13.98436,3.379488e-22
14.31817,3.171993e-22
14.65995,2.972561e-22
15.0099,2.782227e-22
15.36819,2.601549e-22
15.73504,2.430742e-22
16.11064,2.26978e-22
16.49521,2.118468e-22
16.88896,1.976502e-22
17.29211,1.843504e-22
17.70489,1.719053e-22
18.12751,1.602709e-22
18.56023,1.494021e-22
19.00327,1.392544e-22
19.45689,1.297841e-22
19.92134,1.209493e-22
20.39687,1.127095e-22
20.88376,1.050263e-22
21.38226,9.786343e-23
21.89267,9.118653e-23
22.41526,8.496331e-23
22.95033,7.916342e-23
23.49817,7.375845e-23
24.05908,6.872176e-23
24.63339,6.402846e-23
25.2214,5.965528e-23
25.82345,5.558049e-23
26.43987,5.178382e-23
27.07101,4.824633e-23
27.71721,4.495038e-23
28.37883,4.187951e-23
29.05625,3.901836e-23
29.74984,3.635264e-23
30.45999,3.3869e-23
31.18709,3.155502e-23
31.93154,2.939912e-23
32.69376,2.73905e-23
33.47418,2.55191e-23
34.27323,2.377556e-23
35.09136,2.215113e-23
35.92901,2.063769e-23
36.78665,1.922764e-23
37.66477,1.791394e-23
38.56385,1.668999e-23
39.4844,1.554966e-23
40.42691,1.448725e-23
41.39193,1.349742e-23
42.37998,1.257522e-23
43.39161,1.171603e-23
44.42739,1.091554e-23
45.4879,1.016974e-23
46.57373,9.474905e-24
47.68547,8.82754e-24
48.82375,8.224405e-24
49.9892,7.662479e-24
51.18247,7.138946e-24
52.40423,6.651183e-24
53.65515,6.196746e-24
54.93593,5.773358e-24
56.24728,5.378898e-24
57.58994,5.011388e-24
58.96464,4.668989e-24
60.37216,4.349984e-24
61.81328,4.052775e-24
63.2888,3.775872e-24
64.79954,3.517888e-24
66.34635,3.277531e-24
67.93008,3.053596e-24
69.55161,2.844962e-24
71.21184,2.650582e-24
72.91171,2.469483e-24
74.65216,2.300757e-24
76.43415,2.14356e-24
78.25868,1.997103e-24
80.12676,1.860652e-24
82.03943,1.733524e-24
83.99776,1.615083e-24
86.00284,1.504733e-24
88.05578,1.401924e-24
90.15772,1.306138e-24
92.30984,1.216897e-24
94.51333,1.133754e-24
96.76942,1.056291e-24
99.07936,9.841205e-25
101.4444,9.168812e-25
103.866,8.54236e-25
106.3453,7.95871e-25
108.8839,7.414937e-25
111.483,6.908317e-25
114.1441,6.436311e-25
116.8688,5.996555e-25
119.6586,5.586845e-25
122.5149,5.205128e-25
125.4394,4.849492e-25
128.4337,4.518154e-25
131.4995,4.209454e-25
134.6385,3.921846e-25
137.8524,3.653889e-25
141.143,3.40424e-25
144.5121,3.171648e-25
147.9617,2.954947e-25
151.4937,2.753053e-25
155.1099,2.564953e-25
158.8125,2.389704e-25
162.6034,2.226429e-25
166.4849,2.07431e-25
170.4589,1.932585e-25
174.5279,1.800542e-25
178.694,1.677521e-25
182.9595,1.562906e-25
187.3269,1.456122e-25
191.7985,1.356633e-25
196.3768,1.263942e-25
201.0644,1.177584e-25
205.864,1.097127e-25
210.7781,1.022166e-25
215.8095,9.523277e-26
220.961,8.872606e-26
226.2354,8.266392e-26
231.6358,7.701597e-26
237.1651,7.175391e-26
242.8264,6.685138e-26
248.6228,6.228381e-26
254.5575,5.802832e-26
260.634,5.406357e-26
266.8555,5.036972e-26
273.2255,4.692825e-26
279.7475,4.372191e-26
286.4253,4.073464e-26
293.2624,3.795148e-26
300.2628,3.535847e-26
307.4302,3.294263e-26
314.7687,3.069185e-26
322.2825,2.859485e-26
329.9755,2.664113e-26
337.8522,2.48209e-26
345.917,2.312503e-26
354.1742,2.154503e-26
362.6286,2.007298e-26
371.2847,1.870151e-26
380.1475,1.742374e-26
389.2219,1.623328e-26
398.5128,1.512415e-26
408.0256,1.409081e-26
417.7654,1.312806e-26
427.7377,1.22311e-26
437.948,1.139542e-26
448.4021,1.061683e-26
459.1057,9.891446e-27
470.0649,9.21562e-27
481.2856,8.58597e-27
492.7742,7.99934e-27
504.537,7.452791e-27
516.5806,6.943585e-27
528.9116,6.469169e-27
541.5371,6.027168e-27
554.4639,5.615366e-27
567.6993,5.231701e-27
581.2506,4.874249e-27
595.1254,4.541219e-27
609.3314,4.230944e-27
623.8765,3.941868e-27
638.7688,3.672543e-27
654.0166,3.421619e-27
669.6283,3.187839e-27
685.6128,2.970033e-27
701.9787,2.767107e-27
718.7354,2.578047e-27
735.892,2.401904e-27
753.4582,2.237796e-27
771.4437,2.0849e-27
789.8585,1.942451e-27
808.7129,1.809734e-27
828.0174,1.686085e-27
847.7826,1.570885e-27
868.0197,1.463555e-27
888.7398,1.363559e-27
909.9546,1.270395e-27
931.6758,1.183596e-27
953.9154,1.102728e-27
976.6859,1.027385e-27
1000.0,9.571894e-28
