# E + O <-> E + O*((3s)3SÂ°), Excitation
# Source: LXCat, IAA (IAA)
# Target: O <-> O*((3s)3SÂ°)
# Threshold: 9.521 eV
# Statistical weight ratio: 0.6
# Comment: Phys. 34, 2647 (2001)].
# Updated: 2024-01-03 11:02:40
# Data points: 200
energy_eV,cross_section_m2
9.521,0.0
9.746304,5.432216e-23
9.976939,9.632217e-23
10.21303,1.340448e-22
10.45471,1.689515e-22
10.70211,2.017087e-22
10.95536,2.326987e-22
11.21461,2.6217e-22
11.47999,2.902963e-22
11.75165,3.172062e-22
12.02974,3.429986e-22
12.31441,3.677518e-22
12.60582,3.915294e-22
12.90412,4.143842e-22
13.20948,4.363607e-22
13.52207,4.574971e-22
13.84205,4.778265e-22
14.16961,4.97378e-22
14.50492,5.161773e-22
14.84816,5.342476e-22
15.19953,5.5161e-22
15.55921,5.682835e-22
15.9274,5.842858e-22
16.3043,5.996332e-22
16.69012,6.14341e-22
17.08508,6.284237e-22
17.48937,6.418946e-22
17.90324,6.54767e-22
18.3269,6.67053e-22
18.76059,6.787647e-22
19.20453,6.899134e-22
19.65899,7.005105e-22
20.1242,7.105667e-22
20.60041,7.200926e-22
21.0879,7.290987e-22
21.58692,7.375951e-22
22.09775,7.455918e-22
22.62067,7.530989e-22
23.15596,7.60126e-22
23.70392,7.666829e-22
24.26485,7.727791e-22
24.83904,7.784242e-22
25.42683,7.836276e-22
26.02853,7.883988e-22
26.64447,7.92747e-22
27.27498,7.966816e-22
27.92041,8.002118e-22
28.58111,8.033468e-22
29.25745,8.060957e-22
29.9498,8.084676e-22
30.65853,8.104717e-22
31.38403,8.121169e-22
32.12669,8.134123e-22
32.88693,8.143667e-22
33.66517,8.14989e-22
34.46181,8.15288e-22
35.27731,8.152726e-22
36.11211,8.149514e-22
36.96666,8.143331e-22
37.84144,8.134263e-22
38.73691,8.122395e-22
39.65358,8.107811e-22
40.59193,8.090595e-22
41.5525,8.07083e-22
42.53579,8.048599e-22
43.54235,8.023982e-22
44.57273,7.99706e-22
45.6275,7.967912e-22
46.70722,7.936617e-22
47.81249,7.903253e-22
48.94392,7.867895e-22
50.10212,7.83062e-22
51.28773,7.791502e-22
52.5014,7.750614e-22
53.74378,7.708028e-22
55.01557,7.663816e-22
56.31745,7.618046e-22
57.65014,7.570789e-22
59.01436,7.522111e-22
60.41087,7.472079e-22
61.84043,7.420758e-22
63.30381,7.368211e-22
64.80182,7.314502e-22
66.33529,7.259691e-22
67.90504,7.203838e-22
69.51193,7.147003e-22
71.15685,7.089242e-22
72.8407,7.030612e-22
74.56439,6.971168e-22
76.32887,6.910963e-22
78.13511,6.850049e-22
79.98409,6.788478e-22
81.87682,6.726299e-22
83.81434,6.66356e-22
85.79772,6.600309e-22
87.82802,6.536592e-22
89.90637,6.472453e-22
92.03391,6.407935e-22
94.21178,6.343081e-22
96.4412,6.277932e-22
98.72337,6.212526e-22
101.0595,6.146904e-22
103.451,6.081101e-22
105.8991,6.015154e-22
108.405,5.949098e-22
110.9703,5.882967e-22
113.5963,5.816793e-22
116.2844,5.750609e-22
119.0362,5.684443e-22
121.853,5.618326e-22
124.7365,5.552286e-22
127.6883,5.48635e-22
130.7099,5.420544e-22
133.803,5.354894e-22
136.9693,5.289424e-22
140.2105,5.224157e-22
143.5284,5.159115e-22
146.9249,5.09432e-22
150.4017,5.029792e-22
153.9608,4.965551e-22
157.6041,4.901615e-22
161.3336,4.838003e-22
165.1514,4.774732e-22
169.0595,4.711816e-22
173.0601,4.649273e-22
177.1554,4.587117e-22
181.3476,4.525362e-22
185.6389,4.46402e-22
190.0319,4.403105e-22
194.5288,4.342627e-22
199.1321,4.282599e-22
203.8443,4.223031e-22
208.668,4.163932e-22
213.6059,4.105312e-22
218.6607,4.04718e-22
223.835,3.989542e-22
229.1318,3.932408e-22
234.554,3.875783e-22
240.1044,3.819674e-22
245.7862,3.764088e-22
251.6025,3.709029e-22
257.5564,3.654502e-22
263.6512,3.600512e-22
269.8902,3.547063e-22
276.2768,3.494158e-22
282.8146,3.4418e-22
289.5071,3.389993e-22
296.3579,3.338739e-22
303.3709,3.288039e-22
310.5498,3.237895e-22
317.8986,3.188308e-22
325.4214,3.13928e-22
333.1221,3.090811e-22
341.005,3.042902e-22
349.0745,2.995551e-22
357.335,2.94876e-22
365.7909,2.902528e-22
374.4469,2.856853e-22
383.3078,2.811735e-22
392.3784,2.767172e-22
401.6635,2.723164e-22
411.1685,2.679708e-22
420.8983,2.636801e-22
430.8584,2.594444e-22
441.0541,2.552632e-22
451.4912,2.511363e-22
462.1752,2.470635e-22
473.1121,2.430445e-22
484.3077,2.390789e-22
495.7683,2.351666e-22
507.5001,2.313071e-22
519.5095,2.275e-22
531.8031,2.237452e-22
544.3877,2.200421e-22
557.27,2.163905e-22
570.4571,2.127898e-22
583.9564,2.092398e-22
597.775,2.057401e-22
611.9207,2.022901e-22
626.4011,1.988896e-22
641.2242,1.95538e-22
656.398,1.92235e-22
671.9309,1.8898e-22
687.8314,1.857727e-22
704.1082,1.826126e-22
720.7701,1.794993e-22
737.8263,1.764322e-22
755.2861,1.734109e-22
773.1591,1.704351e-22
791.4551,1.67504e-22
810.1839,1.646174e-22
829.356,1.617748e-22
848.9818,1.589755e-22
869.072,1.562193e-22
889.6376,1.535056e-22
910.6899,1.508338e-22
932.2403,1.482036e-22
954.3007,1.456145e-22
976.8832,1.430659e-22
1000.0,1.405574e-22
