# E + O <-> E + O*(nf), Excitation
# Source: LXCat, IAA (IAA)
# Target: O <-> O*(nf)
# Threshold: 13.0 eV
# Statistical weight ratio: 0.2
# Comment: optically allowed states from sum of oscillator strengths f_o = (8 - Î£ f_x) = 0.247.
# Updated: 2024-01-03 11:02:40
# Data points: 200
energy_eV,cross_section_m2
13.0,0.0
13.28682,2.546062e-22
13.57997,4.918999e-22
13.87958,7.134056e-22
14.18581,9.207712e-22
14.49879,1.115378e-21
14.81868,1.298396e-21
15.14562,1.470826e-21
15.47978,1.63353e-21
15.82131,1.787254e-21
16.17037,1.932655e-21
16.52714,2.070306e-21
16.89178,2.200716e-21
17.26446,2.324338e-21
17.64537,2.441577e-21
18.03468,2.552795e-21
18.43258,2.65832e-21
18.83926,2.758449e-21
19.25491,2.853452e-21
19.67973,2.943575e-21
20.11392,3.029044e-21
20.5577,3.110067e-21
21.01126,3.186834e-21
21.47483,3.259524e-21
21.94863,3.3283e-21
22.43289,3.393316e-21
22.92782,3.454714e-21
23.43368,3.512629e-21
23.9507,3.567186e-21
24.47912,3.618504e-21
25.0192,3.666694e-21
25.5712,3.711862e-21
26.13538,3.754108e-21
26.71201,3.793527e-21
27.30135,3.830211e-21
27.9037,3.864245e-21
28.51934,3.895713e-21
29.14857,3.924695e-21
29.79167,3.951265e-21
30.44897,3.975498e-21
31.12076,3.997464e-21
31.80738,4.017232e-21
32.50915,4.034867e-21
33.2264,4.050434e-21
33.95947,4.063993e-21
34.70872,4.075606e-21
35.4745,4.085331e-21
36.25717,4.093223e-21
37.05711,4.09934e-21
37.8747,4.103733e-21
38.71034,4.106457e-21
39.5644,4.107562e-21
40.43731,4.107099e-21
41.32948,4.105116e-21
42.24133,4.101661e-21
43.1733,4.096782e-21
44.12584,4.090524e-21
45.09939,4.082932e-21
46.09441,4.074051e-21
47.1114,4.063924e-21
48.15082,4.052593e-21
49.21317,4.040099e-21
50.29896,4.026485e-21
51.4087,4.011788e-21
52.54294,3.99605e-21
53.70219,3.979309e-21
54.88702,3.961601e-21
56.098,3.942966e-21
57.33569,3.923438e-21
58.60068,3.903053e-21
59.89359,3.881847e-21
61.21503,3.859855e-21
62.56561,3.837109e-21
63.946,3.813643e-21
65.35684,3.789488e-21
66.79881,3.764678e-21
68.27259,3.739243e-21
69.77889,3.713213e-21
71.31842,3.686619e-21
72.89192,3.659489e-21
74.50014,3.631852e-21
76.14384,3.603736e-21
77.8238,3.575168e-21
79.54083,3.546175e-21
81.29574,3.516784e-21
83.08937,3.487018e-21
84.92257,3.456905e-21
86.79621,3.426467e-21
88.7112,3.395728e-21
90.66844,3.364712e-21
92.66885,3.333441e-21
94.71341,3.301937e-21
96.80307,3.27022e-21
98.93884,3.238313e-21
101.1217,3.206236e-21
103.3528,3.174007e-21
105.6331,3.141645e-21
107.9636,3.109171e-21
110.3456,3.0766e-21
112.7802,3.043952e-21
115.2685,3.011242e-21
117.8116,2.978487e-21
120.4109,2.945703e-21
123.0675,2.912906e-21
125.7828,2.880109e-21
128.5579,2.847328e-21
131.3943,2.814576e-21
134.2933,2.781867e-21
137.2562,2.749214e-21
140.2845,2.716628e-21
143.3796,2.684122e-21
146.5429,2.651708e-21
149.7761,2.619395e-21
153.0806,2.587196e-21
156.458,2.555121e-21
159.91,2.523178e-21
163.4381,2.491377e-21
167.044,2.459728e-21
170.7295,2.428239e-21
174.4963,2.396917e-21
178.3462,2.365772e-21
182.2811,2.334809e-21
186.3028,2.304037e-21
190.4132,2.273462e-21
194.6142,2.243091e-21
198.908,2.212928e-21
203.2965,2.182981e-21
207.7819,2.153254e-21
212.3662,2.123753e-21
217.0516,2.094482e-21
221.8404,2.065446e-21
226.7349,2.036649e-21
231.7373,2.008095e-21
236.8502,1.979787e-21
242.0758,1.95173e-21
247.4167,1.923925e-21
252.8755,1.896376e-21
258.4547,1.869086e-21
264.1569,1.842057e-21
269.985,1.815292e-21
275.9417,1.788791e-21
282.0298,1.762557e-21
288.2523,1.736592e-21
294.612,1.710897e-21
301.112,1.685473e-21
307.7554,1.660321e-21
314.5454,1.635441e-21
321.4853,1.610835e-21
328.5782,1.586504e-21
335.8276,1.562446e-21
343.237,1.538663e-21
350.8098,1.515155e-21
358.5498,1.491921e-21
366.4604,1.468962e-21
374.5457,1.446276e-21
382.8093,1.423864e-21
391.2552,1.401724e-21
399.8875,1.379856e-21
408.7102,1.35826e-21
417.7276,1.336934e-21
426.9439,1.315877e-21
436.3636,1.295089e-21
445.9911,1.274567e-21
455.831,1.254311e-21
465.888,1.234319e-21
476.1669,1.21459e-21
486.6725,1.195123e-21
497.41,1.175915e-21
508.3844,1.156965e-21
519.6008,1.138272e-21
531.0648,1.119833e-21
542.7817,1.101647e-21
554.7571,1.083712e-21
566.9967,1.066026e-21
579.5064,1.048587e-21
592.292,1.031392e-21
605.3598,1.014441e-21
618.7158,9.977303e-22
632.3666,9.812585e-22
646.3185,9.650232e-22
660.5782,9.490223e-22
675.1525,9.332536e-22
690.0484,9.177148e-22
705.273,9.024037e-22
720.8334,8.87318e-22
736.7372,8.724555e-22
752.9918,8.578137e-22
769.6051,8.433905e-22
786.5849,8.291835e-22
803.9393,8.151903e-22
821.6767,8.014085e-22
839.8053,7.87836e-22
858.334,7.744702e-22
877.2714,7.613089e-22
896.6266,7.483496e-22
916.4089,7.355901e-22
936.6277,7.230279e-22
957.2925,7.106606e-22
978.4133,6.98486e-22
1000.0,6.865017e-22
