# E + O <-> E + E + O+, Ionization
# Source: LXCat, IAA (IAA)
# Target: O <-> O+
# Threshold: 13.6 eV
# Statistical weight ratio: 1.0
# Comment: Mol. Opt. Phys. 28, 1321 (1995)].
# Updated: 2024-01-03 11:02:40
# Data points: 200
energy_eV,cross_section_m2
13.6,0.0
13.89691,1.083592e-22
14.20029,2.185236e-22
14.5103,3.266507e-22
14.82708,4.327528e-22
15.15078,5.368437e-22
15.48154,6.389386e-22
15.81952,7.390539e-22
16.16488,8.372069e-22
16.51778,9.33416e-22
16.87839,1.0277e-21
17.24686,1.125028e-21
17.62338,1.228676e-21
18.00813,1.337865e-21
18.40127,1.452085e-21
18.80299,1.576383e-21
19.21348,1.714696e-21
19.63294,1.860014e-21
20.06155,2.011685e-21
20.49952,2.169091e-21
20.94705,2.33165e-21
21.40435,2.498812e-21
21.87164,2.670061e-21
22.34913,2.844906e-21
22.83704,3.022887e-21
23.3356,3.203568e-21
23.84504,3.386538e-21
24.36561,3.57141e-21
24.89755,3.757818e-21
25.44109,3.945415e-21
25.9965,4.133876e-21
26.56404,4.322892e-21
27.14397,4.512173e-21
27.73656,4.701444e-21
28.34208,4.890446e-21
28.96083,5.078934e-21
29.59308,5.266676e-21
30.23914,5.453454e-21
30.89929,5.639062e-21
31.57387,5.823306e-21
32.26317,6.006e-21
32.96751,6.186973e-21
33.68724,6.366059e-21
34.42267,6.544246e-21
35.17416,6.723017e-21
35.94206,6.901962e-21
36.72672,7.080762e-21
37.52851,7.259119e-21
38.34781,7.436749e-21
39.18499,7.613388e-21
40.04045,7.788784e-21
40.91459,7.962702e-21
41.80781,8.134919e-21
42.72053,8.305227e-21
43.65317,8.473429e-21
44.60618,8.639341e-21
45.57999,8.802791e-21
46.57506,8.963616e-21
47.59185,9.121665e-21
48.63084,9.276796e-21
49.69252,9.428878e-21
50.77737,9.577788e-21
51.88591,9.723411e-21
53.01864,9.865641e-21
54.17611,1.000438e-20
55.35884,1.013954e-20
56.5674,1.027103e-20
57.80234,1.039879e-20
59.06424,1.052273e-20
60.35369,1.064281e-20
61.67129,1.075895e-20
63.01765,1.087112e-20
64.39341,1.097926e-20
65.7992,1.108335e-20
67.23568,1.118334e-20
68.70352,1.12792e-20
70.20341,1.137092e-20
71.73604,1.145848e-20
73.30214,1.154185e-20
74.90242,1.162104e-20
76.53763,1.169604e-20
78.20855,1.176684e-20
79.91594,1.183346e-20
81.66061,1.18959e-20
83.44337,1.195416e-20
85.26505,1.200827e-20
87.12649,1.205825e-20
89.02858,1.210411e-20
90.97219,1.214588e-20
92.95823,1.218359e-20
94.98763,1.221728e-20
97.06133,1.224696e-20
99.18031,1.22727e-20
101.3455,1.229451e-20
103.558,1.231245e-20
105.8189,1.232656e-20
108.129,1.233689e-20
110.4896,1.234348e-20
112.9017,1.23464e-20
115.3665,1.234568e-20
117.8851,1.23414e-20
120.4587,1.23336e-20
123.0885,1.232235e-20
125.7757,1.23077e-20
128.5215,1.228972e-20
131.3273,1.226847e-20
134.1944,1.224401e-20
137.124,1.221643e-20
140.1176,1.218577e-20
143.1765,1.21521e-20
146.3023,1.211551e-20
149.4962,1.207606e-20
152.7599,1.203381e-20
156.0949,1.198884e-20
159.5026,1.194122e-20
162.9848,1.189103e-20
166.543,1.183833e-20
170.1788,1.178321e-20
173.894,1.172572e-20
177.6904,1.166596e-20
181.5696,1.160398e-20
185.5335,1.153987e-20
189.5839,1.147369e-20
193.7228,1.140552e-20
197.952,1.133543e-20
202.2735,1.12635e-20
206.6894,1.11898e-20
211.2017,1.111439e-20
215.8125,1.103735e-20
220.524,1.095876e-20
225.3383,1.087867e-20
230.2578,1.079717e-20
235.2846,1.071431e-20
240.4212,1.063017e-20
245.6699,1.054482e-20
251.0332,1.045831e-20
256.5135,1.037072e-20
262.1136,1.028211e-20
267.8359,1.019255e-20
273.6831,1.010209e-20
279.6579,1.001079e-20
285.7632,9.918728e-21
292.0018,9.825949e-21
298.3766,9.732516e-21
304.8905,9.638485e-21
311.5467,9.543912e-21
318.3481,9.448852e-21
325.2981,9.353359e-21
332.3998,9.257484e-21
339.6565,9.16128e-21
347.0716,9.064796e-21
354.6487,8.96808e-21
362.3911,8.871181e-21
370.3026,8.774144e-21
378.3868,8.677014e-21
386.6474,8.579836e-21
395.0885,8.482651e-21
403.7137,8.385502e-21
412.5273,8.288427e-21
421.5334,8.191466e-21
430.736,8.094657e-21
440.1395,7.998035e-21
449.7483,7.901637e-21
459.5669,7.805495e-21
469.5998,7.709643e-21
479.8518,7.614112e-21
490.3276,7.518933e-21
501.0321,7.424135e-21
511.9703,7.329746e-21
523.1473,7.235794e-21
534.5682,7.142303e-21
546.2386,7.0493e-21
558.1637,6.956807e-21
570.3491,6.864834e-21
582.8006,6.77342e-21
595.5239,6.682596e-21
608.5249,6.59238e-21
621.8098,6.502789e-21
635.3847,6.413842e-21
649.256,6.325553e-21
663.4301,6.237938e-21
677.9136,6.151011e-21
692.7134,6.064786e-21
707.8362,5.979274e-21
723.2892,5.894488e-21
739.0795,5.810439e-21
755.2146,5.727137e-21
771.7019,5.644591e-21
788.5492,5.562811e-21
805.7642,5.481804e-21
823.3551,5.401578e-21
841.33,5.32214e-21
859.6974,5.243495e-21
878.4657,5.16565e-21
897.6437,5.088609e-21
917.2404,5.012376e-21
937.265,4.936955e-21
957.7267,4.86235e-21
978.6351,4.788563e-21
1000.0,4.715596e-21
