# Ionisation rate (iaa)
Te_eV,Kiz_m3s
0.500,3.671001e-27
0.550,4.594343e-26
0.600,3.787375e-25
0.650,2.264093e-24
0.700,1.051322e-23
0.750,3.988038e-23
0.800,1.283495e-22
0.850,3.607534e-22
0.900,9.057093e-22
0.950,2.067543e-21
1.000,4.353012e-21
1.050,8.550695e-21
1.100,1.581928e-20
1.150,2.777996e-20
1.200,4.660774e-20
1.250,7.511678e-20
1.300,1.168355e-19
1.350,1.760682e-19
1.400,2.579411e-19
1.450,3.684314e-19
1.500,5.143801e-19
1.550,7.034876e-19
1.600,9.442950e-19
1.650,1.246152e-18
1.700,1.619173e-18
1.750,2.074184e-18
1.800,2.622661e-18
1.850,3.276666e-18
1.900,4.048774e-18
1.950,4.952004e-18
2.000,5.999743e-18
2.050,7.205675e-18
2.100,8.583712e-18
2.150,1.014792e-17
2.200,1.191246e-17
2.250,1.389153e-17
2.300,1.609927e-17
2.350,1.854978e-17
2.400,2.125699e-17
2.450,2.423467e-17
2.500,2.749636e-17
2.550,3.105535e-17
2.600,3.492463e-17
2.650,3.911689e-17
2.700,4.364443e-17
2.750,4.851923e-17
2.800,5.375286e-17
2.850,5.935647e-17
2.900,6.534083e-17
2.950,7.171626e-17
3.000,7.849266e-17
3.050,8.567947e-17
3.100,9.328570e-17
3.150,1.013199e-16
3.200,1.097903e-16
3.250,1.187044e-16
3.300,1.280696e-16
3.350,1.378927e-16
3.400,1.481800e-16
3.450,1.589376e-16
3.500,1.701708e-16
3.550,1.818850e-16
3.600,1.940848e-16
3.650,2.067746e-16
3.700,2.199584e-16
3.750,2.336398e-16
3.800,2.478220e-16
3.850,2.625079e-16
3.900,2.777002e-16
3.950,2.934009e-16
4.000,3.096121e-16
4.050,3.263353e-16
4.100,3.435719e-16
4.150,3.613229e-16
4.200,3.795890e-16
4.250,3.983708e-16
4.300,4.176684e-16
4.350,4.374819e-16
4.400,4.578110e-16
4.450,4.786553e-16
4.500,5.000141e-16
4.550,5.218864e-16
4.600,5.442712e-16
4.650,5.671673e-16
4.700,5.905732e-16
4.750,6.144872e-16
4.800,6.389076e-16
4.850,6.638324e-16
4.900,6.892596e-16
4.950,7.151869e-16
5.000,7.416119e-16
5.050,7.685323e-16
5.100,7.959453e-16
5.150,8.238483e-16
5.200,8.522385e-16
5.250,8.811128e-16
5.300,9.104684e-16
5.350,9.403022e-16
5.400,9.706108e-16
5.450,1.001391e-15
5.500,1.032640e-15
5.550,1.064353e-15
5.600,1.096528e-15
5.650,1.129161e-15
5.700,1.162249e-15
5.750,1.195787e-15
5.800,1.229772e-15
5.850,1.264201e-15
5.900,1.299069e-15
5.950,1.334373e-15
