# E + Xe -> E + Xe(1S5)(8.315eV), Excitation
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe(1S5)(8.315eV)
# Threshold: 8.315 eV
# Comment: EX 1S5 J=2 M ELVL= 8.3153.
# Updated: 2010-11-19 14:16:15
# Data points: 201
energy_eV,cross_section_m2
8.3153,0.0
8.3154,6.85871e-25
8.35044,2.40253e-22
8.38682,4.25779e-22
8.42447,5.83558e-22
8.46345,4.65681e-22
8.5038,3.07487e-22
8.54557,2.94227e-22
8.5888,3.23762e-22
8.63356,3.70584e-22
8.67988,4.30837e-22
8.72784,5.06881e-22
8.77748,6.01603e-22
8.82886,7.19575e-22
8.88205,7.7606e-22
8.93711,7.83034e-22
8.9941,7.90253e-22
9.0531,7.97726e-22
9.11417,8.05462e-22
9.17739,8.13469e-22
9.24282,8.21758e-22
9.31056,8.30338e-22
9.38068,8.39219e-22
9.45326,8.48413e-22
9.52839,8.5793e-22
9.60617,8.67781e-22
9.68667,8.77979e-22
9.77001,8.88534e-22
9.85627,8.99461e-22
9.94557,1.00218e-21
10.038,9.9924e-22
10.13368,9.97326e-22
10.23273,9.95345e-22
10.33525,9.93295e-22
10.44138,9.91172e-22
10.55124,9.88975e-22
10.66495,9.86701e-22
10.78267,9.84347e-22
10.90452,9.8191e-22
11.03065,9.79387e-22
11.16122,9.76776e-22
11.29637,9.74073e-22
11.43628,9.71274e-22
11.5811,9.68378e-22
11.731,9.6538e-22
11.88618,9.62276e-22
12.04681,9.57191e-22
12.21309,9.47215e-22
12.38521,9.36888e-22
12.56337,9.23663e-22
12.7478,9.0522e-22
12.93871,8.86129e-22
13.13633,8.70457e-22
13.3409,8.56137e-22
13.55265,8.41315e-22
13.77184,8.25971e-22
13.99874,8.10088e-22
14.23361,7.94815e-22
14.47673,7.79012e-22
14.7284,7.62654e-22
14.98891,7.4572e-22
15.25858,7.28192e-22
15.53773,7.10048e-22
15.82668,6.91266e-22
16.12579,6.71824e-22
16.43541,6.51698e-22
16.75591,6.30866e-22
17.08767,6.09301e-22
17.43109,5.86979e-22
17.78659,5.63872e-22
18.15457,5.41499e-22
18.53548,5.20548e-22
18.92979,4.98862e-22
19.33794,4.76413e-22
19.76045,4.53175e-22
20.1978,4.31297e-22
20.65051,4.11377e-22
21.11914,3.90758e-22
21.60424,3.69413e-22
22.10638,3.47319e-22
22.62617,3.24448e-22
23.16423,3.00774e-22
23.7212,2.76267e-22
24.29774,2.509e-22
24.89454,2.2464e-22
25.51231,2.08729e-22
26.15179,1.94661e-22
26.81375,1.80098e-22
27.49896,1.65023e-22
28.20826,1.49418e-22
28.94249,1.33265e-22
29.70251,1.16545e-22
30.48925,1.07065e-22
31.30363,1.02178e-22
32.14663,9.71202e-23
33.01926,9.18845e-23
33.92255,8.64647e-23
34.85759,8.08545e-23
35.82548,7.50471e-23
36.82739,6.90356e-23
37.86451,6.28129e-23
38.93808,5.63715e-23
40.04937,4.98667e-23
41.19972,4.67608e-23
42.39049,4.35457e-23
43.62311,4.02176e-23
44.89904,3.67726e-23
46.21981,3.32065e-23
47.587,2.95151e-23
49.00224,2.5694e-23
50.46721,2.26262e-23
51.98366,2.14131e-23
53.5534,2.01573e-23
55.17831,1.88574e-23
56.86032,1.75117e-23
58.60144,1.61188e-23
60.40374,1.48284e-23
62.26939,1.40355e-23
64.20059,1.32147e-23
66.19967,1.23651e-23
68.26899,1.14857e-23
70.41103,1.05753e-23
72.62836,9.63295e-24
74.9236,8.65747e-24
77.2995,7.64771e-24
79.7589,6.60247e-24
82.30472,6.14277e-24
84.94001,5.7343e-24
87.66791,5.31147e-24
90.49168,4.87379e-24
93.41468,4.42073e-24
96.44039,3.95174e-24
99.57244,3.46627e-24
102.8146,3.2649e-24
106.1706,3.10381e-24
109.6446,2.93706e-24
113.2407,2.76445e-24
116.9631,2.58577e-24
120.8164,2.40081e-24
124.8051,2.20936e-24
128.9339,2.01117e-24
133.2078,1.80602e-24
137.632,1.59367e-24
142.2116,1.37384e-24
146.9521,1.1463e-24
151.8593,9.78432e-25
156.9389,9.19509e-25
162.197,8.58515e-25
167.6398,7.95378e-25
173.274,7.30022e-25
179.1061,6.62369e-25
185.1432,5.92338e-25
191.3925,5.19847e-25
197.8614,4.44808e-25
204.5576,4.06783e-25
211.4891,3.86682e-25
218.6642,3.65874e-25
226.0915,3.44335e-25
233.7797,3.22039e-25
241.7382,2.98959e-25
249.9763,2.75069e-25
258.5039,2.50339e-25
267.3313,2.24739e-25
276.4688,1.98241e-25
285.9274,1.7081e-25
295.7185,1.42416e-25
305.8536,1.27795e-25
316.3448,1.23843e-25
327.2048,1.19753e-25
338.4464,1.15519e-25
350.0831,1.11135e-25
362.1287,1.06598e-25
374.5976,1.01902e-25
387.5047,9.70399e-26
400.8654,9.20074e-26
414.6956,8.6798e-26
429.0118,8.14056e-26
443.8311,7.58236e-26
459.1712,7.00455e-26
475.0504,6.40643e-26
491.4877,5.7873e-26
508.5025,5.1464e-26
526.1153,4.48299e-26
544.3471,3.79626e-26
563.2196,3.0854e-26
582.7552,2.34955e-26
602.9774,1.69017e-26
623.9103,1.6211e-26
645.5788,1.54959e-26
668.0087,1.47557e-26
691.2269,1.39895e-26
715.2611,1.31964e-26
740.1398,1.23754e-26
765.8929,1.15255e-26
792.5509,1.06458e-26
820.1458,9.73519e-27
848.7104,8.79256e-27
878.2789,7.8168e-27
908.8864,6.80675e-27
940.5696,5.7612e-27
973.3662,4.67892e-27
